type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,116,2813,0.422,2.984,257,257,257,115,115,115,0.073,0.112,0.157,0.065,0.068,0.161
Undirected,N/A,sub-29018_ses-1_connectome.csv,115,2235,0.341,3.216,240,240,240,121,121,121,0.058,0.062,0.131,0.058,0.06,0.133
Undirected,N/A,sub-29014_ses-1_connectome.csv,116,2685,0.403,2.972,256,256,256,116,116,116,0.065,0.067,0.149,0.063,0.065,0.156
Undirected,N/A,sub-29019_ses-1_connectome.csv,116,3342,0.501,3.042,266,266,266,115,115,115,0.076,0.079,0.181,0.078,0.078,0.187
Undirected,N/A,sub-29020_ses-1_connectome.csv,116,3121,0.468,2.846,269,269,269,115,115,115,0.078,0.081,0.17,0.078,0.08,0.179
Undirected,N/A,sub-29032_ses-1_connectome.csv,116,2650,0.397,3.038,261,261,261,117,117,117,0.068,0.069,0.147,0.066,0.067,0.154
Undirected,N/A,sub-29016_ses-1_connectome.csv,116,3050,0.457,3.039,248,248,248,115,115,115,0.073,0.075,0.166,0.074,0.074,0.173
Undirected,N/A,sub-29021_ses-1_connectome.csv,115,2660,0.406,2.921,283,283,283,116,116,116,0.067,0.07,0.145,0.068,0.068,0.153
Undirected,N/A,sub-29022_ses-1_connectome.csv,116,3057,0.458,3.107,282,282,282,116,116,116,0.076,0.08,0.17,0.077,0.077,0.177
Undirected,N/A,sub-29034_ses-1_connectome.csv,116,2855,0.428,3.126,261,261,261,115,115,115,0.067,0.07,0.156,0.068,0.069,0.164
Undirected,N/A,sub-29033_ses-1_connectome.csv,116,3420,0.513,3.07,290,290,290,116,116,116,0.083,0.086,0.186,0.083,0.084,0.195
Undirected,N/A,sub-29035_ses-1_connectome.csv,116,3084,0.462,3.177,283,283,283,115,115,115,0.076,0.078,0.171,0.075,0.076,0.178
Undirected,N/A,sub-29024_ses-1_connectome.csv,116,2468,0.37,3.068,231,231,231,116,116,116,0.065,0.067,0.142,0.065,0.066,0.146
Undirected,N/A,sub-29038_ses-1_connectome.csv,116,2855,0.428,3.286,262,262,262,118,118,118,0.07,0.073,0.157,0.07,0.073,0.166
Undirected,N/A,sub-29036_ses-1_connectome.csv,116,2728,0.409,3.114,259,259,259,115,115,115,0.067,0.07,0.151,0.065,0.068,0.158
Undirected,N/A,sub-29023_ses-1_connectome.csv,116,3019,0.453,3.011,247,247,247,115,115,115,0.072,0.074,0.167,0.072,0.073,0.174
Undirected,N/A,sub-29048_ses-1_connectome.csv,116,2659,0.399,3.018,232,232,232,115,115,115,0.069,0.071,0.15,0.067,0.069,0.162
Undirected,N/A,sub-29044_ses-1_connectome.csv,116,3741,0.561,3.275,290,290,290,116,116,116,0.085,0.086,0.2,0.084,0.085,0.209
Undirected,N/A,sub-29045_ses-1_connectome.csv,116,2830,0.424,3.227,285,285,285,119,119,119,0.069,0.073,0.157,0.07,0.071,0.163
Undirected,N/A,sub-29040_ses-1_connectome.csv,116,3146,0.472,3.199,256,256,256,115,115,115,0.073,0.076,0.172,0.073,0.074,0.178
Undirected,N/A,sub-29049_ses-1_connectome.csv,116,2671,0.4,3.297,272,272,272,115,115,115,0.066,0.068,0.147,0.066,0.066,0.154
Undirected,N/A,sub-29047_ses-1_connectome.csv,116,2455,0.368,3.156,254,254,254,119,119,119,0.064,0.067,0.138,0.064,0.065,0.143
Undirected,N/A,sub-29051_ses-1_connectome.csv,116,2703,0.405,3.167,268,268,268,115,115,115,0.067,0.068,0.15,0.066,0.068,0.159
Undirected,N/A,sub-30149_ses-1_connectome.csv,116,2714,0.407,3.225,283,283,283,115,115,115,0.068,0.07,0.15,0.068,0.069,0.158
Undirected,N/A,sub-29054_ses-1_connectome.csv,116,3153,0.473,3.315,256,256,256,117,117,117,0.075,0.078,0.173,0.074,0.076,0.186
Undirected,N/A,sub-29050_ses-1_connectome.csv,116,3026,0.454,3.201,271,271,271,115,115,115,0.072,0.075,0.168,0.071,0.073,0.175
Undirected,N/A,sub-29056_ses-1_connectome.csv,116,3215,0.482,2.875,262,262,262,115,115,115,0.08,0.082,0.175,0.077,0.079,0.183
Undirected,N/A,sub-30146_ses-1_connectome.csv,116,2666,0.4,3.209,283,283,283,120,120,120,0.067,0.069,0.15,0.068,0.069,0.154
Undirected,N/A,sub-30147_ses-1_connectome.csv,116,2953,0.443,3.34,287,287,287,115,115,115,0.075,0.078,0.166,0.073,0.076,0.174
