type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,377,15299,0.216,2.497,1031,1031,1031,423,423,423,1.571,1.744,3.883,1.549,1.745,3.967
Undirected,N/A,sub-29011_ses-1_connectome.csv,369,14277,0.21,2.497,971,971,971,397,397,397,1.413,1.605,3.677,1.431,1.758,3.709
Undirected,N/A,sub-29016_ses-1_connectome.csv,380,16356,0.227,2.497,1021,1021,1021,424,424,424,1.905,2.075,4.579,1.803,1.979,4.52
Undirected,N/A,sub-29019_ses-1_connectome.csv,377,19156,0.27,2.652,1093,1093,1093,402,402,402,2.212,2.374,5.488,2.146,2.351,5.179
Undirected,N/A,sub-29023_ses-1_connectome.csv,375,14207,0.203,2.603,994,994,994,413,413,413,1.562,1.75,3.834,1.572,1.736,3.926
Undirected,N/A,sub-29024_ses-1_connectome.csv,375,12733,0.182,2.697,1068,1068,1068,420,420,420,1.328,1.459,3.304,1.295,1.424,3.359
Undirected,N/A,sub-29018_ses-1_connectome.csv,363,11797,0.18,2.577,948,948,948,417,417,417,1.255,1.309,2.919,1.231,1.321,3.047
Undirected,N/A,sub-29020_ses-1_connectome.csv,378,17173,0.241,2.442,1072,1072,1072,415,415,415,1.853,2.124,4.855,1.836,2.052,4.82
Undirected,N/A,sub-29035_ses-1_connectome.csv,369,13833,0.204,2.502,996,996,996,415,415,415,1.51,1.708,3.647,1.471,1.67,3.731
Undirected,N/A,sub-29022_ses-1_connectome.csv,375,16105,0.23,2.516,1129,1129,1129,412,412,412,1.83,2.06,4.503,1.789,2.066,4.499
Undirected,N/A,sub-29038_ses-1_connectome.csv,372,13875,0.201,2.57,1099,1099,1099,406,406,406,1.441,1.62,3.634,1.43,1.616,3.782
Undirected,N/A,sub-29040_ses-1_connectome.csv,377,17053,0.241,2.459,1082,1082,1082,432,432,432,1.849,2.079,4.753,1.851,2.116,4.927
Undirected,N/A,sub-29045_ses-1_connectome.csv,365,13867,0.209,2.602,1086,1086,1086,417,417,417,1.461,1.622,3.643,1.402,1.58,3.626
Undirected,N/A,sub-29047_ses-1_connectome.csv,373,12118,0.175,2.68,1040,1040,1040,452,452,452,1.282,1.436,3.237,1.244,1.362,3.09
Undirected,N/A,sub-29049_ses-1_connectome.csv,379,14678,0.205,2.586,1159,1159,1159,413,413,413,1.597,1.775,3.975,1.557,1.759,4.046
Undirected,N/A,sub-29048_ses-1_connectome.csv,369,13902,0.205,2.567,979,979,979,433,433,433,1.509,1.654,3.632,1.489,1.655,3.707
Undirected,N/A,sub-29044_ses-1_connectome.csv,365,18375,0.277,2.559,1027,1027,1027,424,424,424,2.085,2.319,5.099,2.079,2.31,4.917
Undirected,N/A,sub-29051_ses-1_connectome.csv,373,14000,0.202,2.659,1040,1040,1040,411,411,411,1.554,1.732,3.781,1.614,1.742,3.915
Undirected,N/A,sub-29050_ses-1_connectome.csv,372,14999,0.217,2.578,1139,1139,1139,427,427,427,1.772,1.911,4.148,1.714,1.884,4.275
Undirected,N/A,sub-29034_ses-1_connectome.csv,369,14438,0.213,2.57,1053,1053,1053,418,418,418,1.758,1.783,3.826,1.591,1.781,3.928
Undirected,N/A,sub-29036_ses-1_connectome.csv,359,13869,0.216,2.657,1031,1031,1031,397,397,397,1.584,1.628,3.533,1.404,1.538,3.6
Undirected,N/A,sub-29033_ses-1_connectome.csv,371,15138,0.221,2.586,1033,1033,1033,400,400,400,1.642,1.857,4.145,1.646,1.832,4.187
Undirected,N/A,sub-29054_ses-1_connectome.csv,374,16226,0.233,2.621,1145,1145,1145,399,399,399,1.781,2.012,4.478,1.774,1.975,4.637
Undirected,N/A,sub-30149_ses-1_connectome.csv,364,13597,0.206,2.613,995,995,995,408,408,408,1.38,1.553,3.531,1.39,1.53,3.649
Undirected,N/A,sub-29032_ses-1_connectome.csv,360,12852,0.199,2.737,1005,1005,1005,428,428,428,1.36,1.56,3.307,1.374,1.501,3.347
Undirected,N/A,sub-30147_ses-1_connectome.csv,372,14379,0.208,2.732,1079,1079,1079,425,425,425,1.555,1.719,4.079,1.466,1.675,3.886
Undirected,N/A,sub-30146_ses-1_connectome.csv,369,12905,0.19,2.677,1041,1041,1041,425,425,425,1.431,1.611,3.377,1.373,1.528,3.483
Undirected,N/A,sub-29056_ses-1_connectome.csv,372,14682,0.213,2.468,1056,1056,1056,438,438,438,1.667,1.844,3.973,1.674,1.839,4.017
Undirected,N/A,sub-29021_ses-1_connectome.csv,379,12598,0.176,2.527,1113,1113,1113,438,438,438,1.414,1.566,3.373,1.415,1.526,3.418
