type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,41,727,0.887,4.906,64,64,64,40,40,40,0.006,0.007,0.016,0.006,0.007,0.016
Undirected,N/A,sub-29018_ses-1_connectome.csv,41,627,0.765,4.113,59,59,59,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29014_ses-1_connectome.csv,41,688,0.839,4.767,62,62,62,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29016_ses-1_connectome.csv,41,715,0.872,4.697,63,63,63,41,41,41,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-29019_ses-1_connectome.csv,41,770,0.939,6.865,62,62,62,40,40,40,0.007,0.007,0.016,0.007,0.007,0.018
Undirected,N/A,sub-29020_ses-1_connectome.csv,41,686,0.837,5.925,59,59,59,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-29021_ses-1_connectome.csv,41,650,0.793,4.013,78,78,78,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29022_ses-1_connectome.csv,41,700,0.854,5.425,62,62,62,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-29024_ses-1_connectome.csv,40,650,0.833,5.221,62,62,62,39,39,39,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29023_ses-1_connectome.csv,41,664,0.81,5.402,66,66,66,40,40,40,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29035_ses-1_connectome.csv,41,627,0.765,5.244,58,58,58,42,42,42,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29033_ses-1_connectome.csv,41,727,0.887,5.299,65,65,65,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-29036_ses-1_connectome.csv,41,658,0.802,5.648,62,62,62,40,40,40,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29044_ses-1_connectome.csv,41,718,0.876,6.421,73,73,73,43,43,43,0.007,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-29038_ses-1_connectome.csv,41,633,0.772,5.685,65,65,65,43,43,43,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29040_ses-1_connectome.csv,41,692,0.844,5.797,60,60,60,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29045_ses-1_connectome.csv,41,678,0.827,5.22,62,62,62,41,41,41,0.006,0.006,0.015,0.006,0.006,0.016
Undirected,N/A,sub-29034_ses-1_connectome.csv,41,662,0.807,4.512,66,66,66,41,41,41,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29047_ses-1_connectome.csv,41,655,0.799,5.242,61,61,61,40,40,40,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29032_ses-1_connectome.csv,40,653,0.837,7.016,63,63,63,39,39,39,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29050_ses-1_connectome.csv,41,675,0.823,5.099,72,72,72,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29049_ses-1_connectome.csv,41,694,0.846,4.877,66,66,66,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29054_ses-1_connectome.csv,41,694,0.846,4.339,58,58,58,40,40,40,0.006,0.006,0.015,0.006,0.006,0.016
Undirected,N/A,sub-29056_ses-1_connectome.csv,41,694,0.846,5.805,61,61,61,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29048_ses-1_connectome.csv,41,631,0.77,3.896,56,56,56,40,40,40,0.006,0.007,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29051_ses-1_connectome.csv,41,636,0.776,4.844,60,60,60,40,40,40,0.006,0.007,0.014,0.006,0.006,0.016
Undirected,N/A,sub-30146_ses-1_connectome.csv,41,670,0.817,4.259,65,65,65,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-30149_ses-1_connectome.csv,41,673,0.821,6.032,76,76,76,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-30147_ses-1_connectome.csv,41,682,0.832,5.126,66,66,66,40,40,40,0.006,0.006,0.015,0.006,0.006,0.017
