type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,323,5926,0.114,2.236,609,609,609,346,346,346,0.706,0.551,1.067,0.516,0.53,1.045
Undirected,N/A,sub-29018_ses-1_connectome.csv,314,4523,0.092,2.268,602,602,602,350,350,350,0.406,0.438,0.82,0.399,0.417,0.811
Undirected,N/A,sub-29022_ses-1_connectome.csv,318,4990,0.099,2.185,569,569,569,358,358,358,0.454,0.498,0.889,0.448,0.47,0.898
Undirected,N/A,sub-29014_ses-1_connectome.csv,319,6382,0.126,2.149,595,595,595,348,348,348,0.554,0.581,1.154,0.547,0.569,1.166
Undirected,N/A,sub-29021_ses-1_connectome.csv,303,4554,0.1,2.416,610,610,610,347,347,347,0.384,0.404,0.764,0.372,0.389,0.786
Undirected,N/A,sub-29016_ses-1_connectome.csv,320,6189,0.121,2.356,598,598,598,338,338,338,0.553,0.586,1.135,0.536,0.566,1.15
Undirected,N/A,sub-29032_ses-1_connectome.csv,293,3638,0.085,2.318,560,560,560,333,333,333,0.329,0.341,0.606,0.313,0.338,0.621
Undirected,N/A,sub-29033_ses-1_connectome.csv,320,6317,0.124,2.346,636,636,636,341,341,341,0.695,0.558,1.096,0.514,0.543,1.15
Undirected,N/A,sub-29019_ses-1_connectome.csv,325,8366,0.159,2.36,661,661,661,340,340,340,0.723,0.745,1.549,0.688,0.727,1.627
Undirected,N/A,sub-29044_ses-1_connectome.csv,305,5885,0.127,2.152,540,540,540,331,331,331,0.537,0.565,1.063,0.538,0.555,1.039
Undirected,N/A,sub-29020_ses-1_connectome.csv,311,6058,0.126,2.359,583,583,583,330,330,330,0.502,0.535,1.072,0.498,0.528,1.092
Undirected,N/A,sub-29036_ses-1_connectome.csv,302,5037,0.111,2.308,565,565,565,321,321,321,0.46,0.465,0.889,0.45,0.472,0.866
Undirected,N/A,sub-29038_ses-1_connectome.csv,314,5111,0.104,2.365,599,599,599,332,332,332,0.464,0.492,0.903,0.454,0.47,0.916
Undirected,N/A,sub-29045_ses-1_connectome.csv,303,5242,0.115,2.205,548,548,548,324,324,324,0.43,0.469,0.891,0.426,0.445,0.899
Undirected,N/A,sub-29024_ses-1_connectome.csv,314,4515,0.092,2.402,576,576,576,351,351,351,0.402,0.425,0.804,0.389,0.405,0.802
Undirected,N/A,sub-29048_ses-1_connectome.csv,311,4881,0.101,2.272,577,577,577,358,358,358,0.432,0.45,0.842,0.414,0.435,0.859
Undirected,N/A,sub-29040_ses-1_connectome.csv,320,6347,0.124,2.203,615,615,615,346,346,346,0.566,0.605,1.117,0.559,0.579,1.162
Undirected,N/A,sub-29034_ses-1_connectome.csv,297,4047,0.092,2.073,532,532,532,325,325,325,0.404,0.417,0.718,0.368,0.389,0.704
Undirected,N/A,sub-29023_ses-1_connectome.csv,316,5890,0.118,2.225,613,613,613,353,353,353,0.515,0.557,1.076,0.509,0.523,1.051
Undirected,N/A,sub-29051_ses-1_connectome.csv,310,4868,0.102,2.381,582,582,582,343,343,343,0.425,0.453,0.831,0.414,0.437,0.85
Undirected,N/A,sub-29047_ses-1_connectome.csv,316,4924,0.099,2.385,621,621,621,360,360,360,0.436,0.458,0.86,0.421,0.458,0.895
Undirected,N/A,sub-29035_ses-1_connectome.csv,316,5929,0.119,2.246,636,636,636,346,346,346,0.53,0.558,1.186,0.511,0.55,1.136
Undirected,N/A,sub-29054_ses-1_connectome.csv,310,5656,0.118,2.379,573,573,573,334,334,334,0.497,0.519,0.983,0.479,0.493,0.999
Undirected,N/A,sub-29050_ses-1_connectome.csv,305,4976,0.107,2.014,569,569,569,336,336,336,0.454,0.472,0.842,0.441,0.473,0.872
Undirected,N/A,sub-29049_ses-1_connectome.csv,320,5075,0.099,2.195,585,585,585,346,346,346,0.454,0.495,0.906,0.449,0.477,0.942
Undirected,N/A,sub-29056_ses-1_connectome.csv,308,5126,0.108,2.207,596,596,596,333,333,333,0.454,0.472,0.878,0.441,0.458,0.892
Undirected,N/A,sub-30147_ses-1_connectome.csv,310,4996,0.104,2.272,599,599,599,340,340,340,0.458,0.473,0.883,0.436,0.456,0.901
Undirected,N/A,sub-30146_ses-1_connectome.csv,311,4189,0.087,2.402,554,554,554,346,346,346,0.389,0.419,0.762,0.367,0.393,0.742
Undirected,N/A,sub-30149_ses-1_connectome.csv,311,4840,0.1,2.299,580,580,580,345,345,345,0.422,0.449,0.849,0.42,0.435,0.846
