type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29018_ses-1_connectome.csv,196,4514,0.236,2.879,424,424,424,200,200,200,0.214,0.23,0.452,0.209,0.219,0.464
Undirected,N/A,sub-29021_ses-1_connectome.csv,199,4951,0.251,2.767,501,501,501,203,203,203,0.246,0.261,0.5,0.238,0.249,0.519
Undirected,N/A,sub-29014_ses-1_connectome.csv,200,5689,0.286,2.76,442,442,442,203,203,203,0.261,0.272,0.581,0.257,0.266,0.587
Undirected,N/A,sub-29023_ses-1_connectome.csv,200,5752,0.289,2.821,423,423,423,200,200,200,0.267,0.28,0.573,0.27,0.282,0.591
Undirected,N/A,sub-29024_ses-1_connectome.csv,200,5000,0.251,2.813,436,436,436,208,208,208,0.24,0.255,0.505,0.237,0.249,0.52
Undirected,N/A,sub-29020_ses-1_connectome.csv,200,6178,0.31,2.674,423,423,423,206,206,206,0.283,0.298,0.626,0.279,0.304,0.671
Undirected,N/A,sub-29019_ses-1_connectome.csv,200,7056,0.355,2.763,479,479,479,200,200,200,0.318,0.321,0.736,0.32,0.329,0.75
Undirected,N/A,sub-29016_ses-1_connectome.csv,200,6075,0.305,2.731,445,445,445,201,201,201,0.271,0.289,0.615,0.282,0.282,0.639
Undirected,N/A,sub-29032_ses-1_connectome.csv,193,4587,0.248,2.888,447,447,447,196,196,196,0.221,0.235,0.451,0.213,0.221,0.453
Undirected,N/A,sub-29011_ses-1_connectome.csv,200,5574,0.28,2.769,450,450,450,201,201,201,0.253,0.268,0.556,0.248,0.257,0.575
Undirected,N/A,sub-29022_ses-1_connectome.csv,200,5765,0.29,2.786,447,447,447,204,204,204,0.267,0.284,0.567,0.269,0.278,0.598
Undirected,N/A,sub-29035_ses-1_connectome.csv,197,5350,0.277,2.614,426,426,426,201,201,201,0.244,0.264,0.6,0.25,0.263,0.558
Undirected,N/A,sub-29033_ses-1_connectome.csv,199,6455,0.328,2.647,450,450,450,200,200,200,0.295,0.314,0.656,0.298,0.301,0.661
Undirected,N/A,sub-29036_ses-1_connectome.csv,197,5203,0.27,2.945,438,438,438,204,204,204,0.242,0.253,0.515,0.236,0.246,0.529
Undirected,N/A,sub-29044_ses-1_connectome.csv,197,5992,0.31,2.723,378,378,378,213,213,213,0.273,0.291,0.589,0.272,0.285,0.61
Undirected,N/A,sub-29034_ses-1_connectome.csv,195,4825,0.255,2.808,399,399,399,203,203,203,0.224,0.239,0.469,0.223,0.234,0.483
Undirected,N/A,sub-29048_ses-1_connectome.csv,200,5095,0.256,2.704,468,468,468,208,208,208,0.246,0.262,0.512,0.249,0.264,0.535
Undirected,N/A,sub-29040_ses-1_connectome.csv,199,6221,0.316,2.786,412,412,412,199,199,199,0.285,0.311,0.653,0.284,0.291,0.643
Undirected,N/A,sub-29045_ses-1_connectome.csv,198,5349,0.274,2.819,472,472,472,205,205,205,0.242,0.253,0.526,0.24,0.252,0.547
Undirected,N/A,sub-29050_ses-1_connectome.csv,199,5074,0.258,2.738,423,423,423,212,212,212,0.241,0.25,0.51,0.24,0.25,0.523
Undirected,N/A,sub-29049_ses-1_connectome.csv,199,4904,0.249,2.785,431,431,431,204,204,204,0.221,0.236,0.479,0.22,0.229,0.5
Undirected,N/A,sub-29038_ses-1_connectome.csv,199,5337,0.271,2.842,443,443,443,205,205,205,0.256,0.258,0.534,0.246,0.257,0.54
Undirected,N/A,sub-29054_ses-1_connectome.csv,195,5341,0.282,2.887,439,439,439,197,197,197,0.241,0.256,0.529,0.252,0.256,0.547
Undirected,N/A,sub-29051_ses-1_connectome.csv,200,5151,0.259,2.875,436,436,436,201,201,201,0.242,0.253,0.519,0.233,0.245,0.557
Undirected,N/A,sub-29047_ses-1_connectome.csv,200,4927,0.248,2.865,443,443,443,211,211,211,0.234,0.245,0.497,0.227,0.236,0.518
Undirected,N/A,sub-30147_ses-1_connectome.csv,199,5775,0.293,2.878,488,488,488,205,205,205,0.277,0.285,0.576,0.266,0.277,0.597
Undirected,N/A,sub-29056_ses-1_connectome.csv,198,5102,0.262,2.76,446,446,446,207,207,207,0.255,0.263,0.509,0.249,0.257,0.522
Undirected,N/A,sub-30146_ses-1_connectome.csv,198,5121,0.263,2.913,446,446,446,202,202,202,0.247,0.254,0.5,0.239,0.247,0.519
Undirected,N/A,sub-30149_ses-1_connectome.csv,199,4884,0.248,2.974,434,434,434,204,204,204,0.23,0.242,0.488,0.225,0.232,0.5
