type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,83,1563,0.459,3.363,174,174,174,84,84,84,0.029,0.03,0.064,0.028,0.03,0.07
Undirected,N/A,sub-29011_ses-1_connectome.csv,82,1495,0.45,3.839,169,169,169,82,82,82,0.028,0.028,0.062,0.027,0.028,0.065
Undirected,N/A,sub-29018_ses-1_connectome.csv,81,1390,0.429,3.283,161,161,161,82,82,82,0.026,0.027,0.057,0.026,0.027,0.06
Undirected,N/A,sub-29021_ses-1_connectome.csv,83,1553,0.456,3.152,176,176,176,82,82,82,0.03,0.031,0.064,0.03,0.032,0.07
Undirected,N/A,sub-29020_ses-1_connectome.csv,83,1648,0.484,3.308,187,187,187,85,85,85,0.031,0.033,0.067,0.03,0.031,0.072
Undirected,N/A,sub-29032_ses-1_connectome.csv,81,1593,0.492,3.412,171,171,171,81,81,81,0.029,0.03,0.228,0.028,0.029,0.069
Undirected,N/A,sub-29023_ses-1_connectome.csv,83,1569,0.461,3.233,178,178,178,84,84,84,0.03,0.031,0.065,0.03,0.031,0.07
Undirected,N/A,sub-29019_ses-1_connectome.csv,83,1901,0.559,3.574,192,192,192,82,82,82,0.034,0.035,0.078,0.034,0.035,0.082
Undirected,N/A,sub-29033_ses-1_connectome.csv,83,1673,0.492,3.46,162,162,162,82,82,82,0.032,0.033,0.07,0.031,0.032,0.075
Undirected,N/A,sub-29034_ses-1_connectome.csv,80,1574,0.498,2.962,145,145,145,81,81,81,0.028,0.029,0.064,0.028,0.029,0.068
Undirected,N/A,sub-29022_ses-1_connectome.csv,83,1792,0.527,3.183,183,183,183,84,84,84,0.033,0.035,0.074,0.034,0.034,0.077
Undirected,N/A,sub-29016_ses-1_connectome.csv,83,1693,0.498,3.305,177,177,177,86,86,86,0.03,0.031,0.071,0.03,0.03,0.072
Undirected,N/A,sub-29036_ses-1_connectome.csv,81,1596,0.493,3.658,170,170,170,84,84,84,0.029,0.031,0.066,0.029,0.03,0.068
Undirected,N/A,sub-29038_ses-1_connectome.csv,79,1608,0.522,3.29,146,146,146,79,79,79,0.027,0.028,0.062,0.027,0.029,0.067
Undirected,N/A,sub-29024_ses-1_connectome.csv,82,1316,0.396,3.626,161,161,161,82,82,82,0.026,0.027,0.056,0.025,0.027,0.06
Undirected,N/A,sub-29045_ses-1_connectome.csv,82,1564,0.471,3.533,183,183,183,81,81,81,0.029,0.03,0.065,0.028,0.029,0.069
Undirected,N/A,sub-29040_ses-1_connectome.csv,82,1696,0.511,3.131,168,168,168,85,85,85,0.032,0.033,0.069,0.03,0.032,0.074
Undirected,N/A,sub-29044_ses-1_connectome.csv,83,2040,0.599,3.327,194,194,194,85,85,85,0.034,0.035,0.081,0.034,0.035,0.085
Undirected,N/A,sub-29047_ses-1_connectome.csv,82,1410,0.425,3.525,153,153,153,81,81,81,0.026,0.028,0.058,0.026,0.027,0.06
Undirected,N/A,sub-29035_ses-1_connectome.csv,83,1554,0.457,3.229,173,173,173,84,84,84,0.029,0.031,0.065,0.029,0.03,0.066
Undirected,N/A,sub-29048_ses-1_connectome.csv,83,1604,0.471,3.367,171,171,171,85,85,85,0.029,0.03,0.065,0.029,0.03,0.069
Undirected,N/A,sub-29050_ses-1_connectome.csv,81,1574,0.486,3.265,158,158,158,81,81,81,0.029,0.03,0.064,0.029,0.03,0.08
Undirected,N/A,sub-29049_ses-1_connectome.csv,82,1531,0.461,3.398,173,173,173,83,83,83,0.03,0.032,0.065,0.03,0.031,0.067
Undirected,N/A,sub-29051_ses-1_connectome.csv,82,1676,0.505,3.299,174,174,174,82,82,82,0.031,0.032,0.071,0.031,0.032,0.074
Undirected,N/A,sub-29056_ses-1_connectome.csv,83,1960,0.576,3.126,159,159,159,84,84,84,0.034,0.036,0.081,0.034,0.035,0.083
Undirected,N/A,sub-30147_ses-1_connectome.csv,82,1566,0.472,3.395,180,180,180,82,82,82,0.03,0.031,0.066,0.028,0.03,0.067
Undirected,N/A,sub-30146_ses-1_connectome.csv,82,1608,0.484,3.303,180,180,180,82,82,82,0.03,0.031,0.065,0.028,0.03,0.068
Undirected,N/A,sub-30149_ses-1_connectome.csv,82,1539,0.463,3.47,177,177,177,84,84,84,0.029,0.03,0.061,0.028,0.029,0.066
Undirected,N/A,sub-29054_ses-1_connectome.csv,82,1773,0.534,3.389,193,193,193,81,81,81,0.03,0.031,0.07,0.029,0.03,0.075
