type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,79,1207,0.392,3.383,122,122,122,87,87,87,0.022,0.023,0.051,0.022,0.023,0.051
Undirected,N/A,sub-29016_ses-1_connectome.csv,78,1213,0.404,3.511,140,140,140,84,84,84,0.023,0.025,0.049,0.023,0.024,0.05
Undirected,N/A,sub-29011_ses-1_connectome.csv,70,973,0.403,3.677,101,101,101,71,71,71,0.017,0.018,0.036,0.016,0.017,0.037
Undirected,N/A,sub-29019_ses-1_connectome.csv,80,1328,0.42,3.449,123,123,123,85,85,85,0.025,0.027,0.056,0.025,0.026,0.056
Undirected,N/A,sub-29018_ses-1_connectome.csv,74,1005,0.372,3.772,124,124,124,81,81,81,0.019,0.021,0.041,0.019,0.02,0.041
Undirected,N/A,sub-29020_ses-1_connectome.csv,78,1119,0.373,3.931,117,117,117,85,85,85,0.022,0.024,0.046,0.023,0.023,0.046
Undirected,N/A,sub-29021_ses-1_connectome.csv,77,1060,0.362,3.524,119,119,119,83,83,83,0.021,0.022,0.043,0.021,0.022,0.045
Undirected,N/A,sub-29022_ses-1_connectome.csv,80,1244,0.394,3.539,122,122,122,90,90,90,0.024,0.025,0.052,0.025,0.026,0.054
Undirected,N/A,sub-29035_ses-1_connectome.csv,73,1035,0.394,3.962,123,123,123,84,84,84,0.019,0.02,0.149,0.019,0.02,0.041
Undirected,N/A,sub-29024_ses-1_connectome.csv,78,997,0.332,3.667,130,130,130,91,91,91,0.02,0.022,0.042,0.02,0.021,0.043
Undirected,N/A,sub-29032_ses-1_connectome.csv,79,1093,0.355,3.794,122,122,122,89,89,89,0.023,0.024,0.045,0.023,0.023,0.046
Undirected,N/A,sub-29040_ses-1_connectome.csv,74,1149,0.425,3.68,125,125,125,79,79,79,0.021,0.022,0.044,0.02,0.021,0.045
Undirected,N/A,sub-29023_ses-1_connectome.csv,79,1207,0.392,3.364,115,115,115,89,89,89,0.023,0.024,0.05,0.023,0.024,0.05
Undirected,N/A,sub-29038_ses-1_connectome.csv,78,1136,0.378,3.633,139,139,139,85,85,85,0.022,0.023,0.047,0.022,0.023,0.047
Undirected,N/A,sub-29034_ses-1_connectome.csv,72,1002,0.392,3.736,111,111,111,78,78,78,0.02,0.021,0.042,0.019,0.019,0.041
Undirected,N/A,sub-29033_ses-1_connectome.csv,76,1185,0.416,3.575,128,128,128,79,79,79,0.021,0.023,0.048,0.02,0.021,0.049
Undirected,N/A,sub-29044_ses-1_connectome.csv,74,1327,0.491,3.326,145,145,145,90,90,90,0.022,0.024,0.05,0.022,0.022,0.05
Undirected,N/A,sub-29047_ses-1_connectome.csv,72,1028,0.402,4.206,116,116,116,79,79,79,0.018,0.019,0.039,0.018,0.018,0.04
Undirected,N/A,sub-29048_ses-1_connectome.csv,77,1145,0.391,3.466,138,138,138,87,87,87,0.022,0.023,0.047,0.021,0.022,0.047
Undirected,N/A,sub-29036_ses-1_connectome.csv,72,1040,0.407,3.667,115,115,115,81,81,81,0.018,0.019,0.04,0.018,0.019,0.04
Undirected,N/A,sub-29050_ses-1_connectome.csv,79,1131,0.367,3.381,140,140,140,91,91,91,0.023,0.024,0.045,0.022,0.024,0.047
Undirected,N/A,sub-29045_ses-1_connectome.csv,74,1087,0.402,3.524,130,130,130,84,84,84,0.019,0.02,0.042,0.019,0.02,0.044
Undirected,N/A,sub-29049_ses-1_connectome.csv,80,1232,0.39,3.132,133,133,133,85,85,85,0.025,0.026,0.05,0.024,0.025,0.053
Undirected,N/A,sub-29056_ses-1_connectome.csv,60,711,0.402,3.026,91,91,91,67,67,67,0.011,0.012,0.024,0.011,0.012,0.025
Undirected,N/A,sub-29051_ses-1_connectome.csv,79,1112,0.361,3.592,142,142,142,94,94,94,0.022,0.023,0.047,0.021,0.022,0.047
Undirected,N/A,sub-30146_ses-1_connectome.csv,74,1112,0.412,3.164,125,125,125,79,79,79,0.02,0.021,0.043,0.02,0.021,0.044
Undirected,N/A,sub-29054_ses-1_connectome.csv,80,1323,0.419,3.516,150,150,150,93,93,93,0.025,0.026,0.054,0.024,0.025,0.057
Undirected,N/A,sub-30147_ses-1_connectome.csv,77,1103,0.377,3.552,148,148,148,91,91,91,0.021,0.022,0.044,0.021,0.022,0.045
Undirected,N/A,sub-30149_ses-1_connectome.csv,74,1061,0.393,4.121,136,136,136,76,76,76,0.019,0.021,0.041,0.019,0.02,0.042
