type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29018_ses-1_connectome.csv,31,312,0.671,3.723,51,51,51,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29019_ses-1_connectome.csv,31,400,0.86,3.958,65,65,65,30,30,30,0.003,0.004,0.008,0.003,0.003,0.008
Undirected,N/A,sub-29020_ses-1_connectome.csv,30,327,0.752,3.553,51,51,51,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29016_ses-1_connectome.csv,31,355,0.763,4.327,61,61,61,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29023_ses-1_connectome.csv,30,351,0.807,4.301,54,54,54,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29022_ses-1_connectome.csv,30,338,0.777,3.538,58,58,58,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29011_ses-1_connectome.csv,30,353,0.811,3.879,50,50,50,29,29,29,0.003,0.003,0.006,0.004,0.003,0.007
Undirected,N/A,sub-29033_ses-1_connectome.csv,30,376,0.864,6.386,54,54,54,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29024_ses-1_connectome.csv,31,346,0.744,4.149,45,45,45,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29038_ses-1_connectome.csv,31,349,0.751,3.525,44,44,44,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29021_ses-1_connectome.csv,29,328,0.808,3.729,42,42,42,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29040_ses-1_connectome.csv,30,337,0.775,4.21,59,59,59,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29045_ses-1_connectome.csv,30,334,0.768,4.969,50,50,50,29,29,29,0.003,0.003,0.007,0.004,0.003,0.007
Undirected,N/A,sub-29032_ses-1_connectome.csv,31,364,0.783,4.147,59,59,59,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29047_ses-1_connectome.csv,31,386,0.83,3.8,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29048_ses-1_connectome.csv,30,316,0.726,4.645,55,55,55,29,29,29,0.003,0.003,0.007,0.003,0.003,0.006
Undirected,N/A,sub-29014_ses-1_connectome.csv,31,344,0.74,4.256,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29036_ses-1_connectome.csv,30,372,0.855,5.729,56,56,56,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29035_ses-1_connectome.csv,31,381,0.819,5.32,49,49,49,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-29044_ses-1_connectome.csv,31,404,0.869,5.715,63,63,63,30,30,30,0.003,0.004,0.008,0.003,0.003,0.008
Undirected,N/A,sub-30146_ses-1_connectome.csv,31,322,0.692,4.875,53,53,53,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29051_ses-1_connectome.csv,31,324,0.697,4.891,47,47,47,31,31,31,0.003,0.003,0.006,0.004,0.003,0.007
Undirected,N/A,sub-29049_ses-1_connectome.csv,30,311,0.715,5.793,59,59,59,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29056_ses-1_connectome.csv,31,398,0.856,5.237,56,56,56,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-29054_ses-1_connectome.csv,31,354,0.761,3.48,55,55,55,30,30,30,0.003,0.003,0.008,0.003,0.003,0.007
Undirected,N/A,sub-30149_ses-1_connectome.csv,31,317,0.682,3.854,59,59,59,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-30147_ses-1_connectome.csv,29,318,0.783,3.218,56,56,56,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29034_ses-1_connectome.csv,31,325,0.699,3.195,60,60,60,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29050_ses-1_connectome.csv,31,371,0.798,5.248,52,52,52,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
