type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,70,1371,0.568,4.071,144,144,144,70,70,70,0.02,0.022,0.048,0.021,0.02,0.048
Undirected,N/A,sub-29019_ses-1_connectome.csv,70,1670,0.692,3.643,155,155,155,69,69,69,0.024,0.025,0.055,0.025,0.026,0.063
Undirected,N/A,sub-29014_ses-1_connectome.csv,70,1509,0.625,3.498,154,154,154,69,69,69,0.023,0.023,0.051,0.022,0.023,0.053
Undirected,N/A,sub-29021_ses-1_connectome.csv,70,1502,0.622,3.409,177,177,177,69,69,69,0.022,0.023,0.051,0.021,0.022,0.054
Undirected,N/A,sub-29024_ses-1_connectome.csv,70,1252,0.518,3.572,161,161,161,70,70,70,0.02,0.021,0.044,0.02,0.021,0.046
Undirected,N/A,sub-29023_ses-1_connectome.csv,70,1457,0.603,3.645,164,164,164,69,69,69,0.022,0.023,0.049,0.021,0.022,0.051
Undirected,N/A,sub-29016_ses-1_connectome.csv,70,1583,0.655,3.445,146,146,146,69,69,69,0.022,0.024,0.056,0.022,0.023,0.055
Undirected,N/A,sub-29033_ses-1_connectome.csv,70,1466,0.607,3.933,142,142,142,69,69,69,0.021,0.022,0.05,0.02,0.021,0.05
Undirected,N/A,sub-29032_ses-1_connectome.csv,70,1540,0.638,3.623,158,158,158,69,69,69,0.022,0.023,0.051,0.023,0.023,0.053
Undirected,N/A,sub-29022_ses-1_connectome.csv,70,1600,0.663,3.593,156,156,156,69,69,69,0.021,0.022,0.055,0.022,0.027,0.063
Undirected,N/A,sub-29034_ses-1_connectome.csv,70,1465,0.607,4.004,145,145,145,69,69,69,0.023,0.022,0.048,0.021,0.022,0.051
Undirected,N/A,sub-29035_ses-1_connectome.csv,70,1471,0.609,3.764,166,166,166,69,69,69,0.021,0.022,0.048,0.021,0.022,0.052
Undirected,N/A,sub-29036_ses-1_connectome.csv,70,1456,0.603,3.551,144,144,144,70,70,70,0.02,0.021,0.048,0.02,0.022,0.052
Undirected,N/A,sub-29020_ses-1_connectome.csv,70,1515,0.627,3.457,134,134,134,70,70,70,0.022,0.022,0.05,0.022,0.023,0.052
Undirected,N/A,sub-29044_ses-1_connectome.csv,70,1816,0.752,3.882,140,140,140,70,70,70,0.022,0.024,0.058,0.023,0.024,0.063
Undirected,N/A,sub-29018_ses-1_connectome.csv,70,1303,0.54,3.91,148,148,148,70,70,70,0.02,0.021,0.045,0.02,0.02,0.046
Undirected,N/A,sub-29047_ses-1_connectome.csv,70,1395,0.578,3.618,153,153,153,69,69,69,0.022,0.023,0.047,0.021,0.022,0.048
Undirected,N/A,sub-29050_ses-1_connectome.csv,70,1571,0.651,4.057,140,140,140,69,69,69,0.022,0.024,0.055,0.023,0.023,0.055
Undirected,N/A,sub-29038_ses-1_connectome.csv,70,1436,0.595,3.616,156,156,156,75,75,75,0.022,0.023,0.049,0.021,0.022,0.051
Undirected,N/A,sub-29054_ses-1_connectome.csv,70,1555,0.644,3.965,137,137,137,69,69,69,0.021,0.022,0.052,0.022,0.022,0.053
Undirected,N/A,sub-29051_ses-1_connectome.csv,70,1489,0.617,3.688,155,155,155,72,72,72,0.021,0.023,0.048,0.022,0.023,0.051
Undirected,N/A,sub-29048_ses-1_connectome.csv,70,1420,0.588,3.653,157,157,157,69,69,69,0.022,0.023,0.048,0.022,0.024,0.054
Undirected,N/A,sub-29045_ses-1_connectome.csv,70,1514,0.627,3.408,169,169,169,69,69,69,0.023,0.023,0.05,0.021,0.022,0.053
Undirected,N/A,sub-30146_ses-1_connectome.csv,69,1545,0.659,4.144,148,148,148,68,68,68,0.021,0.022,0.049,0.023,0.024,0.056
Undirected,N/A,sub-30149_ses-1_connectome.csv,70,1476,0.611,3.507,179,179,179,70,70,70,0.022,0.023,0.05,0.021,0.022,0.052
Undirected,N/A,sub-30147_ses-1_connectome.csv,70,1388,0.575,4.017,145,145,145,70,70,70,0.02,0.021,0.047,0.02,0.021,0.049
Undirected,N/A,sub-29049_ses-1_connectome.csv,69,1374,0.586,3.846,152,152,152,68,68,68,0.02,0.022,0.045,0.02,0.021,0.048
Undirected,N/A,sub-29056_ses-1_connectome.csv,68,1301,0.571,4.043,130,130,130,70,70,70,0.018,0.019,0.043,0.018,0.019,0.045
Undirected,N/A,sub-29040_ses-1_connectome.csv,70,1601,0.663,3.561,160,160,160,69,69,69,0.022,0.024,0.053,0.023,0.023,0.056
