type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,74,1757,0.65,3.106,136,136,136,74,74,74,0.027,0.028,0.066,0.028,0.027,0.068
Undirected,N/A,sub-29021_ses-1_connectome.csv,74,1472,0.545,3.268,125,125,125,73,73,73,0.024,0.025,0.056,0.025,0.025,0.058
Undirected,N/A,sub-29016_ses-1_connectome.csv,74,1697,0.628,3.855,136,136,136,73,73,73,0.025,0.026,0.061,0.025,0.026,0.064
Undirected,N/A,sub-29019_ses-1_connectome.csv,74,1962,0.726,3.739,151,151,151,73,73,73,0.027,0.029,0.071,0.028,0.028,0.073
Undirected,N/A,sub-29020_ses-1_connectome.csv,74,1575,0.583,3.334,143,143,143,73,73,73,0.025,0.026,0.06,0.025,0.025,0.062
Undirected,N/A,sub-29023_ses-1_connectome.csv,74,1497,0.554,3.387,147,147,147,73,73,73,0.025,0.026,0.055,0.025,0.025,0.058
Undirected,N/A,sub-29032_ses-1_connectome.csv,74,1240,0.459,3.358,128,128,128,73,73,73,0.021,0.022,0.048,0.02,0.022,0.05
Undirected,N/A,sub-29033_ses-1_connectome.csv,74,1764,0.653,3.621,165,165,165,75,75,75,0.028,0.029,0.066,0.027,0.028,0.068
Undirected,N/A,sub-29034_ses-1_connectome.csv,74,1458,0.54,3.646,135,135,135,73,73,73,0.022,0.024,0.055,0.023,0.024,0.193
Undirected,N/A,sub-29035_ses-1_connectome.csv,74,1529,0.566,3.427,142,142,142,74,74,74,0.024,0.026,0.056,0.024,0.025,0.06
Undirected,N/A,sub-29038_ses-1_connectome.csv,74,1387,0.514,3.476,144,144,144,73,73,73,0.022,0.023,0.051,0.022,0.023,0.053
Undirected,N/A,sub-29036_ses-1_connectome.csv,74,1554,0.575,3.229,130,130,130,73,73,73,0.025,0.026,0.057,0.025,0.026,0.06
Undirected,N/A,sub-29024_ses-1_connectome.csv,74,1384,0.512,3.231,152,152,152,74,74,74,0.023,0.024,0.052,0.022,0.023,0.055
Undirected,N/A,sub-29018_ses-1_connectome.csv,74,1341,0.496,4.08,128,128,128,73,73,73,0.022,0.023,0.052,0.022,0.023,0.053
Undirected,N/A,sub-29040_ses-1_connectome.csv,74,1548,0.573,3.581,154,154,154,73,73,73,0.025,0.026,0.057,0.025,0.025,0.06
Undirected,N/A,sub-29022_ses-1_connectome.csv,74,1579,0.585,3.975,155,155,155,73,73,73,0.025,0.025,0.058,0.024,0.025,0.061
Undirected,N/A,sub-29044_ses-1_connectome.csv,74,1682,0.623,3.106,142,142,142,73,73,73,0.026,0.027,0.06,0.025,0.026,0.064
Undirected,N/A,sub-29048_ses-1_connectome.csv,74,1506,0.558,3.414,129,129,129,75,75,75,0.024,0.025,0.055,0.024,0.025,0.057
Undirected,N/A,sub-29047_ses-1_connectome.csv,74,1459,0.54,3.34,161,161,161,73,73,73,0.023,0.024,0.054,0.022,0.024,0.056
Undirected,N/A,sub-29011_ses-1_connectome.csv,74,1730,0.641,3.583,145,145,145,73,73,73,0.025,0.027,0.062,0.026,0.026,0.067
Undirected,N/A,sub-29045_ses-1_connectome.csv,74,1551,0.574,3.265,127,127,127,75,75,75,0.025,0.026,0.058,0.025,0.025,0.06
Undirected,N/A,sub-29049_ses-1_connectome.csv,74,1500,0.555,3.59,139,139,139,73,73,73,0.024,0.025,0.055,0.024,0.025,0.058
Undirected,N/A,sub-29050_ses-1_connectome.csv,73,1523,0.58,3.168,147,147,147,72,72,72,0.024,0.025,0.055,0.023,0.024,0.057
Undirected,N/A,sub-29054_ses-1_connectome.csv,74,1501,0.556,3.143,142,142,142,73,73,73,0.025,0.025,0.055,0.023,0.024,0.057
Undirected,N/A,sub-30147_ses-1_connectome.csv,74,1695,0.628,3.607,159,159,159,73,73,73,0.025,0.026,0.061,0.024,0.026,0.064
Undirected,N/A,sub-30149_ses-1_connectome.csv,74,1541,0.571,3.189,146,146,146,74,74,74,0.025,0.026,0.056,0.025,0.026,0.059
Undirected,N/A,sub-30146_ses-1_connectome.csv,74,1552,0.575,3.294,136,136,136,73,73,73,0.024,0.025,0.057,0.024,0.026,0.061
Undirected,N/A,sub-29056_ses-1_connectome.csv,74,1679,0.622,3.136,162,162,162,74,74,74,0.026,0.027,0.061,0.025,0.026,0.066
Undirected,N/A,sub-29051_ses-1_connectome.csv,74,1469,0.544,3.72,149,149,149,73,73,73,0.024,0.026,0.054,0.024,0.025,0.058
