type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29018_ses-1_connectome.csv,178,4494,0.285,2.528,319,319,319,189,189,189,0.18,0.187,0.403,0.18,0.189,0.4
Undirected,N/A,sub-29020_ses-1_connectome.csv,180,5936,0.368,2.537,356,356,356,183,183,183,0.219,0.231,0.526,0.226,0.228,0.537
Undirected,N/A,sub-29022_ses-1_connectome.csv,177,5641,0.362,2.5,373,373,373,178,178,178,0.217,0.228,0.496,0.218,0.228,0.509
Undirected,N/A,sub-29014_ses-1_connectome.csv,180,6239,0.387,2.602,405,405,405,184,184,184,0.245,0.258,0.549,0.244,0.255,0.574
Undirected,N/A,sub-29011_ses-1_connectome.csv,180,6362,0.395,2.594,483,483,483,186,186,186,0.243,0.255,0.556,0.248,0.255,0.585
Undirected,N/A,sub-29021_ses-1_connectome.csv,180,5241,0.325,2.653,416,416,416,184,184,184,0.221,0.226,0.46,0.204,0.211,0.48
Undirected,N/A,sub-29023_ses-1_connectome.csv,179,5458,0.343,2.657,390,390,390,187,187,187,0.216,0.225,0.47,0.216,0.222,0.49
Undirected,N/A,sub-29032_ses-1_connectome.csv,177,4295,0.276,2.577,354,354,354,190,190,190,0.169,0.178,0.372,0.173,0.2,0.389
Undirected,N/A,sub-29016_ses-1_connectome.csv,179,6262,0.393,2.699,410,410,410,180,180,180,0.243,0.251,0.551,0.245,0.251,0.57
Undirected,N/A,sub-29034_ses-1_connectome.csv,178,4712,0.299,2.504,393,393,393,187,187,187,0.19,0.202,0.412,0.192,0.206,0.434
Undirected,N/A,sub-29038_ses-1_connectome.csv,179,4821,0.303,2.683,337,337,337,191,191,191,0.197,0.202,0.424,0.2,0.22,0.441
Undirected,N/A,sub-29036_ses-1_connectome.csv,177,5315,0.341,2.589,374,374,374,177,177,177,0.208,0.211,0.462,0.212,0.215,0.498
Undirected,N/A,sub-29033_ses-1_connectome.csv,180,6416,0.398,2.537,423,423,423,181,181,181,0.234,0.242,0.555,0.234,0.243,0.593
Undirected,N/A,sub-29045_ses-1_connectome.csv,175,5221,0.343,2.636,359,359,359,178,178,178,0.198,0.208,0.451,0.2,0.219,0.469
Undirected,N/A,sub-29019_ses-1_connectome.csv,180,7763,0.482,2.664,424,424,424,183,183,183,0.261,0.276,0.712,0.266,0.429,0.719
Undirected,N/A,sub-29050_ses-1_connectome.csv,177,4802,0.308,2.695,384,384,384,187,187,187,0.192,0.2,0.41,0.187,0.195,0.431
Undirected,N/A,sub-29044_ses-1_connectome.csv,178,5655,0.359,2.447,398,398,398,193,193,193,0.224,0.238,0.496,0.221,0.235,0.508
Undirected,N/A,sub-29048_ses-1_connectome.csv,178,5071,0.322,2.687,395,395,395,189,189,189,0.202,0.211,0.444,0.203,0.206,0.457
Undirected,N/A,sub-29035_ses-1_connectome.csv,179,5324,0.334,2.638,386,386,386,180,180,180,0.202,0.21,0.471,0.202,0.214,0.482
Undirected,N/A,sub-29054_ses-1_connectome.csv,177,5918,0.38,2.708,363,363,363,177,177,177,0.223,0.233,0.504,0.223,0.232,0.556
Undirected,N/A,sub-29051_ses-1_connectome.csv,177,5395,0.346,2.733,374,374,374,183,183,183,0.2,0.208,0.461,0.204,0.211,0.484
Undirected,N/A,sub-30146_ses-1_connectome.csv,179,5330,0.335,2.824,340,340,340,186,186,186,0.204,0.215,0.463,0.201,0.212,0.493
Undirected,N/A,sub-29047_ses-1_connectome.csv,178,4863,0.309,2.645,370,370,370,185,185,185,0.185,0.194,0.422,0.189,0.203,0.468
Undirected,N/A,sub-29024_ses-1_connectome.csv,178,4966,0.315,2.614,384,384,384,183,183,183,0.202,0.209,0.436,0.202,0.208,0.451
Undirected,N/A,sub-30149_ses-1_connectome.csv,176,5233,0.34,2.644,397,397,397,180,180,180,0.202,0.208,0.447,0.196,0.207,0.46
Undirected,N/A,sub-29056_ses-1_connectome.csv,180,5703,0.354,2.704,429,429,429,188,188,188,0.22,0.227,0.528,0.214,0.226,0.524
Undirected,N/A,sub-30147_ses-1_connectome.csv,180,6031,0.374,2.766,435,435,435,186,186,186,0.233,0.24,0.533,0.225,0.232,0.548
Undirected,N/A,sub-29040_ses-1_connectome.csv,179,5595,0.351,2.466,395,395,395,181,181,181,0.216,0.224,0.49,0.216,0.221,0.502
Undirected,N/A,sub-29049_ses-1_connectome.csv,179,5208,0.327,2.427,351,351,351,182,182,182,0.202,0.224,0.454,0.204,0.208,0.469
