type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29016_ses-1_connectome.csv,83,2260,0.664,3.41,158,158,158,82,82,82,0.035,0.037,0.089,0.035,0.037,0.093
Undirected,N/A,sub-29014_ses-1_connectome.csv,83,1944,0.571,3.882,168,168,168,82,82,82,0.033,0.034,0.08,0.032,0.033,0.081
Undirected,N/A,sub-29020_ses-1_connectome.csv,83,2086,0.613,3.294,155,155,155,82,82,82,0.034,0.036,0.082,0.033,0.035,0.086
Undirected,N/A,sub-29019_ses-1_connectome.csv,83,2222,0.653,3.813,157,157,157,82,82,82,0.035,0.037,0.089,0.037,0.037,0.09
Undirected,N/A,sub-29021_ses-1_connectome.csv,83,1858,0.546,3.362,172,172,172,82,82,82,0.032,0.035,0.076,0.033,0.034,0.079
Undirected,N/A,sub-29032_ses-1_connectome.csv,83,2100,0.617,3.217,164,164,164,82,82,82,0.033,0.035,0.086,0.033,0.037,0.086
Undirected,N/A,sub-29022_ses-1_connectome.csv,83,2159,0.634,3.608,191,191,191,82,82,82,0.035,0.037,0.084,0.035,0.036,0.088
Undirected,N/A,sub-29018_ses-1_connectome.csv,83,1648,0.484,3.617,150,150,150,82,82,82,0.03,0.032,0.069,0.03,0.031,0.071
Undirected,N/A,sub-29024_ses-1_connectome.csv,83,1732,0.509,3.439,171,171,171,82,82,82,0.033,0.034,0.071,0.032,0.033,0.073
Undirected,N/A,sub-29034_ses-1_connectome.csv,83,1974,0.58,3.45,165,165,165,85,85,85,0.034,0.035,0.079,0.033,0.034,0.081
Undirected,N/A,sub-29033_ses-1_connectome.csv,83,2180,0.641,3.59,183,183,183,82,82,82,0.033,0.035,0.085,0.034,0.034,0.088
Undirected,N/A,sub-29038_ses-1_connectome.csv,83,1958,0.575,3.447,170,170,170,82,82,82,0.032,0.034,0.077,0.032,0.033,0.081
Undirected,N/A,sub-29035_ses-1_connectome.csv,83,2101,0.617,3.633,181,181,181,82,82,82,0.035,0.036,0.081,0.033,0.035,0.093
Undirected,N/A,sub-29036_ses-1_connectome.csv,83,2158,0.634,3.295,164,164,164,82,82,82,0.036,0.037,0.087,0.035,0.036,0.087
Undirected,N/A,sub-29011_ses-1_connectome.csv,83,1965,0.577,3.773,168,168,168,82,82,82,0.032,0.034,0.077,0.032,0.033,0.081
Undirected,N/A,sub-29044_ses-1_connectome.csv,83,2620,0.77,3.649,196,196,196,82,82,82,0.04,0.041,0.101,0.039,0.041,0.106
Undirected,N/A,sub-29040_ses-1_connectome.csv,83,2006,0.589,3.397,162,162,162,82,82,82,0.033,0.035,0.083,0.034,0.034,0.084
Undirected,N/A,sub-29049_ses-1_connectome.csv,83,1905,0.56,3.726,167,167,167,83,83,83,0.032,0.034,0.076,0.031,0.034,0.083
Undirected,N/A,sub-29050_ses-1_connectome.csv,83,2142,0.629,3.473,165,165,165,82,82,82,0.035,0.037,0.251,0.034,0.035,0.089
Undirected,N/A,sub-29051_ses-1_connectome.csv,83,2043,0.6,3.198,156,156,156,82,82,82,0.032,0.035,0.084,0.034,0.035,0.088
Undirected,N/A,sub-29048_ses-1_connectome.csv,83,1943,0.571,3.575,160,160,160,82,82,82,0.032,0.033,0.077,0.031,0.033,0.098
Undirected,N/A,sub-29045_ses-1_connectome.csv,83,2034,0.598,3.519,202,202,202,82,82,82,0.036,0.038,0.083,0.035,0.036,0.085
Undirected,N/A,sub-30146_ses-1_connectome.csv,83,1899,0.558,3.6,166,166,166,82,82,82,0.033,0.035,0.081,0.033,0.034,0.081
Undirected,N/A,sub-29023_ses-1_connectome.csv,83,2152,0.632,3.393,170,170,170,82,82,82,0.037,0.038,0.085,0.036,0.037,0.088
Undirected,N/A,sub-29054_ses-1_connectome.csv,83,2048,0.602,3.424,180,180,180,82,82,82,0.034,0.036,0.085,0.035,0.036,0.087
Undirected,N/A,sub-30147_ses-1_connectome.csv,83,1863,0.547,3.367,192,192,192,82,82,82,0.034,0.037,0.08,0.035,0.038,0.086
Undirected,N/A,sub-30149_ses-1_connectome.csv,83,1989,0.584,3.634,169,169,169,83,83,83,0.034,0.034,0.078,0.033,0.035,0.084
Undirected,N/A,sub-29047_ses-1_connectome.csv,83,1865,0.548,3.47,153,153,153,82,82,82,0.033,0.035,0.077,0.034,0.034,0.077
Undirected,N/A,sub-29056_ses-1_connectome.csv,83,2356,0.692,3.446,173,173,173,83,83,83,0.036,0.039,0.092,0.035,0.037,0.095
