type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,48,782,0.693,3.165,75,75,75,47,47,47,0.008,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-29011_ses-1_connectome.csv,48,791,0.701,4.024,85,85,85,47,47,47,0.008,0.009,0.019,0.008,0.009,0.02
Undirected,N/A,sub-29018_ses-1_connectome.csv,48,597,0.529,3.589,80,80,80,47,47,47,0.007,0.008,0.016,0.007,0.007,0.016
Undirected,N/A,sub-29016_ses-1_connectome.csv,48,732,0.649,3.543,74,74,74,47,47,47,0.008,0.008,0.019,0.008,0.009,0.02
Undirected,N/A,sub-29019_ses-1_connectome.csv,48,856,0.759,3.973,94,94,94,47,47,47,0.009,0.009,0.022,0.009,0.01,0.022
Undirected,N/A,sub-29024_ses-1_connectome.csv,48,647,0.574,3.383,80,80,80,47,47,47,0.008,0.009,0.018,0.008,0.009,0.019
Undirected,N/A,sub-29020_ses-1_connectome.csv,48,725,0.643,4.033,73,73,73,47,47,47,0.009,0.009,0.02,0.009,0.009,0.02
Undirected,N/A,sub-29023_ses-1_connectome.csv,48,681,0.604,3.673,71,71,71,47,47,47,0.008,0.009,0.019,0.008,0.01,0.02
Undirected,N/A,sub-29036_ses-1_connectome.csv,48,749,0.664,3.909,79,79,79,47,47,47,0.009,0.01,0.02,0.009,0.009,0.021
Undirected,N/A,sub-29040_ses-1_connectome.csv,48,663,0.588,3.292,73,73,73,47,47,47,0.009,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-29022_ses-1_connectome.csv,48,693,0.614,3.937,65,65,65,47,47,47,0.008,0.008,0.019,0.008,0.009,0.019
Undirected,N/A,sub-29021_ses-1_connectome.csv,48,700,0.621,3.459,79,79,79,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-29032_ses-1_connectome.csv,48,637,0.565,3.39,79,79,79,48,48,48,0.008,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-29048_ses-1_connectome.csv,48,694,0.615,3.409,76,76,76,47,47,47,0.008,0.008,0.018,0.008,0.009,0.019
Undirected,N/A,sub-29033_ses-1_connectome.csv,48,783,0.694,4.098,72,72,72,47,47,47,0.009,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-29044_ses-1_connectome.csv,48,768,0.681,3.467,86,86,86,48,48,48,0.009,0.009,0.021,0.009,0.01,0.03
Undirected,N/A,sub-29045_ses-1_connectome.csv,48,687,0.609,4.133,82,82,82,47,47,47,0.008,0.009,0.02,0.008,0.008,0.019
Undirected,N/A,sub-29050_ses-1_connectome.csv,48,688,0.61,3.611,76,76,76,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-29038_ses-1_connectome.csv,48,668,0.592,3.962,75,75,75,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-29047_ses-1_connectome.csv,48,662,0.587,3.842,85,85,85,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-29049_ses-1_connectome.csv,48,681,0.604,3.374,78,78,78,47,47,47,0.008,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-30147_ses-1_connectome.csv,48,737,0.653,3.832,101,101,101,47,47,47,0.008,0.009,0.019,0.008,0.009,0.019
Undirected,N/A,sub-29054_ses-1_connectome.csv,48,725,0.643,4.084,82,82,82,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-29056_ses-1_connectome.csv,48,730,0.647,3.404,65,65,65,47,47,47,0.007,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-29034_ses-1_connectome.csv,48,642,0.569,3.059,69,69,69,47,47,47,0.007,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-29035_ses-1_connectome.csv,48,689,0.611,4.028,73,73,73,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-29051_ses-1_connectome.csv,48,677,0.6,3.939,80,80,80,47,47,47,0.009,0.01,0.02,0.009,0.009,0.02
Undirected,N/A,sub-30146_ses-1_connectome.csv,48,662,0.587,3.659,68,68,68,47,47,47,0.007,0.008,0.018,0.007,0.008,0.018
Undirected,N/A,sub-30149_ses-1_connectome.csv,48,703,0.623,4.183,86,86,86,47,47,47,0.008,0.009,0.019,0.008,0.008,0.02
