type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29016_ses-1_connectome.csv,21,209,0.995,14.422,26,26,26,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29011_ses-1_connectome.csv,21,205,0.976,8.206,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29021_ses-1_connectome.csv,21,196,0.933,9.849,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29020_ses-1_connectome.csv,21,202,0.962,8.145,28,28,28,20,20,20,0.001,0.001,0.004,0.001,0.002,0.003
Undirected,N/A,sub-29019_ses-1_connectome.csv,21,204,0.971,8.185,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29014_ses-1_connectome.csv,21,189,0.9,4.472,27,27,27,20,20,20,0.001,0.002,0.007,0.002,0.002,0.006
Undirected,N/A,sub-29022_ses-1_connectome.csv,21,206,0.981,8.226,28,28,28,20,20,20,0.002,0.002,0.004,0.002,0.002,0.003
Undirected,N/A,sub-29023_ses-1_connectome.csv,21,205,0.976,8.206,27,27,27,20,20,20,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29032_ses-1_connectome.csv,21,203,0.967,14.213,27,27,27,20,20,20,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29034_ses-1_connectome.csv,21,205,0.976,7.089,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29024_ses-1_connectome.csv,21,186,0.886,6.017,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29018_ses-1_connectome.csv,21,186,0.886,6.745,25,25,25,20,20,20,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29044_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.003,0.003,0.004,0.001,0.002,0.003
Undirected,N/A,sub-29035_ses-1_connectome.csv,21,210,1.0,10.198,26,26,26,20,20,20,0.002,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-29038_ses-1_connectome.csv,21,203,0.967,7.053,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29036_ses-1_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29045_ses-1_connectome.csv,21,201,0.957,9.975,25,25,25,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29051_ses-1_connectome.csv,21,198,0.943,6.213,28,28,28,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29054_ses-1_connectome.csv,21,201,0.957,7.018,27,27,27,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29049_ses-1_connectome.csv,21,204,0.971,5.745,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29047_ses-1_connectome.csv,21,205,0.976,8.206,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29040_ses-1_connectome.csv,21,207,0.986,8.246,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29033_ses-1_connectome.csv,21,209,0.995,14.422,28,28,28,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-30149_ses-1_connectome.csv,21,195,0.929,13.928,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-30146_ses-1_connectome.csv,21,206,0.981,7.106,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29056_ses-1_connectome.csv,21,209,0.995,14.422,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29050_ses-1_connectome.csv,21,209,0.995,8.287,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-30147_ses-1_connectome.csv,21,190,0.905,4.243,27,27,27,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-29048_ses-1_connectome.csv,21,200,0.952,5.251,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
