type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29016_ses-1_connectome.csv,48,494,0.438,3.514,77,77,77,47,47,47,0.006,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-29014_ses-1_connectome.csv,48,490,0.434,3.987,68,68,68,47,47,47,0.006,0.007,0.015,0.006,0.007,0.014
Undirected,N/A,sub-29020_ses-1_connectome.csv,48,536,0.475,3.521,81,81,81,47,47,47,0.007,0.008,0.015,0.007,0.007,0.015
Undirected,N/A,sub-29032_ses-1_connectome.csv,48,476,0.422,4.247,71,71,71,47,47,47,0.006,0.007,0.014,0.006,0.007,0.015
Undirected,N/A,sub-29018_ses-1_connectome.csv,48,376,0.333,4.011,67,67,67,48,48,48,0.006,0.006,0.012,0.005,0.006,0.012
Undirected,N/A,sub-29024_ses-1_connectome.csv,48,445,0.395,3.273,75,75,75,47,47,47,0.006,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-29033_ses-1_connectome.csv,48,555,0.492,3.25,72,72,72,47,47,47,0.007,0.008,0.015,0.007,0.007,0.016
Undirected,N/A,sub-29019_ses-1_connectome.csv,48,521,0.462,3.069,81,81,81,47,47,47,0.007,0.008,0.014,0.007,0.007,0.016
Undirected,N/A,sub-29011_ses-1_connectome.csv,48,434,0.385,3.43,69,69,69,47,47,47,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29036_ses-1_connectome.csv,48,464,0.411,3.348,73,73,73,47,47,47,0.008,0.008,0.017,0.007,0.007,0.018
Undirected,N/A,sub-29034_ses-1_connectome.csv,48,451,0.4,3.345,67,67,67,47,47,47,0.007,0.007,0.015,0.007,0.007,0.014
Undirected,N/A,sub-29022_ses-1_connectome.csv,48,494,0.438,2.98,69,69,69,48,48,48,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-29035_ses-1_connectome.csv,48,470,0.417,3.639,74,74,74,47,47,47,0.007,0.009,0.016,0.008,0.008,0.017
Undirected,N/A,sub-29045_ses-1_connectome.csv,48,464,0.411,3.397,75,75,75,48,48,48,0.007,0.008,0.016,0.008,0.008,0.016
Undirected,N/A,sub-29023_ses-1_connectome.csv,48,465,0.412,2.982,72,72,72,47,47,47,0.007,0.008,0.015,0.007,0.008,0.015
Undirected,N/A,sub-29040_ses-1_connectome.csv,48,510,0.452,3.067,60,60,60,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-29021_ses-1_connectome.csv,48,472,0.418,3.647,73,73,73,47,47,47,0.007,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-29047_ses-1_connectome.csv,48,452,0.401,3.751,75,75,75,47,47,47,0.007,0.007,0.013,0.006,0.007,0.014
Undirected,N/A,sub-29056_ses-1_connectome.csv,48,530,0.47,3.283,68,68,68,48,48,48,0.007,0.007,0.015,0.007,0.007,0.015
Undirected,N/A,sub-29054_ses-1_connectome.csv,48,533,0.473,4.247,85,85,85,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-29050_ses-1_connectome.csv,48,447,0.396,4.294,71,71,71,48,48,48,0.006,0.007,0.013,0.006,0.007,0.014
Undirected,N/A,sub-29049_ses-1_connectome.csv,46,418,0.404,3.596,74,74,74,45,45,45,0.006,0.007,0.012,0.006,0.006,0.013
Undirected,N/A,sub-29048_ses-1_connectome.csv,48,464,0.411,3.556,72,72,72,49,49,49,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-29038_ses-1_connectome.csv,48,480,0.426,3.46,78,78,78,47,47,47,0.007,0.008,0.015,0.007,0.007,0.015
Undirected,N/A,sub-30149_ses-1_connectome.csv,48,467,0.414,3.687,75,75,75,48,48,48,0.006,0.007,0.014,0.006,0.007,0.014
Undirected,N/A,sub-30146_ses-1_connectome.csv,48,470,0.417,3.235,73,73,73,47,47,47,0.006,0.007,0.013,0.006,0.006,0.013
Undirected,N/A,sub-29044_ses-1_connectome.csv,48,647,0.574,3.249,79,79,79,47,47,47,0.007,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-30147_ses-1_connectome.csv,48,466,0.413,4.291,67,67,67,47,47,47,0.006,0.007,0.013,0.006,0.007,0.014
Undirected,N/A,sub-29051_ses-1_connectome.csv,48,441,0.391,4.168,74,74,74,47,47,47,0.006,0.007,0.013,0.006,0.006,0.013
