type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29014_ses-1_connectome.csv,101,1739,0.344,2.971,229,229,229,102,102,102,0.043,0.048,0.091,0.042,0.042,0.094
Undirected,N/A,sub-29016_ses-1_connectome.csv,101,1892,0.375,3.257,224,224,224,103,103,103,0.044,0.047,0.1,0.044,0.046,0.102
Undirected,N/A,sub-29018_ses-1_connectome.csv,93,1356,0.317,4.386,188,188,188,95,95,95,0.031,0.033,0.069,0.03,0.031,0.067
Undirected,N/A,sub-29020_ses-1_connectome.csv,100,1923,0.388,3.413,230,230,230,100,100,100,0.044,0.044,0.096,0.042,0.045,0.1
Undirected,N/A,sub-29022_ses-1_connectome.csv,101,1789,0.354,2.795,205,205,205,103,103,103,0.045,0.048,0.096,0.043,0.045,0.102
Undirected,N/A,sub-29011_ses-1_connectome.csv,100,1589,0.321,3.531,215,215,215,105,105,105,0.039,0.041,0.082,0.037,0.039,0.084
Undirected,N/A,sub-29032_ses-1_connectome.csv,102,1726,0.335,3.315,224,224,224,102,102,102,0.04,0.043,0.09,0.039,0.041,0.093
Undirected,N/A,sub-29019_ses-1_connectome.csv,100,1916,0.387,3.154,215,215,215,101,101,101,0.045,0.047,0.098,0.044,0.047,0.103
Undirected,N/A,sub-29023_ses-1_connectome.csv,101,1799,0.356,2.714,209,209,209,102,102,102,0.044,0.046,0.095,0.042,0.043,0.098
Undirected,N/A,sub-29021_ses-1_connectome.csv,100,1575,0.318,2.81,206,206,206,108,108,108,0.041,0.043,0.083,0.039,0.041,0.085
Undirected,N/A,sub-29038_ses-1_connectome.csv,93,1264,0.295,3.508,195,195,195,93,93,93,0.03,0.032,0.067,0.031,0.03,0.063
Undirected,N/A,sub-29036_ses-1_connectome.csv,101,1663,0.329,3.523,213,213,213,102,102,102,0.038,0.04,0.085,0.036,0.039,0.088
Undirected,N/A,sub-29047_ses-1_connectome.csv,102,1659,0.322,3.503,194,194,194,104,104,104,0.042,0.043,0.086,0.047,0.043,0.09
Undirected,N/A,sub-29035_ses-1_connectome.csv,101,1818,0.36,3.186,208,208,208,107,107,107,0.042,0.044,0.096,0.041,0.044,0.099
Undirected,N/A,sub-29034_ses-1_connectome.csv,99,1898,0.391,2.906,208,208,208,99,99,99,0.045,0.047,0.095,0.046,0.049,0.1
Undirected,N/A,sub-29049_ses-1_connectome.csv,99,1657,0.342,3.292,193,193,193,98,98,98,0.039,0.041,0.087,0.037,0.039,0.088
Undirected,N/A,sub-29048_ses-1_connectome.csv,101,1658,0.328,3.07,210,210,210,102,102,102,0.041,0.044,0.086,0.04,0.042,0.203
Undirected,N/A,sub-29033_ses-1_connectome.csv,99,2254,0.465,3.231,266,266,266,99,99,99,0.054,0.053,0.119,0.05,0.051,0.116
Undirected,N/A,sub-30146_ses-1_connectome.csv,88,1306,0.341,3.654,179,179,179,87,87,87,0.028,0.029,0.06,0.027,0.028,0.063
Undirected,N/A,sub-29056_ses-1_connectome.csv,102,1655,0.321,3.439,210,210,210,103,103,103,0.039,0.042,0.087,0.038,0.041,0.091
Undirected,N/A,sub-29024_ses-1_connectome.csv,101,1437,0.285,3.032,224,224,224,106,106,106,0.036,0.038,0.076,0.035,0.037,0.08
Undirected,N/A,sub-29045_ses-1_connectome.csv,100,1614,0.326,2.994,209,209,209,106,106,106,0.041,0.043,0.086,0.04,0.041,0.091
Undirected,N/A,sub-29051_ses-1_connectome.csv,100,1743,0.352,3.479,215,215,215,99,99,99,0.044,0.044,0.093,0.039,0.04,0.095
Undirected,N/A,sub-30149_ses-1_connectome.csv,92,1195,0.285,3.239,198,198,198,101,101,101,0.027,0.029,0.059,0.025,0.027,0.062
Undirected,N/A,sub-29050_ses-1_connectome.csv,99,1714,0.353,3.064,219,219,219,107,107,107,0.039,0.042,0.086,0.038,0.04,0.089
Undirected,N/A,sub-29054_ses-1_connectome.csv,101,2072,0.41,3.272,225,225,225,100,100,100,0.047,0.049,0.105,0.045,0.047,0.111
Undirected,N/A,sub-29040_ses-1_connectome.csv,99,1812,0.374,3.078,210,210,210,98,98,98,0.041,0.043,0.09,0.042,0.043,0.097
Undirected,N/A,sub-30147_ses-1_connectome.csv,102,2116,0.411,3.394,236,236,236,103,103,103,0.047,0.051,0.115,0.051,0.052,0.115
Undirected,N/A,sub-29044_ses-1_connectome.csv,103,2369,0.451,3.125,222,222,222,106,106,106,0.054,0.058,0.125,0.053,0.056,0.13
