type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,66,1141,0.532,3.417,97,97,97,65,65,65,0.016,0.017,0.037,0.017,0.018,0.039
Undirected,N/A,sub-29018_ses-1_connectome.csv,66,1079,0.503,3.237,93,93,93,65,65,65,0.016,0.017,0.035,0.016,0.017,0.038
Undirected,N/A,sub-29014_ses-1_connectome.csv,66,1197,0.558,3.128,89,89,89,65,65,65,0.016,0.017,0.04,0.017,0.018,0.044
Undirected,N/A,sub-29021_ses-1_connectome.csv,66,1137,0.53,3.087,91,91,91,65,65,65,0.018,0.019,0.039,0.018,0.019,0.039
Undirected,N/A,sub-29016_ses-1_connectome.csv,66,1316,0.614,3.585,97,97,97,65,65,65,0.018,0.019,0.043,0.019,0.02,0.047
Undirected,N/A,sub-29020_ses-1_connectome.csv,65,1268,0.61,3.328,100,100,100,64,64,64,0.017,0.018,0.04,0.017,0.018,0.041
Undirected,N/A,sub-29019_ses-1_connectome.csv,66,1346,0.628,2.995,98,98,98,65,65,65,0.016,0.017,0.042,0.017,0.018,0.043
Undirected,N/A,sub-29033_ses-1_connectome.csv,66,1277,0.595,3.589,109,109,109,65,65,65,0.017,0.018,0.039,0.017,0.018,0.041
Undirected,N/A,sub-29034_ses-1_connectome.csv,65,1100,0.529,3.145,99,99,99,64,64,64,0.015,0.016,0.033,0.015,0.016,0.036
Undirected,N/A,sub-29032_ses-1_connectome.csv,66,1134,0.529,3.288,103,103,103,67,67,67,0.015,0.016,0.036,0.015,0.016,0.038
Undirected,N/A,sub-29044_ses-1_connectome.csv,66,1455,0.678,3.549,114,114,114,67,67,67,0.018,0.018,0.044,0.018,0.019,0.046
Undirected,N/A,sub-29023_ses-1_connectome.csv,66,1252,0.584,3.637,104,104,104,65,65,65,0.016,0.017,0.04,0.017,0.017,0.042
Undirected,N/A,sub-29035_ses-1_connectome.csv,66,1260,0.587,3.742,100,100,100,65,65,65,0.017,0.017,0.039,0.017,0.018,0.041
Undirected,N/A,sub-29040_ses-1_connectome.csv,66,1308,0.61,3.679,99,99,99,65,65,65,0.017,0.018,0.041,0.017,0.018,0.042
Undirected,N/A,sub-29047_ses-1_connectome.csv,66,998,0.465,3.32,96,96,96,65,65,65,0.014,0.015,0.032,0.015,0.016,0.034
Undirected,N/A,sub-29036_ses-1_connectome.csv,66,1257,0.586,3.182,103,103,103,65,65,65,0.016,0.017,0.039,0.017,0.018,0.041
Undirected,N/A,sub-29038_ses-1_connectome.csv,66,1097,0.511,3.429,99,99,99,65,65,65,0.014,0.016,0.035,0.015,0.015,0.036
Undirected,N/A,sub-29024_ses-1_connectome.csv,66,1003,0.468,3.543,91,91,91,65,65,65,0.014,0.015,0.032,0.015,0.016,0.035
Undirected,N/A,sub-29051_ses-1_connectome.csv,66,1146,0.534,3.533,105,105,105,65,65,65,0.015,0.017,0.036,0.015,0.016,0.038
Undirected,N/A,sub-29022_ses-1_connectome.csv,66,1150,0.536,3.258,97,97,97,65,65,65,0.015,0.016,0.038,0.016,0.017,0.038
Undirected,N/A,sub-30146_ses-1_connectome.csv,66,1084,0.505,3.519,92,92,92,66,66,66,0.016,0.016,0.035,0.016,0.017,0.038
Undirected,N/A,sub-29048_ses-1_connectome.csv,66,1148,0.535,3.368,97,97,97,65,65,65,0.016,0.017,0.038,0.016,0.017,0.039
Undirected,N/A,sub-29049_ses-1_connectome.csv,66,1112,0.518,3.39,96,96,96,66,66,66,0.015,0.016,0.035,0.015,0.017,0.038
Undirected,N/A,sub-30149_ses-1_connectome.csv,66,1027,0.479,4.42,102,102,102,65,65,65,0.015,0.016,0.033,0.015,0.016,0.035
Undirected,N/A,sub-29045_ses-1_connectome.csv,66,1149,0.536,3.137,100,100,100,65,65,65,0.016,0.016,0.036,0.016,0.017,0.038
Undirected,N/A,sub-30147_ses-1_connectome.csv,66,1168,0.545,2.983,127,127,127,65,65,65,0.016,0.018,0.037,0.016,0.017,0.039
Undirected,N/A,sub-29050_ses-1_connectome.csv,66,1281,0.597,3.705,103,103,103,65,65,65,0.016,0.016,0.04,0.016,0.017,0.041
Undirected,N/A,sub-29056_ses-1_connectome.csv,66,1429,0.666,3.429,101,101,101,65,65,65,0.017,0.018,0.043,0.018,0.018,0.046
Undirected,N/A,sub-29054_ses-1_connectome.csv,66,1209,0.564,3.33,106,106,106,65,65,65,0.016,0.018,0.038,0.016,0.017,0.04
