type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29014_ses-1_connectome.csv,23,144,0.569,3.317,25,25,25,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29018_ses-1_connectome.csv,28,201,0.532,3.969,36,36,36,27,27,27,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-29019_ses-1_connectome.csv,20,136,0.716,5.745,29,29,29,19,19,19,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-29016_ses-1_connectome.csv,20,118,0.621,3.982,26,26,26,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29023_ses-1_connectome.csv,31,254,0.546,3.621,45,45,45,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29021_ses-1_connectome.csv,24,159,0.576,6.225,30,30,30,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29024_ses-1_connectome.csv,24,140,0.507,4.062,33,33,33,24,24,24,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29033_ses-1_connectome.csv,22,142,0.615,3.844,26,26,26,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29032_ses-1_connectome.csv,22,132,0.571,4.583,27,27,27,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29035_ses-1_connectome.csv,32,211,0.425,4.072,40,40,40,31,31,31,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29020_ses-1_connectome.csv,23,179,0.708,5.899,36,36,36,24,24,24,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29022_ses-1_connectome.csv,33,270,0.511,3.0,50,50,50,34,34,34,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29036_ses-1_connectome.csv,24,144,0.522,3.047,33,33,33,24,24,24,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29044_ses-1_connectome.csv,21,142,0.676,5.235,31,31,31,22,22,22,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29047_ses-1_connectome.csv,20,139,0.732,5.809,30,30,30,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29040_ses-1_connectome.csv,20,132,0.695,3.317,30,30,30,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29056_ses-1_connectome.csv,5,8,0.8,2.646,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29034_ses-1_connectome.csv,32,255,0.514,2.968,44,44,44,31,31,31,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29054_ses-1_connectome.csv,8,21,0.75,4.472,8,8,8,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29050_ses-1_connectome.csv,19,109,0.637,3.817,23,23,23,18,18,18,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29051_ses-1_connectome.csv,20,129,0.679,4.98,26,26,26,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29045_ses-1_connectome.csv,33,255,0.483,3.338,47,47,47,34,34,34,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29038_ses-1_connectome.csv,4,5,0.833,2.0,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-30147_ses-1_connectome.csv,7,20,0.952,4.359,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-30149_ses-1_connectome.csv,24,176,0.638,4.583,33,33,33,23,23,23,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29048_ses-1_connectome.csv,20,122,0.642,4.053,20,20,20,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29049_ses-1_connectome.csv,23,168,0.664,2.72,33,33,33,22,22,22,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-30146_ses-1_connectome.csv,4,5,0.833,2.0,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
