type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29019_ses-1_connectome.csv,398,14547,0.184,2.391,1015,1015,1015,426,426,426,1.563,1.703,3.815,1.505,1.647,3.794
Undirected,N/A,sub-29018_ses-1_connectome.csv,386,8503,0.114,2.44,939,939,939,463,463,463,0.87,0.956,1.971,0.847,0.907,1.964
Undirected,N/A,sub-29020_ses-1_connectome.csv,384,11137,0.151,2.446,915,915,915,429,429,429,1.149,1.21,2.668,1.116,1.187,2.73
Undirected,N/A,sub-29021_ses-1_connectome.csv,384,8610,0.117,2.433,897,897,897,431,431,431,0.883,0.942,1.925,0.857,0.916,1.988
Undirected,N/A,sub-29011_ses-1_connectome.csv,389,10817,0.143,2.345,988,988,988,459,459,459,1.087,1.203,2.556,1.083,1.154,2.476
Undirected,N/A,sub-29032_ses-1_connectome.csv,366,7603,0.114,2.396,826,826,826,430,430,430,0.901,0.788,1.509,0.72,0.765,1.564
Undirected,N/A,sub-29024_ses-1_connectome.csv,382,8860,0.122,2.393,890,890,890,428,428,428,0.858,0.933,1.97,0.832,0.881,1.963
Undirected,N/A,sub-29023_ses-1_connectome.csv,391,10636,0.139,2.415,975,975,975,434,434,434,1.103,1.214,2.503,1.078,1.173,2.588
Undirected,N/A,sub-29036_ses-1_connectome.csv,381,9275,0.128,2.332,963,963,963,460,460,460,0.975,1.054,2.122,0.95,1.016,2.148
Undirected,N/A,sub-29016_ses-1_connectome.csv,391,11850,0.155,2.361,898,898,898,446,446,446,1.223,1.351,2.925,1.303,1.339,2.993
Undirected,N/A,sub-29022_ses-1_connectome.csv,389,11298,0.15,2.357,986,986,986,448,448,448,1.241,1.315,2.781,1.176,1.277,2.833
Undirected,N/A,sub-29034_ses-1_connectome.csv,377,9086,0.128,2.317,923,923,923,442,442,442,0.94,1.019,2.014,0.948,0.982,2.057
Undirected,N/A,sub-29033_ses-1_connectome.csv,384,11128,0.151,2.357,1001,1001,1001,434,434,434,1.124,1.213,2.7,1.131,1.186,2.757
Undirected,N/A,sub-29035_ses-1_connectome.csv,382,9592,0.132,2.46,862,862,862,425,425,425,0.981,1.04,2.258,0.972,1.021,2.296
Undirected,N/A,sub-29045_ses-1_connectome.csv,378,9140,0.128,2.384,918,918,918,445,445,445,0.864,0.936,2.039,0.894,0.929,2.119
Undirected,N/A,sub-29047_ses-1_connectome.csv,391,9315,0.122,2.354,1003,1003,1003,438,438,438,0.929,0.996,2.186,0.904,0.96,2.22
Undirected,N/A,sub-29050_ses-1_connectome.csv,378,9800,0.138,2.286,918,918,918,437,437,437,1.057,1.127,2.301,1.181,1.037,2.258
Undirected,N/A,sub-30146_ses-1_connectome.csv,384,9389,0.128,2.389,913,913,913,446,446,446,0.972,1.051,2.139,0.937,1.003,2.174
Undirected,N/A,sub-29051_ses-1_connectome.csv,391,9982,0.131,2.358,922,922,922,465,465,465,1.044,1.133,2.382,1.0,1.084,2.407
Undirected,N/A,sub-29048_ses-1_connectome.csv,384,9530,0.13,2.355,868,868,868,437,437,437,0.963,1.032,2.18,0.915,1.001,2.219
Undirected,N/A,sub-29044_ses-1_connectome.csv,382,11866,0.163,2.286,844,844,844,438,438,438,1.259,1.395,2.914,1.245,1.372,2.959
Undirected,N/A,sub-30147_ses-1_connectome.csv,388,10064,0.134,2.376,935,935,935,454,454,454,1.084,1.154,2.388,1.052,1.122,2.443
Undirected,N/A,sub-29038_ses-1_connectome.csv,383,9340,0.128,2.418,881,881,881,421,421,421,0.964,1.026,2.124,0.929,0.99,2.169
Undirected,N/A,sub-29049_ses-1_connectome.csv,390,10295,0.136,2.29,962,962,962,444,444,444,1.069,1.143,2.433,1.058,1.128,2.509
Undirected,N/A,sub-29056_ses-1_connectome.csv,390,11165,0.147,2.407,1059,1059,1059,468,468,468,1.18,1.256,2.682,1.1,1.229,2.795
Undirected,N/A,sub-29040_ses-1_connectome.csv,387,11607,0.155,2.378,963,963,963,415,415,415,1.212,1.339,2.884,1.233,1.303,2.899
Undirected,N/A,sub-29014_ses-1_connectome.csv,394,11480,0.148,2.292,977,977,977,443,443,443,1.25,1.328,2.851,1.239,1.322,2.991
Undirected,N/A,sub-30149_ses-1_connectome.csv,387,10393,0.139,2.404,1050,1050,1050,457,457,457,1.082,1.165,2.475,1.06,1.126,2.515
Undirected,N/A,sub-29054_ses-1_connectome.csv,383,10589,0.145,2.361,851,851,851,440,440,440,1.227,1.143,2.409,1.02,1.12,2.474
