type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29019_ses-1_connectome.csv,900,33324,0.082,1.905,2069,2069,2069,1086,1086,1086,13.12,14.876,26.56,12.877,12.221,25.766
Undirected,N/A,sub-29018_ses-1_connectome.csv,776,18046,0.06,2.069,1859,1859,1859,1028,1028,1028,5.909,6.375,11.349,5.281,5.957,11.203
Undirected,N/A,sub-29024_ses-1_connectome.csv,831,20443,0.059,2.011,1868,1868,1868,1085,1085,1085,7.227,8.006,13.812,6.832,7.571,13.503
Undirected,N/A,sub-29016_ses-1_connectome.csv,894,30039,0.075,1.987,2118,2118,2118,1116,1116,1116,12.139,13.134,22.153,11.008,11.847,22.41
Undirected,N/A,sub-29034_ses-1_connectome.csv,787,20931,0.068,1.936,1799,1799,1799,980,980,980,6.602,7.502,13.323,6.267,7.135,12.902
Undirected,N/A,sub-29014_ses-1_connectome.csv,837,24342,0.07,1.934,1775,1775,1775,1018,1018,1018,8.48,9.774,17.348,8.208,9.362,17.113
Undirected,N/A,sub-29038_ses-1_connectome.csv,745,18496,0.067,2.068,1587,1587,1587,889,889,889,5.586,6.138,10.683,5.142,5.758,10.871
Undirected,N/A,sub-29035_ses-1_connectome.csv,816,24069,0.072,2.01,1989,1989,1989,1001,1001,1001,8.501,9.336,16.488,8.022,8.926,16.091
Undirected,N/A,sub-29036_ses-1_connectome.csv,800,22686,0.071,2.054,1829,1829,1829,1019,1019,1019,7.776,8.61,15.086,7.548,7.814,14.814
Undirected,N/A,sub-29044_ses-1_connectome.csv,759,30239,0.105,1.93,1775,1775,1775,957,957,957,9.911,11.458,19.206,9.59,10.708,18.941
Undirected,N/A,sub-29021_ses-1_connectome.csv,812,19695,0.06,2.032,1911,1911,1911,1032,1032,1032,6.754,7.715,13.29,6.064,7.373,13.521
Undirected,N/A,sub-29022_ses-1_connectome.csv,871,25271,0.067,1.904,2049,2049,2049,1044,1044,1044,9.402,10.487,18.686,8.794,9.941,18.275
Undirected,N/A,sub-29033_ses-1_connectome.csv,875,28274,0.074,1.968,2043,2043,2043,1052,1052,1052,11.427,12.168,21.029,10.247,11.459,20.723
Undirected,N/A,sub-29049_ses-1_connectome.csv,859,22719,0.062,2.003,2016,2016,2016,1087,1087,1087,8.377,9.083,16.42,7.457,8.394,16.036
Undirected,N/A,sub-29047_ses-1_connectome.csv,802,20717,0.064,2.08,1771,1771,1771,971,971,971,7.236,7.866,13.976,6.621,7.348,13.616
Undirected,N/A,sub-29020_ses-1_connectome.csv,828,26958,0.079,1.888,1884,1884,1884,982,982,982,9.378,10.518,19.097,9.103,10.233,18.613
Undirected,N/A,sub-29045_ses-1_connectome.csv,834,22889,0.066,2.02,1902,1902,1902,1030,1030,1030,8.19,8.785,15.261,7.409,8.418,15.378
Undirected,N/A,sub-29032_ses-1_connectome.csv,727,18766,0.071,2.092,1715,1715,1715,899,899,899,5.608,6.446,11.506,5.924,6.274,11.326
Undirected,N/A,sub-29056_ses-1_connectome.csv,841,24337,0.069,1.984,1934,1934,1934,1044,1044,1044,9.267,10.347,17.281,8.491,9.719,17.102
Undirected,N/A,sub-29054_ses-1_connectome.csv,837,27161,0.078,2.017,1931,1931,1931,991,991,991,9.583,10.853,19.794,9.306,10.056,19.159
Undirected,N/A,sub-29011_ses-1_connectome.csv,834,22100,0.064,1.988,1964,1964,1964,1068,1068,1068,7.881,8.791,15.602,7.518,8.344,15.202
Undirected,N/A,sub-29051_ses-1_connectome.csv,858,22948,0.062,2.013,2048,2048,2048,1115,1115,1115,8.403,9.257,16.525,8.063,9.094,16.415
Undirected,N/A,sub-29040_ses-1_connectome.csv,871,28775,0.076,1.896,2021,2021,2021,1077,1077,1077,11.158,12.366,21.735,10.644,11.842,20.982
Undirected,N/A,sub-29048_ses-1_connectome.csv,815,21801,0.066,2.005,1880,1880,1880,1017,1017,1017,7.783,8.798,14.852,7.078,8.012,14.306
Undirected,N/A,sub-29023_ses-1_connectome.csv,845,24010,0.067,1.923,1957,1957,1957,998,998,998,9.025,10.121,18.284,8.402,9.625,17.76
Undirected,N/A,sub-30146_ses-1_connectome.csv,872,24065,0.063,2.095,2079,2079,2079,1095,1095,1095,9.632,10.499,18.22,8.989,9.91,17.378
Undirected,N/A,sub-30147_ses-1_connectome.csv,834,24128,0.069,2.021,1957,1957,1957,997,997,997,8.628,9.444,16.894,8.081,8.76,16.564
Undirected,N/A,sub-29050_ses-1_connectome.csv,783,21792,0.071,1.975,1771,1771,1771,1020,1020,1020,7.454,8.174,14.287,7.007,7.83,14.181
Undirected,N/A,sub-30149_ses-1_connectome.csv,854,22624,0.062,2.077,2065,2065,2065,1099,1099,1099,8.031,9.158,16.032,7.618,8.644,15.669
