type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29016_ses-1_connectome.csv,634,36606,0.182,2.339,1569,1569,1569,976,976,976,8.739,9.326,18.316,8.392,9.171,17.874
Undirected,N/A,sub-29014_ses-1_connectome.csv,628,30422,0.155,2.297,1773,1773,1773,1085,1085,1085,7.091,7.798,14.828,6.771,7.579,14.629
Undirected,N/A,sub-29019_ses-1_connectome.csv,648,36742,0.175,2.239,1699,1699,1699,1047,1047,1047,8.786,9.802,18.563,9.58,9.669,18.244
Undirected,N/A,sub-29024_ses-1_connectome.csv,631,28281,0.142,2.374,1795,1795,1795,1048,1048,1048,6.511,7.283,13.703,6.183,7.128,13.583
Undirected,N/A,sub-29011_ses-1_connectome.csv,658,33301,0.154,2.352,1719,1719,1719,1038,1038,1038,8.133,8.934,17.398,7.995,8.737,17.104
Undirected,N/A,sub-29018_ses-1_connectome.csv,586,24666,0.144,2.339,1635,1635,1635,976,976,976,5.253,5.596,10.829,4.992,5.491,10.787
Undirected,N/A,sub-29021_ses-1_connectome.csv,612,30563,0.163,2.275,1733,1733,1733,1012,1012,1012,7.071,7.684,14.373,6.498,7.479,14.12
Undirected,N/A,sub-29022_ses-1_connectome.csv,624,32198,0.166,2.35,1819,1819,1819,1036,1036,1036,7.282,8.199,15.551,7.103,7.956,15.415
Undirected,N/A,sub-29023_ses-1_connectome.csv,604,33183,0.182,2.29,1546,1546,1546,872,872,872,6.971,7.785,15.293,6.921,7.761,15.282
Undirected,N/A,sub-29033_ses-1_connectome.csv,636,37408,0.185,2.369,1758,1758,1758,991,991,991,8.776,9.783,19.022,10.068,10.017,19.006
Undirected,N/A,sub-29020_ses-1_connectome.csv,634,37608,0.187,2.224,1679,1679,1679,975,975,975,9.87,10.479,20.379,9.552,10.586,20.11
Undirected,N/A,sub-29038_ses-1_connectome.csv,588,28379,0.164,2.314,1620,1620,1620,914,914,914,6.432,7.13,13.509,6.48,6.99,13.385
Undirected,N/A,sub-29045_ses-1_connectome.csv,642,30422,0.148,2.365,1820,1820,1820,1145,1145,1145,7.713,8.534,16.07,7.494,8.138,14.995
Undirected,N/A,sub-29032_ses-1_connectome.csv,592,28893,0.165,2.416,1633,1633,1633,965,965,965,6.511,7.356,13.718,6.777,7.309,13.678
Undirected,N/A,sub-29035_ses-1_connectome.csv,652,36697,0.173,2.376,1802,1802,1802,1018,1018,1018,9.553,10.436,19.656,9.149,10.101,19.31
Undirected,N/A,sub-29044_ses-1_connectome.csv,623,47750,0.246,2.295,1718,1718,1718,1049,1049,1049,11.7,12.803,23.706,11.488,12.594,23.785
Undirected,N/A,sub-29050_ses-1_connectome.csv,614,34009,0.181,2.373,1666,1666,1666,966,966,966,8.193,9.153,17.027,8.0,8.957,16.985
Undirected,N/A,sub-29034_ses-1_connectome.csv,616,30840,0.163,2.334,1905,1905,1905,1081,1081,1081,8.226,8.753,15.947,7.512,7.99,15.576
Undirected,N/A,sub-29051_ses-1_connectome.csv,596,29555,0.167,2.475,1709,1709,1709,944,944,944,6.752,7.595,14.847,6.893,7.5,14.604
Undirected,N/A,sub-29036_ses-1_connectome.csv,632,33831,0.17,2.318,1768,1768,1768,1075,1075,1075,8.445,9.245,17.215,8.374,9.011,16.934
Undirected,N/A,sub-29056_ses-1_connectome.csv,608,34654,0.188,2.333,1709,1709,1709,953,953,953,8.464,9.082,17.222,8.309,8.91,17.13
Undirected,N/A,sub-30146_ses-1_connectome.csv,605,25609,0.14,2.481,1647,1647,1647,1089,1089,1089,5.739,6.428,12.213,5.73,6.321,11.703
Undirected,N/A,sub-29054_ses-1_connectome.csv,625,34742,0.178,2.395,1804,1804,1804,1044,1044,1044,8.597,9.303,17.711,8.156,9.052,17.378
Undirected,N/A,sub-29049_ses-1_connectome.csv,611,28831,0.155,2.511,1774,1774,1774,1052,1052,1052,6.513,7.383,14.103,6.378,7.217,13.886
Undirected,N/A,sub-29047_ses-1_connectome.csv,613,29052,0.155,2.317,1689,1689,1689,966,966,966,6.298,7.158,13.809,6.147,6.981,13.774
Undirected,N/A,sub-29040_ses-1_connectome.csv,617,34234,0.18,2.435,1856,1856,1856,1010,1010,1010,8.582,9.488,17.324,8.322,8.888,17.494
Undirected,N/A,sub-30149_ses-1_connectome.csv,632,30842,0.155,2.427,1806,1806,1806,1072,1072,1072,7.494,8.263,15.94,7.241,7.987,15.646
Undirected,N/A,sub-30147_ses-1_connectome.csv,622,34334,0.178,2.379,1680,1680,1680,961,961,961,8.556,9.268,17.372,8.516,9.063,17.038
Undirected,N/A,sub-29048_ses-1_connectome.csv,592,27402,0.157,2.326,1687,1687,1687,963,963,963,6.237,6.667,12.937,5.616,6.471,12.83
