type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29011_ses-1_connectome.csv,17,135,0.993,11.576,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29016_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29018_ses-1_connectome.csv,17,133,0.978,11.489,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29020_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29022_ses-1_connectome.csv,17,136,1.0,8.185,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29023_ses-1_connectome.csv,17,136,1.0,6.658,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29032_ses-1_connectome.csv,17,134,0.985,8.124,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29035_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29024_ses-1_connectome.csv,17,130,0.956,11.358,21,21,21,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29021_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29038_ses-1_connectome.csv,17,133,0.978,11.489,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29045_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29047_ses-1_connectome.csv,17,131,0.963,11.402,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29048_ses-1_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29040_ses-1_connectome.csv,17,133,0.978,11.489,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29050_ses-1_connectome.csv,17,135,0.993,11.576,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29044_ses-1_connectome.csv,17,136,1.0,11.619,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29049_ses-1_connectome.csv,17,134,0.985,11.533,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29051_ses-1_connectome.csv,17,136,1.0,8.185,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-30146_ses-1_connectome.csv,17,136,1.0,8.185,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29036_ses-1_connectome.csv,17,135,0.993,11.576,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-30147_ses-1_connectome.csv,17,134,0.985,11.533,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29014_ses-1_connectome.csv,17,136,1.0,11.619,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-30149_ses-1_connectome.csv,17,135,0.993,11.576,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29056_ses-1_connectome.csv,17,135,0.993,8.155,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-29033_ses-1_connectome.csv,17,135,0.993,11.576,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29054_ses-1_connectome.csv,17,135,0.993,11.576,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29034_ses-1_connectome.csv,17,134,0.985,11.533,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29019_ses-1_connectome.csv,17,136,1.0,11.619,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
