type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29022_ses-1_connectome.csv,17,136,1.0,11.619,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29018_ses-1_connectome.csv,17,128,0.941,7.937,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29020_ses-1_connectome.csv,17,134,0.985,11.533,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29016_ses-1_connectome.csv,17,135,0.993,11.576,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29019_ses-1_connectome.csv,17,135,0.993,11.576,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29021_ses-1_connectome.csv,17,132,0.971,11.446,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29033_ses-1_connectome.csv,17,134,0.985,6.608,19,19,19,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29035_ses-1_connectome.csv,17,135,0.993,8.155,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29044_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29045_ses-1_connectome.csv,17,134,0.985,11.533,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29024_ses-1_connectome.csv,17,130,0.956,8.0,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29034_ses-1_connectome.csv,17,132,0.971,8.062,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29050_ses-1_connectome.csv,17,133,0.978,6.583,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29048_ses-1_connectome.csv,17,135,0.993,8.155,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29040_ses-1_connectome.csv,17,132,0.971,8.062,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29054_ses-1_connectome.csv,17,131,0.963,6.532,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29038_ses-1_connectome.csv,17,132,0.971,11.446,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29014_ses-1_connectome.csv,17,132,0.971,11.446,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29032_ses-1_connectome.csv,17,132,0.971,8.062,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-30149_ses-1_connectome.csv,17,131,0.963,11.402,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-30147_ses-1_connectome.csv,17,135,0.993,11.576,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29056_ses-1_connectome.csv,17,134,0.985,8.124,26,26,26,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29051_ses-1_connectome.csv,17,130,0.956,11.358,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29049_ses-1_connectome.csv,17,135,0.993,11.576,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-30146_ses-1_connectome.csv,17,135,0.993,11.576,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29011_ses-1_connectome.csv,17,132,0.971,8.062,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29036_ses-1_connectome.csv,17,132,0.971,11.446,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29047_ses-1_connectome.csv,17,128,0.941,7.937,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29023_ses-1_connectome.csv,17,133,0.978,11.489,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
