type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,116,4261,0.639,3.004,286,286,286,115,115,115,0.084,0.089,0.217,0.085,0.087,0.227
Undirected,N/A,sub-28863_ses-1_connectome.csv,116,3289,0.493,2.96,258,258,258,115,115,115,0.074,0.078,0.175,0.074,0.076,0.18
Undirected,N/A,sub-28862_ses-1_connectome.csv,116,4448,0.667,3.093,275,275,275,115,115,115,0.086,0.09,0.227,0.087,0.089,0.237
Undirected,N/A,sub-28854_ses-1_connectome.csv,116,3565,0.534,2.874,253,253,253,115,115,115,0.076,0.08,0.186,0.079,0.079,0.194
Undirected,N/A,sub-28882_ses-1_connectome.csv,116,3665,0.549,2.984,269,269,269,115,115,115,0.08,0.085,0.192,0.08,0.082,0.199
Undirected,N/A,sub-28868_ses-1_connectome.csv,116,4023,0.603,2.957,260,260,260,116,116,116,0.082,0.085,0.206,0.084,0.085,0.214
Undirected,N/A,sub-28867_ses-1_connectome.csv,116,4159,0.624,2.907,294,294,294,115,115,115,0.084,0.087,0.215,0.085,0.087,0.223
Undirected,N/A,sub-28886_ses-1_connectome.csv,116,3832,0.575,2.937,236,236,236,115,115,115,0.319,0.085,0.196,0.083,0.086,0.207
Undirected,N/A,sub-28880_ses-1_connectome.csv,116,3978,0.596,3.042,285,285,285,115,115,115,0.082,0.085,0.205,0.081,0.084,0.215
Undirected,N/A,sub-28870_ses-1_connectome.csv,116,3703,0.555,2.792,270,270,270,116,116,116,0.082,0.083,0.189,0.081,0.082,0.199
Undirected,N/A,sub-28877_ses-1_connectome.csv,116,4191,0.628,3.339,268,268,268,115,115,115,0.084,0.088,0.219,0.085,0.087,0.225
Undirected,N/A,sub-28883_ses-1_connectome.csv,116,4709,0.706,3.123,282,282,282,115,115,115,0.085,0.088,0.236,0.086,0.088,0.249
Undirected,N/A,sub-28878_ses-1_connectome.csv,116,3869,0.58,3.013,270,270,270,115,115,115,0.08,0.083,0.198,0.08,0.082,0.207
Undirected,N/A,sub-28888_ses-1_connectome.csv,116,3903,0.585,3.049,286,286,286,115,115,115,0.081,0.083,0.201,0.081,0.082,0.211
Undirected,N/A,sub-28893_ses-1_connectome.csv,116,4124,0.618,3.086,270,270,270,115,115,115,0.084,0.086,0.218,0.083,0.085,0.222
Undirected,N/A,sub-28894_ses-1_connectome.csv,116,4205,0.63,3.018,246,246,246,115,115,115,0.084,0.087,0.214,0.085,0.087,0.222
Undirected,N/A,sub-28892_ses-1_connectome.csv,116,3938,0.59,3.207,273,273,273,115,115,115,0.08,0.084,0.202,0.08,0.082,0.213
Undirected,N/A,sub-28889_ses-1_connectome.csv,116,4022,0.603,3.151,251,251,251,115,115,115,0.081,0.085,0.206,0.082,0.084,0.217
Undirected,N/A,sub-28891_ses-1_connectome.csv,116,3704,0.555,2.936,275,275,275,115,115,115,0.081,0.084,0.191,0.081,0.082,0.2
Undirected,N/A,sub-28904_ses-1_connectome.csv,116,3479,0.522,2.957,292,292,292,115,115,115,0.08,0.082,0.183,0.079,0.08,0.192
Undirected,N/A,sub-28900_ses-1_connectome.csv,116,3886,0.583,3.101,275,275,275,115,115,115,0.081,0.084,0.199,0.081,0.082,0.208
Undirected,N/A,sub-28902_ses-1_connectome.csv,116,3665,0.549,3.112,248,248,248,115,115,115,0.081,0.084,0.19,0.081,0.083,0.199
Undirected,N/A,sub-28895_ses-1_connectome.csv,116,3733,0.56,3.26,274,274,274,115,115,115,0.078,0.08,0.19,0.078,0.08,0.201
