type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,383,28025,0.383,2.395,1004,1004,1004,385,385,385,2.904,3.086,7.376,3.061,3.237,7.834
Undirected,N/A,sub-28862_ses-1_connectome.csv,384,25304,0.344,2.52,1024,1024,1024,394,394,394,2.72,2.968,7.074,2.76,2.976,7.215
Undirected,N/A,sub-28854_ses-1_connectome.csv,384,23224,0.316,2.396,1026,1026,1026,405,405,405,2.791,2.859,6.592,2.595,2.774,6.535
Undirected,N/A,sub-28877_ses-1_connectome.csv,384,29452,0.401,2.583,1121,1121,1121,391,391,391,3.203,3.472,8.551,3.261,3.45,8.618
Undirected,N/A,sub-28882_ses-1_connectome.csv,381,20471,0.283,2.502,1065,1065,1065,395,395,395,2.078,2.361,5.453,2.069,2.284,5.532
Undirected,N/A,sub-28867_ses-1_connectome.csv,378,22823,0.32,2.381,948,948,948,405,405,405,2.375,2.684,6.161,2.411,2.675,6.278
Undirected,N/A,sub-28888_ses-1_connectome.csv,381,23454,0.324,2.334,1054,1054,1054,394,394,394,2.423,2.706,6.263,2.489,2.732,6.469
Undirected,N/A,sub-28868_ses-1_connectome.csv,379,22159,0.309,2.336,1032,1032,1032,407,407,407,2.463,2.751,5.915,2.467,2.72,6.282
Undirected,N/A,sub-28880_ses-1_connectome.csv,384,22304,0.303,2.436,1063,1063,1063,413,413,413,2.619,2.798,6.267,2.667,2.81,6.48
Undirected,N/A,sub-28863_ses-1_connectome.csv,383,18476,0.253,2.47,1063,1063,1063,420,420,420,1.901,2.131,4.997,1.913,2.091,5.014
Undirected,N/A,sub-28883_ses-1_connectome.csv,382,31711,0.436,2.342,946,946,946,391,391,391,3.293,3.614,9.184,3.436,3.633,9.213
Undirected,N/A,sub-28892_ses-1_connectome.csv,378,22271,0.313,2.399,1029,1029,1029,401,401,401,2.458,2.666,6.173,2.453,2.492,5.872
Undirected,N/A,sub-28878_ses-1_connectome.csv,381,22743,0.314,2.391,962,962,962,398,398,398,2.415,2.589,5.795,2.468,2.586,6.01
Undirected,N/A,sub-28900_ses-1_connectome.csv,383,25029,0.342,2.538,949,949,949,409,409,409,2.656,2.772,6.584,2.648,2.781,6.69
Undirected,N/A,sub-28893_ses-1_connectome.csv,380,22586,0.314,2.434,1003,1003,1003,413,413,413,2.282,2.511,5.689,2.281,2.513,5.818
Undirected,N/A,sub-28889_ses-1_connectome.csv,383,22640,0.309,2.384,1026,1026,1026,399,399,399,2.241,2.457,5.701,2.229,2.462,5.862
Undirected,N/A,sub-28870_ses-1_connectome.csv,383,23379,0.32,2.351,1050,1050,1050,403,403,403,2.313,2.558,5.836,2.335,2.581,6.038
Undirected,N/A,sub-28895_ses-1_connectome.csv,381,22148,0.306,2.435,976,976,976,412,412,412,2.199,2.414,5.787,2.217,2.292,3.809
Undirected,N/A,sub-28904_ses-1_connectome.csv,378,21040,0.295,2.499,1131,1131,1131,396,396,396,1.737,1.75,3.601,1.723,1.746,3.8
Undirected,N/A,sub-28902_ses-1_connectome.csv,381,21841,0.302,2.477,999,999,999,394,394,394,1.775,1.803,3.719,1.814,1.814,3.917
Undirected,N/A,sub-28891_ses-1_connectome.csv,382,22805,0.313,2.403,1000,1000,1000,403,403,403,1.884,1.936,3.921,1.859,1.904,4.14
Undirected,N/A,sub-28886_ses-1_connectome.csv,381,21575,0.298,2.439,1001,1001,1001,393,393,393,1.798,1.85,3.897,1.817,1.896,3.953
Undirected,N/A,sub-28894_ses-1_connectome.csv,378,24276,0.341,2.352,1017,1017,1017,400,400,400,2.084,2.131,4.537,2.063,2.15,4.541
