type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28863_ses-1_connectome.csv,41,719,0.877,4.633,66,66,66,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-28854_ses-1_connectome.csv,41,770,0.939,5.831,63,63,63,40,40,40,0.006,0.006,0.016,0.006,0.007,0.016
Undirected,N/A,sub-28870_ses-1_connectome.csv,41,764,0.932,5.948,61,61,61,41,41,41,0.006,0.006,0.015,0.007,0.006,0.015
Undirected,N/A,sub-28862_ses-1_connectome.csv,41,767,0.935,5.339,71,71,71,40,40,40,0.006,0.007,0.015,0.006,0.007,0.015
Undirected,N/A,sub-28867_ses-1_connectome.csv,41,764,0.932,7.066,56,56,56,41,41,41,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28880_ses-1_connectome.csv,41,753,0.918,4.599,62,62,62,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28858_ses-1_connectome.csv,41,792,0.966,6.557,54,54,54,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-28878_ses-1_connectome.csv,41,750,0.915,6.042,59,59,59,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28868_ses-1_connectome.csv,41,766,0.934,5.444,59,59,59,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28883_ses-1_connectome.csv,41,807,0.984,9.416,61,61,61,40,40,40,0.006,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-28877_ses-1_connectome.csv,41,804,0.98,7.8,59,59,59,40,40,40,0.006,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-28886_ses-1_connectome.csv,41,794,0.968,6.761,60,60,60,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-28882_ses-1_connectome.csv,41,766,0.934,4.869,66,66,66,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-28889_ses-1_connectome.csv,41,768,0.937,6.279,60,60,60,40,40,40,0.006,0.007,0.015,0.007,0.006,0.016
Undirected,N/A,sub-28888_ses-1_connectome.csv,41,757,0.923,5.302,60,60,60,41,41,41,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-28900_ses-1_connectome.csv,41,767,0.935,6.451,60,60,60,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28891_ses-1_connectome.csv,41,765,0.933,6.103,69,69,69,41,41,41,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-28895_ses-1_connectome.csv,41,794,0.968,7.751,56,56,56,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-28904_ses-1_connectome.csv,41,762,0.929,5.8,59,59,59,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-28893_ses-1_connectome.csv,41,784,0.956,5.295,59,59,59,40,40,40,0.006,0.006,0.015,0.006,0.006,0.016
Undirected,N/A,sub-28894_ses-1_connectome.csv,41,772,0.941,5.98,59,59,59,40,40,40,0.006,0.007,0.015,0.006,0.007,0.015
Undirected,N/A,sub-28892_ses-1_connectome.csv,41,789,0.962,5.905,54,54,54,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-28902_ses-1_connectome.csv,41,776,0.946,7.123,58,58,58,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
