type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,332,10392,0.189,1.89,576,576,576,339,339,339,0.835,0.861,1.654,0.827,0.847,1.697
Undirected,N/A,sub-28867_ses-1_connectome.csv,326,8950,0.169,2.068,612,612,612,360,360,360,0.737,0.765,1.394,0.719,0.75,1.391
Undirected,N/A,sub-28870_ses-1_connectome.csv,327,7659,0.144,1.988,576,576,576,345,345,345,0.615,0.645,1.213,0.623,0.65,1.237
Undirected,N/A,sub-28862_ses-1_connectome.csv,326,9465,0.179,2.14,602,602,602,342,342,342,0.748,0.771,1.47,0.733,0.757,1.491
Undirected,N/A,sub-28877_ses-1_connectome.csv,333,11165,0.202,2.174,630,630,630,336,336,336,0.833,0.858,1.75,0.823,0.854,1.765
Undirected,N/A,sub-28868_ses-1_connectome.csv,322,7230,0.14,1.938,619,619,619,347,347,347,0.799,0.636,1.13,0.607,0.621,1.147
Undirected,N/A,sub-28880_ses-1_connectome.csv,319,6896,0.136,2.006,576,576,576,347,347,347,0.566,0.587,1.077,0.56,0.582,1.111
Undirected,N/A,sub-28882_ses-1_connectome.csv,322,7269,0.141,2.059,608,608,608,341,341,341,0.595,0.608,1.139,0.575,0.596,1.164
Undirected,N/A,sub-28854_ses-1_connectome.csv,326,9039,0.171,2.132,550,550,550,344,344,344,0.69,0.717,1.424,0.706,0.722,1.472
Undirected,N/A,sub-28883_ses-1_connectome.csv,331,12382,0.227,1.917,623,623,623,335,335,335,0.967,0.938,2.034,0.966,0.995,2.091
Undirected,N/A,sub-28878_ses-1_connectome.csv,327,8894,0.167,2.089,605,605,605,346,346,346,0.745,0.777,1.441,0.728,0.757,1.483
Undirected,N/A,sub-28888_ses-1_connectome.csv,330,8846,0.163,2.014,642,642,642,350,350,350,0.716,0.744,1.437,0.716,0.742,1.495
Undirected,N/A,sub-28863_ses-1_connectome.csv,328,7424,0.138,2.246,614,614,614,365,365,365,0.582,0.612,1.194,0.577,0.584,1.236
Undirected,N/A,sub-28886_ses-1_connectome.csv,331,8656,0.158,2.115,619,619,619,346,346,346,0.72,0.738,1.37,0.687,0.714,1.416
Undirected,N/A,sub-28889_ses-1_connectome.csv,328,8094,0.151,2.077,599,599,599,344,344,344,0.653,0.678,1.299,0.647,0.668,1.325
Undirected,N/A,sub-28891_ses-1_connectome.csv,324,6759,0.129,2.136,565,565,565,347,347,347,0.567,0.597,1.082,0.565,0.584,1.119
Undirected,N/A,sub-28893_ses-1_connectome.csv,330,9051,0.167,2.163,634,634,634,336,336,336,0.738,0.769,1.488,0.729,0.752,1.507
Undirected,N/A,sub-28900_ses-1_connectome.csv,322,8002,0.155,2.253,574,574,574,360,360,360,0.617,0.648,1.268,0.614,0.641,1.285
Undirected,N/A,sub-28895_ses-1_connectome.csv,328,9430,0.176,2.146,654,654,654,342,342,342,0.749,0.781,1.539,0.741,0.891,1.537
Undirected,N/A,sub-28902_ses-1_connectome.csv,326,7569,0.143,2.084,586,586,586,339,339,339,0.622,0.635,1.164,0.617,0.65,1.241
Undirected,N/A,sub-28894_ses-1_connectome.csv,321,8125,0.158,1.914,617,617,617,353,353,353,0.686,0.721,1.321,0.675,0.706,1.348
Undirected,N/A,sub-28904_ses-1_connectome.csv,325,8072,0.153,2.176,607,607,607,348,348,348,0.643,0.668,1.326,0.632,0.666,1.346
Undirected,N/A,sub-28892_ses-1_connectome.csv,328,8190,0.153,2.058,597,597,597,351,351,351,0.678,0.71,1.351,0.665,0.7,1.377
