type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,200,9253,0.465,2.603,443,443,443,199,199,199,0.341,0.369,0.838,0.349,0.36,0.886
Undirected,N/A,sub-28862_ses-1_connectome.csv,200,9074,0.456,2.894,477,477,477,199,199,199,0.341,0.357,0.837,0.345,0.355,0.862
Undirected,N/A,sub-28854_ses-1_connectome.csv,200,8586,0.431,2.691,468,468,468,200,200,200,0.333,0.347,0.75,0.33,0.341,0.824
Undirected,N/A,sub-28863_ses-1_connectome.csv,200,7130,0.358,2.658,459,459,459,199,199,199,0.297,0.313,0.657,0.298,0.304,0.682
Undirected,N/A,sub-28870_ses-1_connectome.csv,200,8374,0.421,2.657,473,473,473,200,200,200,0.329,0.342,0.761,0.333,0.342,0.793
Undirected,N/A,sub-28868_ses-1_connectome.csv,200,8098,0.407,2.684,402,402,402,199,199,199,0.321,0.33,0.751,0.316,0.329,0.766
Undirected,N/A,sub-28867_ses-1_connectome.csv,200,9090,0.457,2.728,490,490,490,202,202,202,0.347,0.355,0.828,0.345,0.372,0.87
Undirected,N/A,sub-28877_ses-1_connectome.csv,200,9197,0.462,2.894,469,469,469,199,199,199,0.341,0.353,0.855,0.331,0.344,0.892
Undirected,N/A,sub-28883_ses-1_connectome.csv,200,10006,0.503,2.76,408,408,408,200,200,200,0.356,0.369,0.932,0.369,0.376,0.968
Undirected,N/A,sub-28880_ses-1_connectome.csv,200,8012,0.403,2.822,474,474,474,201,201,201,0.326,0.341,0.752,0.324,0.332,0.773
Undirected,N/A,sub-28886_ses-1_connectome.csv,200,7739,0.389,2.801,445,445,445,200,200,200,0.304,0.321,0.712,0.313,0.318,0.742
Undirected,N/A,sub-28891_ses-1_connectome.csv,200,7951,0.4,2.827,477,477,477,199,199,199,0.326,0.338,0.731,0.327,0.34,0.774
Undirected,N/A,sub-28878_ses-1_connectome.csv,200,8869,0.446,2.769,477,477,477,199,199,199,0.352,0.366,0.834,0.35,0.361,0.855
Undirected,N/A,sub-28888_ses-1_connectome.csv,200,7810,0.392,2.651,435,435,435,200,200,200,0.317,0.326,0.751,0.312,0.322,0.743
Undirected,N/A,sub-28882_ses-1_connectome.csv,200,7645,0.384,2.826,462,462,462,199,199,199,0.307,0.321,0.703,0.308,0.321,0.726
Undirected,N/A,sub-28889_ses-1_connectome.csv,200,8296,0.417,2.71,461,461,461,200,200,200,0.334,0.344,0.777,0.334,0.344,0.798
Undirected,N/A,sub-28893_ses-1_connectome.csv,200,8223,0.413,2.602,412,412,412,200,200,200,0.328,0.341,0.771,0.327,0.344,0.798
Undirected,N/A,sub-28892_ses-1_connectome.csv,200,8318,0.418,2.632,443,443,443,200,200,200,0.333,0.345,0.787,0.328,0.34,0.814
Undirected,N/A,sub-28894_ses-1_connectome.csv,200,8744,0.439,2.633,432,432,432,204,204,204,0.347,0.362,0.828,0.351,0.363,0.851
Undirected,N/A,sub-28900_ses-1_connectome.csv,199,7619,0.387,2.729,372,372,372,203,203,203,0.307,0.32,0.708,0.307,0.319,0.73
Undirected,N/A,sub-28902_ses-1_connectome.csv,200,7147,0.359,2.61,408,408,408,200,200,200,0.293,0.313,0.665,0.295,0.291,0.671
Undirected,N/A,sub-28904_ses-1_connectome.csv,199,7580,0.385,2.735,507,507,507,199,199,199,0.31,0.321,0.711,0.307,0.32,0.742
Undirected,N/A,sub-28895_ses-1_connectome.csv,200,7979,0.401,2.748,423,423,423,199,199,199,0.315,0.322,0.752,0.309,0.321,0.763
