type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,83,2329,0.684,3.128,150,150,150,82,82,82,0.032,0.034,0.086,0.033,0.035,0.092
Undirected,N/A,sub-28862_ses-1_connectome.csv,83,2175,0.639,3.067,159,159,159,82,82,82,0.031,0.033,0.08,0.033,0.033,0.084
Undirected,N/A,sub-28870_ses-1_connectome.csv,83,2145,0.63,3.236,167,167,167,82,82,82,0.032,0.034,0.08,0.032,0.033,0.083
Undirected,N/A,sub-28863_ses-1_connectome.csv,83,1686,0.495,3.248,155,155,155,82,82,82,0.028,0.029,0.064,0.028,0.029,0.068
Undirected,N/A,sub-28867_ses-1_connectome.csv,83,2146,0.631,3.246,156,156,156,84,84,84,0.032,0.033,0.078,0.031,0.034,0.083
Undirected,N/A,sub-28868_ses-1_connectome.csv,83,2083,0.612,2.859,173,173,173,86,86,86,0.032,0.033,0.083,0.032,0.033,0.079
Undirected,N/A,sub-28878_ses-1_connectome.csv,83,2189,0.643,3.414,174,174,174,82,82,82,0.032,0.033,0.08,0.032,0.033,0.084
Undirected,N/A,sub-28877_ses-1_connectome.csv,83,2337,0.687,3.726,171,171,171,82,82,82,0.036,0.036,0.085,0.035,0.036,0.089
Undirected,N/A,sub-28886_ses-1_connectome.csv,83,1938,0.569,3.069,139,139,139,82,82,82,0.031,0.032,0.073,0.032,0.032,0.075
Undirected,N/A,sub-28888_ses-1_connectome.csv,83,2169,0.637,3.079,168,168,168,82,82,82,0.032,0.033,0.081,0.032,0.033,0.084
Undirected,N/A,sub-28882_ses-1_connectome.csv,83,1927,0.566,3.096,163,163,163,83,83,83,0.031,0.032,0.072,0.031,0.032,0.077
Undirected,N/A,sub-28889_ses-1_connectome.csv,83,2107,0.619,3.176,183,183,183,82,82,82,0.033,0.034,0.077,0.034,0.034,0.081
Undirected,N/A,sub-28893_ses-1_connectome.csv,83,2020,0.594,3.299,163,163,163,82,82,82,0.032,0.033,0.076,0.031,0.032,0.079
Undirected,N/A,sub-28880_ses-1_connectome.csv,82,1968,0.593,3.373,155,155,155,81,81,81,0.029,0.03,0.071,0.029,0.03,0.076
Undirected,N/A,sub-28891_ses-1_connectome.csv,83,1958,0.575,3.447,168,168,168,84,84,84,0.03,0.031,0.072,0.03,0.031,0.077
Undirected,N/A,sub-28883_ses-1_connectome.csv,83,2419,0.711,3.465,155,155,155,82,82,82,0.033,0.034,0.087,0.035,0.035,0.09
Undirected,N/A,sub-28892_ses-1_connectome.csv,83,2076,0.61,3.169,151,151,151,82,82,82,0.031,0.032,0.076,0.03,0.032,0.079
Undirected,N/A,sub-28902_ses-1_connectome.csv,83,1894,0.557,3.35,170,170,170,82,82,82,0.031,0.031,0.07,0.029,0.031,0.073
Undirected,N/A,sub-28895_ses-1_connectome.csv,83,2025,0.595,3.536,145,145,145,83,83,83,0.031,0.032,0.074,0.032,0.032,0.077
Undirected,N/A,sub-28894_ses-1_connectome.csv,83,2202,0.647,3.292,148,148,148,82,82,82,0.031,0.032,0.079,0.031,0.032,0.082
Undirected,N/A,sub-28854_ses-1_connectome.csv,83,2030,0.597,3.05,169,169,169,82,82,82,0.033,0.033,0.076,0.032,0.034,0.081
Undirected,N/A,sub-28900_ses-1_connectome.csv,83,2096,0.616,3.062,155,155,155,84,84,84,0.032,0.034,0.077,0.033,0.033,0.08
Undirected,N/A,sub-28904_ses-1_connectome.csv,83,1815,0.533,2.995,193,193,193,82,82,82,0.031,0.033,0.07,0.03,0.031,0.073
