type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28867_ses-1_connectome.csv,227,9038,0.352,2.818,523,523,523,274,274,274,0.461,0.48,0.984,0.461,0.478,0.995
Undirected,N/A,sub-28862_ses-1_connectome.csv,227,9537,0.372,2.893,559,559,559,261,261,261,0.458,0.486,1.079,0.464,0.474,1.081
Undirected,N/A,sub-28863_ses-1_connectome.csv,222,7469,0.304,2.819,510,510,510,248,248,248,0.37,0.382,0.794,0.368,0.379,0.812
Undirected,N/A,sub-28868_ses-1_connectome.csv,233,9225,0.341,2.674,559,559,559,280,280,280,0.476,0.652,1.041,0.464,0.485,1.049
Undirected,N/A,sub-28854_ses-1_connectome.csv,223,8601,0.347,2.751,464,464,464,240,240,240,0.423,0.451,0.935,0.426,0.439,0.959
Undirected,N/A,sub-28858_ses-1_connectome.csv,240,10981,0.383,2.553,501,501,501,260,260,260,0.569,0.607,1.352,0.577,0.612,1.357
Undirected,N/A,sub-28877_ses-1_connectome.csv,231,10029,0.378,2.787,520,520,520,259,259,259,0.495,0.525,1.15,0.507,0.527,1.183
Undirected,N/A,sub-28870_ses-1_connectome.csv,227,8940,0.349,2.696,551,551,551,277,277,277,0.478,0.494,0.993,0.452,0.469,1.018
Undirected,N/A,sub-28883_ses-1_connectome.csv,231,10960,0.413,2.64,505,505,505,265,265,265,0.553,0.57,1.235,0.532,0.56,1.316
Undirected,N/A,sub-28882_ses-1_connectome.csv,228,8125,0.314,2.778,570,570,570,292,292,292,0.422,0.445,0.909,0.419,0.432,0.917
Undirected,N/A,sub-28878_ses-1_connectome.csv,220,8656,0.359,2.783,508,508,508,249,249,249,0.416,0.436,0.919,0.416,0.435,0.943
Undirected,N/A,sub-28891_ses-1_connectome.csv,229,8001,0.306,2.845,560,560,560,284,284,284,0.424,0.447,0.887,0.414,0.432,0.901
Undirected,N/A,sub-28886_ses-1_connectome.csv,227,8771,0.342,2.656,505,505,505,268,268,268,0.45,0.465,0.974,0.442,0.456,0.985
Undirected,N/A,sub-28889_ses-1_connectome.csv,237,9268,0.331,2.635,550,550,550,264,264,264,0.507,0.529,1.096,0.501,0.519,1.111
Undirected,N/A,sub-28893_ses-1_connectome.csv,216,8901,0.383,2.833,467,467,467,232,232,232,0.459,0.445,0.951,0.425,0.437,0.96
Undirected,N/A,sub-28888_ses-1_connectome.csv,233,8831,0.327,2.696,519,519,519,269,269,269,0.474,0.493,1.009,0.476,0.483,1.043
Undirected,N/A,sub-28894_ses-1_connectome.csv,224,9315,0.373,2.733,512,512,512,277,277,277,0.467,0.479,1.019,0.451,0.472,1.044
Undirected,N/A,sub-28892_ses-1_connectome.csv,226,8529,0.335,2.744,501,501,501,263,263,263,0.455,0.457,0.952,0.43,0.443,0.97
Undirected,N/A,sub-28895_ses-1_connectome.csv,214,8434,0.37,2.883,509,509,509,240,240,240,0.387,0.403,0.883,0.386,0.398,0.907
Undirected,N/A,sub-28900_ses-1_connectome.csv,223,9067,0.366,2.762,524,524,524,270,270,270,0.44,0.454,0.985,0.435,0.417,1.014
Undirected,N/A,sub-28904_ses-1_connectome.csv,229,7975,0.305,2.778,515,515,515,262,262,262,0.409,0.426,0.882,0.408,0.423,0.909
Undirected,N/A,sub-28902_ses-1_connectome.csv,227,8332,0.325,2.736,539,539,539,263,263,263,0.421,0.443,0.923,0.412,0.429,1.125
Undirected,N/A,sub-28880_ses-1_connectome.csv,223,8824,0.356,2.745,510,510,510,244,244,244,0.444,0.46,0.991,0.421,0.44,0.995
