type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28863_ses-1_connectome.csv,29,368,0.906,5.983,54,54,54,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-28862_ses-1_connectome.csv,30,397,0.913,6.973,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28854_ses-1_connectome.csv,29,386,0.951,6.132,39,39,39,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-28868_ses-1_connectome.csv,30,404,0.929,5.715,40,40,40,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28867_ses-1_connectome.csv,31,446,0.959,6.289,50,50,50,30,30,30,0.003,0.004,0.008,0.003,0.003,0.008
Undirected,N/A,sub-28870_ses-1_connectome.csv,30,388,0.892,5.854,59,59,59,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28858_ses-1_connectome.csv,31,405,0.871,5.985,49,49,49,31,31,31,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28880_ses-1_connectome.csv,31,408,0.877,6.008,44,44,44,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28877_ses-1_connectome.csv,31,444,0.955,6.274,51,51,51,30,30,30,0.003,0.003,0.007,0.004,0.003,0.008
Undirected,N/A,sub-28882_ses-1_connectome.csv,30,372,0.855,4.879,54,54,54,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-28886_ses-1_connectome.csv,31,399,0.858,5.679,40,40,40,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28878_ses-1_connectome.csv,29,397,0.978,9.912,43,43,43,28,28,28,0.003,0.003,0.007,0.003,0.003,0.006
Undirected,N/A,sub-28889_ses-1_connectome.csv,30,416,0.956,7.141,51,51,51,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28891_ses-1_connectome.csv,30,378,0.869,5.523,50,50,50,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-28892_ses-1_connectome.csv,31,412,0.886,5.145,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28894_ses-1_connectome.csv,31,403,0.867,5.708,51,51,51,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28893_ses-1_connectome.csv,31,416,0.895,6.372,49,49,49,30,30,30,0.003,0.003,0.007,0.003,0.004,0.007
Undirected,N/A,sub-28883_ses-1_connectome.csv,31,428,0.92,6.465,42,42,42,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-28895_ses-1_connectome.csv,31,397,0.854,4.342,45,45,45,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28888_ses-1_connectome.csv,31,395,0.849,4.715,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28904_ses-1_connectome.csv,31,353,0.759,3.343,43,43,43,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-28900_ses-1_connectome.csv,30,359,0.825,3.655,41,41,41,29,29,29,0.002,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-28902_ses-1_connectome.csv,31,347,0.746,3.514,42,42,42,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
