type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,70,1975,0.818,3.864,160,160,160,69,69,69,0.023,0.024,0.06,0.024,0.024,0.062
Undirected,N/A,sub-28854_ses-1_connectome.csv,70,1884,0.78,3.8,154,154,154,70,70,70,0.022,0.023,0.058,0.023,0.023,0.06
Undirected,N/A,sub-28862_ses-1_connectome.csv,70,1939,0.803,3.983,142,142,142,69,69,69,0.022,0.023,0.058,0.024,0.024,0.062
Undirected,N/A,sub-28868_ses-1_connectome.csv,70,1887,0.781,3.804,159,159,159,69,69,69,0.022,0.023,0.057,0.023,0.023,0.059
Undirected,N/A,sub-28877_ses-1_connectome.csv,70,1987,0.823,4.513,142,142,142,69,69,69,0.023,0.024,0.06,0.024,0.024,0.062
Undirected,N/A,sub-28870_ses-1_connectome.csv,70,1936,0.802,3.727,143,143,143,69,69,69,0.022,0.023,0.058,0.023,0.023,0.06
Undirected,N/A,sub-28863_ses-1_connectome.csv,70,1584,0.656,3.812,145,145,145,69,69,69,0.02,0.022,0.049,0.022,0.022,0.052
Undirected,N/A,sub-28867_ses-1_connectome.csv,70,1913,0.792,3.782,137,137,137,69,69,69,0.022,0.023,0.057,0.024,0.024,0.06
Undirected,N/A,sub-28878_ses-1_connectome.csv,70,1927,0.798,3.673,142,142,142,69,69,69,0.023,0.023,0.058,0.024,0.024,0.06
Undirected,N/A,sub-28880_ses-1_connectome.csv,70,1858,0.769,3.558,145,145,145,69,69,69,0.021,0.022,0.056,0.022,0.023,0.058
Undirected,N/A,sub-28886_ses-1_connectome.csv,70,1774,0.735,3.339,134,134,134,69,69,69,0.022,0.023,0.054,0.023,0.024,0.057
Undirected,N/A,sub-28892_ses-1_connectome.csv,70,1885,0.781,3.905,130,130,130,69,69,69,0.022,0.023,0.057,0.023,0.024,0.059
Undirected,N/A,sub-28888_ses-1_connectome.csv,70,1798,0.745,3.415,126,126,126,69,69,69,0.022,0.023,0.054,0.022,0.022,0.057
Undirected,N/A,sub-28883_ses-1_connectome.csv,70,2114,0.875,4.041,135,135,135,69,69,69,0.024,0.025,0.064,0.025,0.026,0.065
Undirected,N/A,sub-28893_ses-1_connectome.csv,70,1926,0.798,3.764,127,127,127,69,69,69,0.022,0.023,0.059,0.024,0.023,0.06
Undirected,N/A,sub-28889_ses-1_connectome.csv,70,1870,0.774,3.871,153,153,153,69,69,69,0.022,0.023,0.058,0.023,0.023,0.059
Undirected,N/A,sub-28882_ses-1_connectome.csv,70,1842,0.763,3.805,123,123,123,69,69,69,0.022,0.023,0.056,0.023,0.023,0.058
Undirected,N/A,sub-28891_ses-1_connectome.csv,70,1743,0.722,4.097,140,140,140,70,70,70,0.021,0.022,0.053,0.022,0.022,0.055
Undirected,N/A,sub-28902_ses-1_connectome.csv,70,1646,0.682,4.018,133,133,133,69,69,69,0.021,0.022,0.05,0.022,0.023,0.053
Undirected,N/A,sub-28904_ses-1_connectome.csv,70,1725,0.714,3.339,136,136,136,69,69,69,0.022,0.023,0.053,0.022,0.024,0.055
Undirected,N/A,sub-28895_ses-1_connectome.csv,70,1867,0.773,3.867,129,129,129,69,69,69,0.023,0.023,0.055,0.023,0.024,0.058
Undirected,N/A,sub-28894_ses-1_connectome.csv,70,2075,0.859,4.669,134,134,134,69,69,69,0.023,0.024,0.062,0.025,0.026,0.064
Undirected,N/A,sub-28900_ses-1_connectome.csv,70,1801,0.746,4.124,157,157,157,69,69,69,0.022,0.023,0.054,0.023,0.024,0.057
