type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28862_ses-1_connectome.csv,74,1833,0.679,4.141,145,145,145,73,73,73,0.025,0.026,0.06,0.025,0.026,0.064
Undirected,N/A,sub-28863_ses-1_connectome.csv,74,1669,0.618,3.357,152,152,152,73,73,73,0.024,0.025,0.056,0.025,0.025,0.059
Undirected,N/A,sub-28867_ses-1_connectome.csv,74,1986,0.735,3.794,142,142,142,74,74,74,0.025,0.025,0.065,0.026,0.026,0.068
Undirected,N/A,sub-28854_ses-1_connectome.csv,74,1989,0.736,3.25,158,158,158,73,73,73,0.026,0.027,0.066,0.028,0.026,0.069
Undirected,N/A,sub-28858_ses-1_connectome.csv,74,2108,0.78,3.537,164,164,164,73,73,73,0.028,0.028,0.076,0.028,0.028,0.075
Undirected,N/A,sub-28868_ses-1_connectome.csv,74,1964,0.727,3.197,142,142,142,73,73,73,0.026,0.027,0.066,0.027,0.027,0.068
Undirected,N/A,sub-28877_ses-1_connectome.csv,74,2060,0.763,3.806,177,177,177,73,73,73,0.027,0.028,0.069,0.027,0.027,0.072
Undirected,N/A,sub-28878_ses-1_connectome.csv,74,1939,0.718,3.454,147,147,147,73,73,73,0.026,0.027,0.065,0.029,0.027,0.067
Undirected,N/A,sub-28883_ses-1_connectome.csv,74,2137,0.791,3.614,156,156,156,73,73,73,0.027,0.028,0.071,0.027,0.028,0.073
Undirected,N/A,sub-28882_ses-1_connectome.csv,74,1880,0.696,3.918,158,158,158,73,73,73,0.025,0.026,0.064,0.026,0.026,0.066
Undirected,N/A,sub-28870_ses-1_connectome.csv,74,1897,0.702,3.502,155,155,155,73,73,73,0.026,0.027,0.064,0.026,0.027,0.066
Undirected,N/A,sub-28888_ses-1_connectome.csv,74,2017,0.747,3.607,140,140,140,73,73,73,0.026,0.027,0.069,0.026,0.027,0.07
Undirected,N/A,sub-28880_ses-1_connectome.csv,74,1913,0.708,3.368,163,163,163,73,73,73,0.026,0.026,0.065,0.026,0.026,0.067
Undirected,N/A,sub-28892_ses-1_connectome.csv,74,1941,0.719,3.601,165,165,165,74,74,74,0.026,0.027,0.066,0.026,0.027,0.068
Undirected,N/A,sub-28891_ses-1_connectome.csv,74,1879,0.696,4.458,150,150,150,73,73,73,0.025,0.026,0.064,0.026,0.026,0.064
Undirected,N/A,sub-28889_ses-1_connectome.csv,74,1893,0.701,3.434,153,153,153,73,73,73,0.025,0.026,0.064,0.026,0.026,0.066
Undirected,N/A,sub-28886_ses-1_connectome.csv,74,1957,0.725,3.984,145,145,145,73,73,73,0.025,0.026,0.066,0.026,0.026,0.069
Undirected,N/A,sub-28900_ses-1_connectome.csv,74,1968,0.729,3.627,151,151,151,73,73,73,0.026,0.027,0.066,0.026,0.027,0.067
Undirected,N/A,sub-28893_ses-1_connectome.csv,74,1910,0.707,3.463,159,159,159,73,73,73,0.026,0.027,0.064,0.026,0.026,0.067
Undirected,N/A,sub-28894_ses-1_connectome.csv,74,1904,0.705,3.279,147,147,147,73,73,73,0.025,0.026,0.064,0.027,0.026,0.066
Undirected,N/A,sub-28895_ses-1_connectome.csv,74,2149,0.796,3.468,166,166,166,73,73,73,0.027,0.028,0.071,0.027,0.028,0.074
Undirected,N/A,sub-28902_ses-1_connectome.csv,74,1898,0.703,3.401,154,154,154,74,74,74,0.025,0.026,0.063,0.026,0.026,0.065
Undirected,N/A,sub-28904_ses-1_connectome.csv,74,1850,0.685,3.522,155,155,155,73,73,73,0.024,0.026,0.061,0.025,0.026,0.064
