type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28854_ses-1_connectome.csv,180,8203,0.509,2.524,393,393,393,179,179,179,0.265,0.273,0.681,0.267,0.28,0.707
Undirected,N/A,sub-28862_ses-1_connectome.csv,180,8237,0.511,2.744,416,416,416,179,179,179,0.257,0.266,0.707,0.257,0.268,0.724
Undirected,N/A,sub-28867_ses-1_connectome.csv,178,8336,0.529,2.528,405,405,405,178,178,178,0.258,0.266,0.675,0.262,0.277,0.74
Undirected,N/A,sub-28868_ses-1_connectome.csv,180,6531,0.405,2.26,389,389,389,185,185,185,0.247,0.255,0.563,0.249,0.258,0.58
Undirected,N/A,sub-28882_ses-1_connectome.csv,180,7436,0.462,2.567,410,410,410,180,180,180,0.251,0.261,0.629,0.25,0.259,0.659
Undirected,N/A,sub-28877_ses-1_connectome.csv,180,9777,0.607,2.842,445,445,445,179,179,179,0.292,0.308,0.853,0.297,0.311,0.9
Undirected,N/A,sub-28863_ses-1_connectome.csv,180,6564,0.407,2.557,451,451,451,179,179,179,0.235,0.247,0.558,0.234,0.245,0.581
Undirected,N/A,sub-28883_ses-1_connectome.csv,180,9615,0.597,2.588,412,412,412,179,179,179,0.3,0.313,0.826,0.308,0.317,0.877
Undirected,N/A,sub-28858_ses-1_connectome.csv,180,9271,0.575,2.493,437,437,437,179,179,179,0.296,0.313,0.819,0.301,0.31,0.782
Undirected,N/A,sub-28878_ses-1_connectome.csv,180,8527,0.529,2.648,474,474,474,183,183,183,0.277,0.292,0.732,0.28,0.292,0.774
Undirected,N/A,sub-28886_ses-1_connectome.csv,180,8252,0.512,2.61,441,441,441,180,180,180,0.282,0.29,0.72,0.28,0.294,0.733
Undirected,N/A,sub-28880_ses-1_connectome.csv,180,7140,0.443,2.35,399,399,399,187,187,187,0.254,0.262,0.601,0.253,0.261,0.626
Undirected,N/A,sub-28888_ses-1_connectome.csv,180,8643,0.536,2.627,421,421,421,179,179,179,0.291,0.298,0.758,0.283,0.299,0.779
Undirected,N/A,sub-28891_ses-1_connectome.csv,180,7193,0.446,2.536,410,410,410,187,187,187,0.253,0.254,0.58,0.251,0.26,0.633
Undirected,N/A,sub-28889_ses-1_connectome.csv,180,7501,0.466,2.454,442,442,442,180,180,180,0.261,0.268,0.63,0.26,0.27,0.67
Undirected,N/A,sub-28893_ses-1_connectome.csv,180,6929,0.43,2.465,376,376,376,179,179,179,0.245,0.256,0.587,0.25,0.268,0.607
Undirected,N/A,sub-28892_ses-1_connectome.csv,180,7629,0.474,2.449,410,410,410,182,182,182,0.262,0.275,0.642,0.274,0.276,0.676
Undirected,N/A,sub-28895_ses-1_connectome.csv,180,8514,0.528,2.559,428,428,428,179,179,179,0.268,0.285,0.735,0.278,0.286,0.765
Undirected,N/A,sub-28894_ses-1_connectome.csv,179,7641,0.48,2.441,427,427,427,178,178,178,0.27,0.284,0.646,0.269,0.277,0.671
Undirected,N/A,sub-28900_ses-1_connectome.csv,180,8704,0.54,2.703,445,445,445,179,179,179,0.282,0.293,0.758,0.281,0.296,0.785
Undirected,N/A,sub-28870_ses-1_connectome.csv,180,7881,0.489,2.444,423,423,423,181,181,181,0.263,0.27,0.665,0.258,0.27,0.692
Undirected,N/A,sub-28904_ses-1_connectome.csv,180,7562,0.469,2.779,427,427,427,182,182,182,0.253,0.26,0.653,0.25,0.262,0.679
Undirected,N/A,sub-28902_ses-1_connectome.csv,180,7766,0.482,2.559,391,391,391,180,180,180,0.258,0.269,0.644,0.263,0.274,0.681
