type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,83,2675,0.786,3.499,163,163,163,82,82,82,0.035,0.036,0.097,0.035,0.037,0.102
Undirected,N/A,sub-28854_ses-1_connectome.csv,83,2412,0.709,3.43,159,159,159,82,82,82,0.033,0.034,0.089,0.033,0.034,0.091
Undirected,N/A,sub-28867_ses-1_connectome.csv,83,2563,0.753,3.419,161,161,161,82,82,82,0.034,0.035,0.092,0.034,0.035,0.094
Undirected,N/A,sub-28862_ses-1_connectome.csv,83,2595,0.763,3.685,158,158,158,82,82,82,0.035,0.036,0.277,0.036,0.036,0.097
Undirected,N/A,sub-28863_ses-1_connectome.csv,83,2063,0.606,3.196,164,164,164,82,82,82,0.032,0.034,0.077,0.032,0.033,0.08
Undirected,N/A,sub-28878_ses-1_connectome.csv,83,2641,0.776,3.978,165,165,165,87,87,87,0.035,0.037,0.094,0.036,0.037,0.099
Undirected,N/A,sub-28868_ses-1_connectome.csv,83,2602,0.765,3.484,172,172,172,82,82,82,0.036,0.037,0.097,0.036,0.036,0.1
Undirected,N/A,sub-28870_ses-1_connectome.csv,83,2439,0.717,3.787,160,160,160,82,82,82,0.032,0.033,0.088,0.032,0.034,0.092
Undirected,N/A,sub-28882_ses-1_connectome.csv,83,2389,0.702,3.613,153,153,153,82,82,82,0.033,0.034,0.089,0.034,0.034,0.09
Undirected,N/A,sub-28877_ses-1_connectome.csv,83,2543,0.747,3.736,156,156,156,82,82,82,0.034,0.036,0.093,0.034,0.035,0.096
Undirected,N/A,sub-28883_ses-1_connectome.csv,83,2897,0.851,3.862,159,159,159,82,82,82,0.036,0.037,0.103,0.037,0.039,0.107
Undirected,N/A,sub-28880_ses-1_connectome.csv,83,2381,0.7,3.445,169,169,169,82,82,82,0.033,0.034,0.089,0.033,0.034,0.091
Undirected,N/A,sub-28889_ses-1_connectome.csv,83,2510,0.738,3.309,169,169,169,82,82,82,0.034,0.035,0.091,0.034,0.036,0.095
Undirected,N/A,sub-28886_ses-1_connectome.csv,83,2292,0.674,3.208,162,162,162,82,82,82,0.033,0.035,0.086,0.033,0.034,0.089
Undirected,N/A,sub-28888_ses-1_connectome.csv,83,2219,0.652,3.213,169,169,169,82,82,82,0.032,0.033,0.081,0.032,0.034,0.086
Undirected,N/A,sub-28891_ses-1_connectome.csv,83,2274,0.668,3.39,151,151,151,82,82,82,0.032,0.033,0.084,0.033,0.033,0.089
Undirected,N/A,sub-28894_ses-1_connectome.csv,83,2676,0.786,3.68,159,159,159,82,82,82,0.036,0.037,0.099,0.036,0.037,0.103
Undirected,N/A,sub-28893_ses-1_connectome.csv,83,2591,0.761,3.496,169,169,169,82,82,82,0.035,0.036,0.093,0.035,0.037,0.098
Undirected,N/A,sub-28892_ses-1_connectome.csv,83,2458,0.722,3.557,145,145,145,82,82,82,0.033,0.035,0.091,0.033,0.035,0.093
Undirected,N/A,sub-28895_ses-1_connectome.csv,83,2483,0.73,3.388,157,157,157,82,82,82,0.033,0.034,0.089,0.033,0.036,0.093
Undirected,N/A,sub-28900_ses-1_connectome.csv,83,2371,0.697,3.225,158,158,158,82,82,82,0.033,0.035,0.088,0.034,0.035,0.091
Undirected,N/A,sub-28904_ses-1_connectome.csv,83,1963,0.577,3.227,158,158,158,82,82,82,0.031,0.032,0.074,0.031,0.032,0.078
Undirected,N/A,sub-28902_ses-1_connectome.csv,83,2040,0.599,3.265,175,175,175,82,82,82,0.031,0.033,0.077,0.032,0.032,0.078
