type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28854_ses-1_connectome.csv,48,878,0.778,3.566,79,79,79,47,47,47,0.008,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-28863_ses-1_connectome.csv,48,759,0.673,3.383,70,70,70,47,47,47,0.008,0.008,0.018,0.008,0.009,0.019
Undirected,N/A,sub-28862_ses-1_connectome.csv,48,821,0.728,4.013,67,67,67,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-28858_ses-1_connectome.csv,48,901,0.799,3.778,79,79,79,47,47,47,0.008,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-28870_ses-1_connectome.csv,48,858,0.761,3.68,77,77,77,47,47,47,0.009,0.008,0.02,0.008,0.009,0.021
Undirected,N/A,sub-28868_ses-1_connectome.csv,48,797,0.707,2.953,75,75,75,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-28867_ses-1_connectome.csv,48,805,0.714,3.886,66,66,66,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-28878_ses-1_connectome.csv,48,822,0.729,3.004,83,83,83,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-28877_ses-1_connectome.csv,48,904,0.801,4.007,75,75,75,47,47,47,0.008,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-28882_ses-1_connectome.csv,48,801,0.71,3.613,77,77,77,47,47,47,0.008,0.009,0.018,0.008,0.008,0.019
Undirected,N/A,sub-28886_ses-1_connectome.csv,48,822,0.729,3.629,70,70,70,47,47,47,0.008,0.008,0.019,0.008,0.009,0.02
Undirected,N/A,sub-28880_ses-1_connectome.csv,48,853,0.756,3.572,75,75,75,47,47,47,0.008,0.009,0.02,0.008,0.009,0.02
Undirected,N/A,sub-28883_ses-1_connectome.csv,48,958,0.849,4.013,77,77,77,47,47,47,0.009,0.009,0.022,0.009,0.009,0.022
Undirected,N/A,sub-28888_ses-1_connectome.csv,48,890,0.789,4.014,77,77,77,47,47,47,0.008,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-28889_ses-1_connectome.csv,48,860,0.762,3.942,83,83,83,47,47,47,0.009,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-28891_ses-1_connectome.csv,48,802,0.711,4.365,70,70,70,47,47,47,0.007,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-28894_ses-1_connectome.csv,48,883,0.783,3.704,79,79,79,47,47,47,0.008,0.009,0.02,0.009,0.009,0.021
Undirected,N/A,sub-28892_ses-1_connectome.csv,48,811,0.719,3.707,68,68,68,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-28902_ses-1_connectome.csv,48,832,0.738,3.913,69,69,69,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-28895_ses-1_connectome.csv,48,882,0.782,4.263,77,77,77,47,47,47,0.008,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-28900_ses-1_connectome.csv,48,859,0.762,3.9,73,73,73,47,47,47,0.008,0.008,0.02,0.009,0.008,0.02
Undirected,N/A,sub-28893_ses-1_connectome.csv,48,853,0.756,3.773,69,69,69,47,47,47,0.008,0.008,0.02,0.008,0.009,0.021
Undirected,N/A,sub-28904_ses-1_connectome.csv,48,844,0.748,3.462,74,74,74,47,47,47,0.008,0.009,0.019,0.008,0.009,0.02
