type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28862_ses-1_connectome.csv,21,209,0.995,14.422,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28858_ses-1_connectome.csv,21,209,0.995,14.422,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28867_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28863_ses-1_connectome.csv,21,210,1.0,8.307,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28868_ses-1_connectome.csv,21,209,0.995,14.422,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28877_ses-1_connectome.csv,21,209,0.995,14.422,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28870_ses-1_connectome.csv,21,206,0.981,8.226,30,30,30,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28878_ses-1_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28854_ses-1_connectome.csv,21,205,0.976,14.283,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28888_ses-1_connectome.csv,21,204,0.971,14.248,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28883_ses-1_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28882_ses-1_connectome.csv,21,209,0.995,10.173,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28892_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28886_ses-1_connectome.csv,21,202,0.962,10.0,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28891_ses-1_connectome.csv,21,208,0.99,14.387,27,27,27,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-28880_ses-1_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28889_ses-1_connectome.csv,21,208,0.99,14.387,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28893_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28894_ses-1_connectome.csv,21,210,1.0,14.457,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28900_ses-1_connectome.csv,21,209,0.995,8.287,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28904_ses-1_connectome.csv,21,202,0.962,7.036,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28902_ses-1_connectome.csv,21,203,0.967,14.213,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28895_ses-1_connectome.csv,21,209,0.995,14.422,30,30,30,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
