type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28854_ses-1_connectome.csv,48,656,0.582,3.152,68,68,68,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-28862_ses-1_connectome.csv,48,719,0.637,3.314,66,66,66,47,47,47,0.007,0.008,0.017,0.007,0.008,0.019
Undirected,N/A,sub-28863_ses-1_connectome.csv,48,543,0.481,3.595,72,72,72,47,47,47,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-28858_ses-1_connectome.csv,48,754,0.668,3.126,77,77,77,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-28868_ses-1_connectome.csv,48,603,0.535,2.852,65,65,65,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-28877_ses-1_connectome.csv,48,723,0.641,3.555,67,67,67,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-28870_ses-1_connectome.csv,48,637,0.565,2.992,66,66,66,47,47,47,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-28878_ses-1_connectome.csv,48,700,0.621,4.174,75,75,75,47,47,47,0.007,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-28883_ses-1_connectome.csv,48,767,0.68,3.206,68,68,68,47,47,47,0.007,0.008,0.018,0.007,0.008,0.019
Undirected,N/A,sub-28867_ses-1_connectome.csv,48,747,0.662,3.774,82,82,82,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-28882_ses-1_connectome.csv,48,593,0.526,3.49,75,75,75,47,47,47,0.007,0.007,0.015,0.007,0.008,0.015
Undirected,N/A,sub-28888_ses-1_connectome.csv,48,629,0.558,2.997,68,68,68,47,47,47,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-28886_ses-1_connectome.csv,48,623,0.552,3.314,66,66,66,47,47,47,0.008,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-28880_ses-1_connectome.csv,48,657,0.582,3.071,74,74,74,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-28889_ses-1_connectome.csv,48,626,0.555,4.048,69,69,69,47,47,47,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-28892_ses-1_connectome.csv,48,582,0.516,3.227,69,69,69,47,47,47,0.007,0.007,0.015,0.007,0.007,0.015
Undirected,N/A,sub-28891_ses-1_connectome.csv,48,575,0.51,3.391,74,74,74,47,47,47,0.007,0.008,0.015,0.007,0.008,0.015
Undirected,N/A,sub-28900_ses-1_connectome.csv,48,589,0.522,2.839,67,67,67,47,47,47,0.007,0.007,0.015,0.007,0.007,0.017
Undirected,N/A,sub-28902_ses-1_connectome.csv,48,530,0.47,3.169,71,71,71,47,47,47,0.006,0.008,0.014,0.006,0.007,0.014
Undirected,N/A,sub-28895_ses-1_connectome.csv,48,735,0.652,3.662,76,76,76,47,47,47,0.008,0.008,0.018,0.007,0.008,0.02
Undirected,N/A,sub-28904_ses-1_connectome.csv,48,556,0.493,3.291,67,67,67,47,47,47,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-28894_ses-1_connectome.csv,48,690,0.612,3.432,68,68,68,47,47,47,0.007,0.008,0.016,0.008,0.007,0.017
Undirected,N/A,sub-28893_ses-1_connectome.csv,48,655,0.581,2.987,67,67,67,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
