type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28854_ses-1_connectome.csv,100,2327,0.47,2.677,220,220,220,104,104,104,0.047,0.049,0.108,0.046,0.047,0.11
Undirected,N/A,sub-28868_ses-1_connectome.csv,101,2330,0.461,2.689,211,211,211,102,102,102,0.051,0.052,0.108,0.05,0.051,0.112
Undirected,N/A,sub-28863_ses-1_connectome.csv,101,2075,0.411,2.911,192,192,192,105,105,105,0.044,0.045,0.098,0.043,0.045,0.101
Undirected,N/A,sub-28867_ses-1_connectome.csv,99,2426,0.5,2.683,201,201,201,99,99,99,0.049,0.051,0.11,0.048,0.051,0.114
Undirected,N/A,sub-28862_ses-1_connectome.csv,101,2719,0.538,3.012,210,210,210,101,101,101,0.052,0.054,0.123,0.051,0.053,0.127
Undirected,N/A,sub-28870_ses-1_connectome.csv,101,2610,0.517,2.77,226,226,226,107,107,107,0.051,0.054,0.12,0.049,0.052,0.124
Undirected,N/A,sub-28877_ses-1_connectome.csv,100,2692,0.544,3.226,244,244,244,100,100,100,0.055,0.055,0.121,0.052,0.055,0.125
Undirected,N/A,sub-28858_ses-1_connectome.csv,101,2596,0.514,2.756,212,212,212,102,102,102,0.054,0.056,0.119,0.052,0.055,0.123
Undirected,N/A,sub-28880_ses-1_connectome.csv,102,2496,0.485,3.038,217,217,217,103,103,103,0.051,0.052,0.117,0.049,0.052,0.12
Undirected,N/A,sub-28888_ses-1_connectome.csv,100,2426,0.49,2.85,186,186,186,102,102,102,0.049,0.052,0.11,0.048,0.05,0.221
Undirected,N/A,sub-28883_ses-1_connectome.csv,101,2947,0.584,2.72,206,206,206,105,105,105,0.057,0.058,0.137,0.056,0.058,0.141
Undirected,N/A,sub-28882_ses-1_connectome.csv,101,2329,0.461,2.779,211,211,211,103,103,103,0.048,0.049,0.108,0.048,0.049,0.113
Undirected,N/A,sub-28886_ses-1_connectome.csv,100,2344,0.474,2.843,194,194,194,100,100,100,0.048,0.05,0.11,0.05,0.049,0.112
Undirected,N/A,sub-28878_ses-1_connectome.csv,102,2550,0.495,3.007,221,221,221,102,102,102,0.052,0.052,0.119,0.051,0.051,0.125
Undirected,N/A,sub-28891_ses-1_connectome.csv,101,2389,0.473,2.938,214,214,214,101,101,101,0.052,0.053,0.113,0.052,0.051,0.115
Undirected,N/A,sub-28889_ses-1_connectome.csv,100,2512,0.507,2.721,216,216,216,99,99,99,0.052,0.053,0.115,0.052,0.052,0.123
Undirected,N/A,sub-28895_ses-1_connectome.csv,102,2389,0.464,2.932,206,206,206,101,101,101,0.052,0.053,0.114,0.051,0.052,0.118
Undirected,N/A,sub-28894_ses-1_connectome.csv,101,2732,0.541,2.821,203,203,203,102,102,102,0.056,0.057,0.128,0.055,0.056,0.133
Undirected,N/A,sub-28892_ses-1_connectome.csv,100,2409,0.487,2.913,221,221,221,104,104,104,0.048,0.05,0.112,0.047,0.048,0.117
Undirected,N/A,sub-28902_ses-1_connectome.csv,102,2372,0.46,3.023,223,223,223,101,101,101,0.051,0.052,0.112,0.049,0.05,0.116
Undirected,N/A,sub-28893_ses-1_connectome.csv,101,2464,0.488,2.765,193,193,193,101,101,101,0.052,0.054,0.115,0.052,0.053,0.119
Undirected,N/A,sub-28904_ses-1_connectome.csv,102,2238,0.434,2.82,214,214,214,102,102,102,0.046,0.048,0.106,0.047,0.047,0.11
Undirected,N/A,sub-28900_ses-1_connectome.csv,100,2398,0.484,3.027,190,190,190,99,99,99,0.048,0.05,0.111,0.047,0.05,0.115
