type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28858_ses-1_connectome.csv,66,1514,0.706,3.521,83,83,83,65,65,65,0.016,0.017,0.045,0.017,0.017,0.045
Undirected,N/A,sub-28854_ses-1_connectome.csv,66,1453,0.677,3.231,90,90,90,65,65,65,0.017,0.017,0.041,0.017,0.018,0.043
Undirected,N/A,sub-28862_ses-1_connectome.csv,66,1596,0.744,3.572,107,107,107,65,65,65,0.018,0.018,0.044,0.017,0.019,0.048
Undirected,N/A,sub-28868_ses-1_connectome.csv,66,1650,0.769,3.836,102,102,102,65,65,65,0.018,0.018,0.046,0.017,0.018,0.048
Undirected,N/A,sub-28863_ses-1_connectome.csv,66,1258,0.586,3.646,109,109,109,67,67,67,0.016,0.017,0.038,0.015,0.016,0.039
Undirected,N/A,sub-28870_ses-1_connectome.csv,66,1506,0.702,3.672,88,88,88,65,65,65,0.017,0.017,0.043,0.017,0.018,0.045
Undirected,N/A,sub-28867_ses-1_connectome.csv,66,1632,0.761,3.303,93,93,93,65,65,65,0.017,0.018,0.046,0.018,0.019,0.05
Undirected,N/A,sub-28877_ses-1_connectome.csv,66,1517,0.707,3.686,91,91,91,65,65,65,0.017,0.017,0.042,0.017,0.018,0.044
Undirected,N/A,sub-28878_ses-1_connectome.csv,66,1596,0.744,3.445,89,89,89,65,65,65,0.017,0.018,0.046,0.017,0.018,0.046
Undirected,N/A,sub-28880_ses-1_connectome.csv,66,1570,0.732,3.54,110,110,110,65,65,65,0.017,0.018,0.045,0.018,0.018,0.046
Undirected,N/A,sub-28882_ses-1_connectome.csv,66,1455,0.678,3.549,102,102,102,65,65,65,0.017,0.017,0.042,0.017,0.017,0.044
Undirected,N/A,sub-28883_ses-1_connectome.csv,65,1678,0.807,4.128,87,87,87,64,64,64,0.018,0.019,0.046,0.018,0.019,0.049
Undirected,N/A,sub-28886_ses-1_connectome.csv,66,1397,0.651,3.233,103,103,103,65,65,65,0.016,0.018,0.041,0.017,0.017,0.042
Undirected,N/A,sub-28888_ses-1_connectome.csv,66,1510,0.704,3.516,91,91,91,65,65,65,0.017,0.017,0.043,0.018,0.018,0.045
Undirected,N/A,sub-28889_ses-1_connectome.csv,66,1536,0.716,3.75,93,93,93,65,65,65,0.017,0.017,0.043,0.017,0.018,0.046
Undirected,N/A,sub-28894_ses-1_connectome.csv,66,1712,0.798,3.892,105,105,105,65,65,65,0.019,0.019,0.05,0.019,0.019,0.05
Undirected,N/A,sub-28892_ses-1_connectome.csv,65,1456,0.7,3.943,98,98,98,64,64,64,0.016,0.018,0.041,0.016,0.017,0.043
Undirected,N/A,sub-28893_ses-1_connectome.csv,66,1579,0.736,4.044,109,109,109,65,65,65,0.018,0.019,0.045,0.019,0.019,0.047
Undirected,N/A,sub-28900_ses-1_connectome.csv,66,1483,0.691,3.325,98,98,98,65,65,65,0.017,0.017,0.042,0.017,0.017,0.045
Undirected,N/A,sub-28895_ses-1_connectome.csv,66,1417,0.661,3.591,100,100,100,65,65,65,0.017,0.017,0.04,0.017,0.018,0.042
Undirected,N/A,sub-28891_ses-1_connectome.csv,66,1402,0.654,3.551,88,88,88,65,65,65,0.016,0.017,0.04,0.016,0.017,0.042
Undirected,N/A,sub-28904_ses-1_connectome.csv,66,1328,0.619,3.361,103,103,103,66,66,66,0.016,0.017,0.039,0.017,0.017,0.04
Undirected,N/A,sub-28902_ses-1_connectome.csv,66,1325,0.618,3.598,100,100,100,65,65,65,0.016,0.016,0.038,0.016,0.017,0.041
