type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28863_ses-1_connectome.csv,4,5,0.833,2.0,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-28867_ses-1_connectome.csv,22,184,0.797,4.171,29,29,29,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28854_ses-1_connectome.csv,22,159,0.688,3.5,29,29,29,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28862_ses-1_connectome.csv,6,15,1.0,3.742,6,6,6,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-28858_ses-1_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-28877_ses-1_connectome.csv,31,282,0.606,4.549,37,37,37,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-28868_ses-1_connectome.csv,23,175,0.692,3.686,29,29,29,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28878_ses-1_connectome.csv,21,145,0.69,4.138,30,30,30,23,23,23,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28870_ses-1_connectome.csv,30,300,0.69,4.359,41,41,41,29,29,29,0.002,0.002,0.006,0.002,0.002,0.006
Undirected,N/A,sub-28886_ses-1_connectome.csv,23,175,0.692,7.572,36,36,36,27,27,27,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-28888_ses-1_connectome.csv,23,154,0.609,7.095,33,33,33,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28889_ses-1_connectome.csv,26,202,0.622,4.167,29,29,29,25,25,25,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-28891_ses-1_connectome.csv,20,134,0.705,4.259,26,26,26,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28882_ses-1_connectome.csv,24,175,0.634,5.831,33,33,33,24,24,24,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28880_ses-1_connectome.csv,19,132,0.772,3.937,20,20,20,18,18,18,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28893_ses-1_connectome.csv,23,188,0.743,4.011,34,34,34,23,23,23,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28895_ses-1_connectome.csv,22,193,0.835,3.884,25,25,25,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28883_ses-1_connectome.csv,23,169,0.668,4.811,30,30,30,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-28894_ses-1_connectome.csv,31,272,0.585,4.139,45,45,45,30,30,30,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-28892_ses-1_connectome.csv,5,7,0.7,2.449,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-28902_ses-1_connectome.csv,21,146,0.695,4.83,30,30,30,21,21,21,0.001,0.001,0.002,0.002,0.001,0.002
Undirected,N/A,sub-28904_ses-1_connectome.csv,35,307,0.516,2.834,46,46,46,34,34,34,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-28900_ses-1_connectome.csv,21,157,0.748,5.514,30,30,30,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
