type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28867_ses-1_connectome.csv,299,10982,0.247,2.326,733,733,733,327,327,327,0.766,0.821,1.797,0.766,0.816,1.867
Undirected,N/A,sub-28863_ses-1_connectome.csv,300,9621,0.215,2.519,722,722,722,307,307,307,0.651,0.689,1.554,0.638,0.672,1.615
Undirected,N/A,sub-28854_ses-1_connectome.csv,300,11348,0.253,2.363,707,707,707,303,303,303,0.789,0.832,1.934,0.772,0.827,1.993
Undirected,N/A,sub-28868_ses-1_connectome.csv,300,10736,0.239,2.255,653,653,653,320,320,320,0.799,0.84,1.805,0.764,0.82,1.851
Undirected,N/A,sub-28880_ses-1_connectome.csv,300,10532,0.235,2.304,727,727,727,304,304,304,0.733,0.782,1.778,0.736,0.774,1.837
Undirected,N/A,sub-28877_ses-1_connectome.csv,300,14259,0.318,2.515,724,724,724,299,299,299,0.962,1.065,2.667,0.991,1.066,2.763
Undirected,N/A,sub-28870_ses-1_connectome.csv,299,12770,0.287,2.282,764,764,764,306,306,306,0.909,0.977,2.291,0.924,0.999,2.374
Undirected,N/A,sub-28878_ses-1_connectome.csv,300,11750,0.262,2.286,712,712,712,305,305,305,0.842,0.883,2.058,1.028,0.861,2.06
Undirected,N/A,sub-28882_ses-1_connectome.csv,299,11190,0.251,2.416,722,722,722,304,304,304,0.738,0.794,1.873,0.746,0.79,1.905
Undirected,N/A,sub-28888_ses-1_connectome.csv,300,11451,0.255,2.229,683,683,683,306,306,306,0.795,0.863,1.966,0.795,0.857,2.035
Undirected,N/A,sub-28858_ses-1_connectome.csv,300,14280,0.318,2.242,712,712,712,299,299,299,0.978,1.089,2.719,1.017,1.088,2.811
Undirected,N/A,sub-28883_ses-1_connectome.csv,300,16286,0.363,2.182,686,686,686,300,300,300,1.143,1.297,3.223,1.202,1.313,3.301
Undirected,N/A,sub-28891_ses-1_connectome.csv,300,10935,0.244,2.375,696,696,696,312,312,312,0.807,0.855,1.904,0.781,0.841,1.965
Undirected,N/A,sub-28889_ses-1_connectome.csv,300,10991,0.245,2.29,757,757,757,309,309,309,0.803,0.828,1.868,0.756,0.807,1.929
Undirected,N/A,sub-28900_ses-1_connectome.csv,300,12822,0.286,2.489,690,690,690,302,302,302,0.866,0.926,2.325,0.879,0.922,2.375
Undirected,N/A,sub-28893_ses-1_connectome.csv,300,11749,0.262,2.344,744,744,744,310,310,310,0.815,0.883,2.069,0.858,0.877,2.173
Undirected,N/A,sub-28892_ses-1_connectome.csv,300,11071,0.247,2.292,649,649,649,309,309,309,0.759,0.814,1.878,0.768,0.812,1.975
Undirected,N/A,sub-28904_ses-1_connectome.csv,295,10921,0.252,2.564,709,709,709,307,307,307,0.718,0.755,1.817,0.691,0.729,1.885
Undirected,N/A,sub-28894_ses-1_connectome.csv,299,12251,0.275,2.277,652,652,652,312,312,312,0.896,0.951,1.962,0.929,0.974,2.198
Undirected,N/A,sub-28862_ses-1_connectome.csv,300,13012,0.29,2.501,707,707,707,302,302,302,0.924,0.959,2.347,0.908,0.949,2.41
Undirected,N/A,sub-28902_ses-1_connectome.csv,300,10827,0.241,2.364,642,642,642,306,306,306,0.74,0.792,1.808,0.746,0.789,1.868
Undirected,N/A,sub-28895_ses-1_connectome.csv,300,11923,0.266,2.359,682,682,682,305,305,305,0.808,0.874,2.066,0.841,0.882,2.165
Undirected,N/A,sub-28886_ses-1_connectome.csv,300,11064,0.247,2.385,719,719,719,305,305,305,0.733,0.783,1.822,0.746,0.783,1.914
