type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28862_ses-1_connectome.csv,795,30876,0.098,1.847,1709,1709,1709,925,925,925,10.49,11.347,20.94,10.704,10.838,20.236
Undirected,N/A,sub-28867_ses-1_connectome.csv,760,25382,0.088,1.797,1513,1513,1513,910,910,910,8.245,9.043,15.681,8.011,9.038,16.003
Undirected,N/A,sub-28858_ses-1_connectome.csv,798,29064,0.091,1.653,1449,1449,1449,890,890,890,10.496,11.78,20.822,10.074,11.323,19.957
Undirected,N/A,sub-28868_ses-1_connectome.csv,722,19653,0.076,1.73,1420,1420,1420,860,860,860,5.965,6.696,11.7,5.937,6.491,11.458
Undirected,N/A,sub-28877_ses-1_connectome.csv,827,37716,0.11,1.888,1694,1694,1694,919,919,919,13.416,14.631,26.362,13.083,13.752,26.311
Undirected,N/A,sub-28880_ses-1_connectome.csv,780,22964,0.076,1.757,1700,1700,1700,963,963,963,7.573,8.425,15.089,7.724,7.966,14.586
Undirected,N/A,sub-28878_ses-1_connectome.csv,790,24641,0.079,1.765,1623,1623,1623,1000,1000,1000,8.41,9.48,16.273,7.888,8.928,15.996
Undirected,N/A,sub-28882_ses-1_connectome.csv,763,21049,0.072,1.764,1557,1557,1557,946,946,946,6.723,7.501,13.645,6.39,7.225,13.325
Undirected,N/A,sub-28886_ses-1_connectome.csv,796,25653,0.081,1.85,1522,1522,1522,922,922,922,8.476,9.159,16.422,8.225,8.881,16.43
Undirected,N/A,sub-28883_ses-1_connectome.csv,812,37667,0.114,1.65,1579,1579,1579,924,924,924,13.951,14.962,27.002,13.464,14.114,26.012
Undirected,N/A,sub-28893_ses-1_connectome.csv,769,25459,0.086,1.784,1524,1524,1524,876,876,876,8.384,9.264,16.679,8.795,8.861,15.607
Undirected,N/A,sub-28888_ses-1_connectome.csv,835,29021,0.083,1.724,1818,1818,1818,1049,1049,1049,10.658,12.16,21.627,10.351,11.714,20.895
Undirected,N/A,sub-28895_ses-1_connectome.csv,801,28839,0.09,1.788,1612,1612,1612,952,952,952,10.417,11.514,20.115,10.027,11.043,19.675
Undirected,N/A,sub-28870_ses-1_connectome.csv,778,26028,0.086,1.722,1566,1566,1566,944,944,944,8.987,9.91,17.396,8.499,9.407,16.934
Undirected,N/A,sub-28891_ses-1_connectome.csv,762,25078,0.086,1.794,1509,1509,1509,908,908,908,8.426,9.124,16.435,8.109,8.752,16.107
Undirected,N/A,sub-28894_ses-1_connectome.csv,759,25828,0.09,1.761,1554,1554,1554,909,909,909,8.418,9.589,16.836,9.057,8.827,16.021
Undirected,N/A,sub-28902_ses-1_connectome.csv,810,25739,0.079,1.802,1585,1585,1585,956,956,956,8.981,10.19,18.201,8.553,9.661,17.679
Undirected,N/A,sub-28900_ses-1_connectome.csv,775,29449,0.098,1.89,1530,1530,1530,909,909,909,10.044,10.984,20.048,9.469,10.446,19.444
Undirected,N/A,sub-28904_ses-1_connectome.csv,788,24954,0.08,1.84,1538,1538,1538,909,909,909,8.317,8.916,16.492,7.67,8.586,16.314
Undirected,N/A,sub-28854_ses-1_connectome.csv,799,30685,0.096,1.836,1643,1643,1643,921,921,921,10.526,11.496,20.934,10.17,11.185,20.496
Undirected,N/A,sub-28863_ses-1_connectome.csv,790,22934,0.074,1.852,1628,1628,1628,968,968,968,7.445,7.908,14.579,6.632,7.506,14.015
Undirected,N/A,sub-28889_ses-1_connectome.csv,797,24146,0.076,1.783,1678,1678,1678,984,984,984,8.237,9.196,16.696,7.904,8.841,16.385
Undirected,N/A,sub-28892_ses-1_connectome.csv,778,23153,0.077,1.754,1534,1534,1534,985,985,985,7.674,8.429,15.173,7.278,8.103,14.829
