type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28854_ses-1_connectome.csv,656,47371,0.22,2.206,1579,1579,1579,912,912,912,12.919,14.001,25.559,12.725,13.625,25.502
Undirected,N/A,sub-28863_ses-1_connectome.csv,663,43302,0.197,2.22,1702,1702,1702,1009,1009,1009,12.436,13.082,24.132,11.78,12.775,23.544
Undirected,N/A,sub-28858_ses-1_connectome.csv,677,58278,0.255,2.149,1500,1500,1500,901,901,901,16.231,17.621,33.037,15.955,17.382,32.739
Undirected,N/A,sub-28880_ses-1_connectome.csv,633,50039,0.25,2.181,1487,1487,1487,863,863,863,13.093,14.545,27.406,13.277,14.33,27.13
Undirected,N/A,sub-28868_ses-1_connectome.csv,657,59587,0.277,2.214,1630,1630,1630,947,947,947,16.34,17.292,32.649,16.472,17.12,32.813
Undirected,N/A,sub-28877_ses-1_connectome.csv,691,62931,0.264,2.292,1566,1566,1566,890,890,890,19.154,19.758,36.164,17.839,18.358,35.532
Undirected,N/A,sub-28878_ses-1_connectome.csv,654,52835,0.247,2.219,1565,1565,1565,925,925,925,14.203,15.398,28.776,13.877,15.183,28.584
Undirected,N/A,sub-28883_ses-1_connectome.csv,680,70340,0.305,2.098,1431,1431,1431,852,852,852,18.497,19.721,39.244,18.22,19.701,38.977
Undirected,N/A,sub-28882_ses-1_connectome.csv,654,46008,0.215,2.216,1710,1710,1710,1046,1046,1046,12.451,13.763,25.157,12.163,13.486,24.825
Undirected,N/A,sub-28889_ses-1_connectome.csv,687,56626,0.24,2.174,1625,1625,1625,939,939,939,16.322,17.637,33.371,16.137,17.253,32.663
Undirected,N/A,sub-28867_ses-1_connectome.csv,677,57822,0.253,2.16,1515,1515,1515,888,888,888,16.539,17.948,33.887,17.319,17.879,33.7
Undirected,N/A,sub-28886_ses-1_connectome.csv,652,47549,0.224,2.215,1449,1449,1449,889,889,889,12.5,13.906,26.287,12.56,13.625,25.737
Undirected,N/A,sub-28888_ses-1_connectome.csv,668,50973,0.229,2.087,1577,1577,1577,926,926,926,14.323,15.289,28.251,14.139,15.092,28.134
Undirected,N/A,sub-28892_ses-1_connectome.csv,688,55425,0.235,2.171,1630,1630,1630,951,951,951,16.068,16.674,31.898,14.991,16.38,31.273
Undirected,N/A,sub-28894_ses-1_connectome.csv,623,51042,0.263,2.206,1566,1566,1566,943,943,943,12.784,13.955,26.248,12.465,13.651,26.054
Undirected,N/A,sub-28895_ses-1_connectome.csv,656,47946,0.223,2.226,1493,1493,1493,931,931,931,12.214,13.345,25.907,13.613,13.498,25.316
Undirected,N/A,sub-28900_ses-1_connectome.csv,654,54791,0.257,2.255,1585,1585,1585,881,881,881,15.426,16.676,31.881,14.997,16.284,30.573
Undirected,N/A,sub-28904_ses-1_connectome.csv,659,46565,0.215,2.204,1639,1639,1639,936,936,936,12.722,13.684,25.685,12.674,13.503,25.21
Undirected,N/A,sub-28893_ses-1_connectome.csv,646,57009,0.274,2.214,1498,1498,1498,880,880,880,14.828,15.793,30.494,14.368,15.568,29.967
Undirected,N/A,sub-28902_ses-1_connectome.csv,653,48509,0.228,2.272,1604,1604,1604,917,917,917,13.408,14.221,26.501,13.083,13.803,26.072
Undirected,N/A,sub-28862_ses-1_connectome.csv,686,64870,0.276,2.206,1627,1627,1627,895,895,895,18.224,19.18,37.028,14.402,11.74,25.123
Undirected,N/A,sub-28891_ses-1_connectome.csv,646,44678,0.214,2.217,1614,1614,1614,938,938,938,7.668,8.535,16.317,8.199,9.139,17.367
Undirected,N/A,sub-28870_ses-1_connectome.csv,628,45801,0.233,2.169,1494,1494,1494,896,896,896,8.306,8.985,17.236,8.882,9.135,17.644
