type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-28863_ses-1_connectome.csv,17,135,0.993,11.576,36,36,36,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28867_ses-1_connectome.csv,17,136,1.0,11.619,35,35,35,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28870_ses-1_connectome.csv,17,135,0.993,11.576,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28868_ses-1_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28880_ses-1_connectome.csv,17,136,1.0,11.619,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28854_ses-1_connectome.csv,17,134,0.985,11.533,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28878_ses-1_connectome.csv,17,136,1.0,11.619,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28882_ses-1_connectome.csv,17,135,0.993,11.576,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28883_ses-1_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28862_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28888_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28886_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28877_ses-1_connectome.csv,17,136,1.0,11.619,36,36,36,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28892_ses-1_connectome.csv,17,135,0.993,11.576,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28858_ses-1_connectome.csv,17,136,1.0,11.619,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28900_ses-1_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28894_ses-1_connectome.csv,17,136,1.0,11.619,39,39,39,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28889_ses-1_connectome.csv,17,136,1.0,11.619,36,36,36,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28902_ses-1_connectome.csv,17,136,1.0,11.619,36,36,36,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28904_ses-1_connectome.csv,17,135,0.993,11.576,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28895_ses-1_connectome.csv,17,136,1.0,11.619,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28891_ses-1_connectome.csv,17,136,1.0,11.619,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-28893_ses-1_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
