type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,116,2349,0.352,2.964,235,235,235,117,117,117,0.059,0.062,0.127,0.058,0.06,0.132
Undirected,N/A,sub-29119_ses-1_connectome.csv,116,2733,0.41,2.99,266,266,266,115,115,115,0.065,0.068,0.142,0.063,0.064,0.151
Undirected,N/A,sub-29120_ses-1_connectome.csv,116,2371,0.355,2.784,243,243,243,121,121,121,0.06,0.062,0.128,0.06,0.062,0.133
Undirected,N/A,sub-29118_ses-1_connectome.csv,116,2482,0.372,3.191,273,273,273,117,117,117,0.061,0.062,0.131,0.058,0.06,0.136
Undirected,N/A,sub-29123_ses-1_connectome.csv,116,3189,0.478,2.89,276,276,276,115,115,115,0.072,0.074,0.166,0.071,0.073,0.174
Undirected,N/A,sub-29125_ses-1_connectome.csv,116,2733,0.41,3.307,262,262,262,116,116,116,0.064,0.068,0.144,0.063,0.065,0.149
Undirected,N/A,sub-29130_ses-1_connectome.csv,116,2497,0.374,3.06,257,257,257,116,116,116,0.062,0.064,0.133,0.061,0.064,0.139
Undirected,N/A,sub-29129_ses-1_connectome.csv,116,2829,0.424,2.882,282,282,282,115,115,115,0.07,0.073,0.148,0.068,0.07,0.157
Undirected,N/A,sub-29121_ses-1_connectome.csv,116,2938,0.44,3.028,270,270,270,115,115,115,0.068,0.072,0.157,0.068,0.069,0.163
Undirected,N/A,sub-29127_ses-1_connectome.csv,116,2265,0.34,3.277,246,246,246,123,123,123,0.058,0.061,0.123,0.058,0.059,0.13
Undirected,N/A,sub-29128_ses-1_connectome.csv,116,2474,0.371,2.718,274,274,274,118,118,118,0.062,0.064,0.135,0.061,0.062,0.138
Undirected,N/A,sub-29124_ses-1_connectome.csv,116,2556,0.383,2.768,266,266,266,115,115,115,0.064,0.066,0.144,0.063,0.065,0.144
Undirected,N/A,sub-29133_ses-1_connectome.csv,116,2675,0.401,2.793,263,263,263,115,115,115,0.065,0.068,0.145,0.064,0.066,0.15
Undirected,N/A,sub-29126_ses-1_connectome.csv,116,2840,0.426,2.926,248,248,248,116,116,116,0.069,0.072,0.152,0.068,0.07,0.157
Undirected,N/A,sub-29131_ses-1_connectome.csv,116,3182,0.477,3.001,266,266,266,116,116,116,0.074,0.076,0.169,0.073,0.075,0.173
Undirected,N/A,sub-29136_ses-1_connectome.csv,116,2548,0.382,3.137,245,245,245,120,120,120,0.061,0.064,0.137,0.061,0.063,0.142
Undirected,N/A,sub-29135_ses-1_connectome.csv,116,3167,0.475,2.819,256,256,256,116,116,116,0.072,0.074,0.164,0.075,0.074,0.174
Undirected,N/A,sub-29137_ses-1_connectome.csv,116,3307,0.496,2.921,276,276,276,115,115,115,0.074,0.077,0.173,0.074,0.076,0.18
Undirected,N/A,sub-29134_ses-1_connectome.csv,116,3596,0.539,3.216,285,285,285,115,115,115,0.076,0.08,0.186,0.076,0.077,0.194
