type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,381,15993,0.221,2.5,1131,1131,1131,422,422,422,1.482,1.551,2.75,1.442,1.567,3.361
Undirected,N/A,sub-29117_ses-1_connectome.csv,379,14381,0.201,2.557,1019,1019,1019,402,402,402,1.428,1.476,2.981,1.378,1.461,3.064
Undirected,N/A,sub-29121_ses-1_connectome.csv,377,15506,0.219,2.474,1081,1081,1081,423,423,423,1.524,1.607,3.093,1.53,1.602,3.44
Undirected,N/A,sub-29128_ses-1_connectome.csv,368,13640,0.202,2.503,940,940,940,429,429,429,1.337,1.406,2.742,1.245,1.258,2.712
Undirected,N/A,sub-29120_ses-1_connectome.csv,378,13465,0.189,2.627,969,969,969,426,426,426,1.241,1.32,2.692,1.257,1.317,2.782
Undirected,N/A,sub-29127_ses-1_connectome.csv,379,15322,0.214,2.561,1101,1101,1101,401,401,401,1.391,1.465,3.139,1.369,1.418,3.203
Undirected,N/A,sub-29129_ses-1_connectome.csv,376,16796,0.238,2.421,1059,1059,1059,456,456,456,1.687,1.792,3.513,1.665,1.752,3.42
Undirected,N/A,sub-29126_ses-1_connectome.csv,373,15197,0.219,2.532,1006,1006,1006,425,425,425,1.487,1.535,3.053,1.473,1.539,3.144
Undirected,N/A,sub-29134_ses-1_connectome.csv,383,22274,0.304,2.436,1106,1106,1106,404,404,404,2.035,2.012,4.676,1.927,2.2,4.801
Undirected,N/A,sub-29131_ses-1_connectome.csv,378,19278,0.271,2.541,1177,1177,1177,419,419,419,1.914,1.999,4.002,1.916,1.96,4.132
Undirected,N/A,sub-29130_ses-1_connectome.csv,376,15203,0.216,2.443,1128,1128,1128,419,419,419,1.476,1.553,3.085,1.463,1.514,3.074
Undirected,N/A,sub-29136_ses-1_connectome.csv,378,14263,0.2,2.558,1092,1092,1092,441,441,441,1.328,1.402,2.792,1.265,1.38,2.706
Undirected,N/A,sub-29119_ses-1_connectome.csv,372,14409,0.209,2.479,1083,1083,1083,431,431,431,1.398,1.443,2.934,1.391,1.445,3.025
Undirected,N/A,sub-29123_ses-1_connectome.csv,374,16470,0.236,2.341,1041,1041,1041,407,407,407,1.611,1.685,3.509,1.575,1.673,3.573
Undirected,N/A,sub-29125_ses-1_connectome.csv,376,16779,0.238,2.515,1078,1078,1078,425,425,425,1.7,1.764,3.628,1.556,1.748,3.827
Undirected,N/A,sub-29124_ses-1_connectome.csv,374,13975,0.2,2.51,1056,1056,1056,437,437,437,1.439,1.49,2.921,1.33,1.426,2.97
Undirected,N/A,sub-29137_ses-1_connectome.csv,376,16422,0.233,2.404,1022,1022,1022,429,429,429,1.659,1.756,3.556,1.635,1.774,3.685
Undirected,N/A,sub-29133_ses-1_connectome.csv,378,14640,0.205,2.368,1085,1085,1085,419,419,419,1.462,1.587,3.058,1.477,1.568,3.287
Undirected,N/A,sub-29135_ses-1_connectome.csv,377,18645,0.263,2.429,1034,1034,1034,398,398,398,1.8,1.966,4.167,1.82,1.95,4.337
