type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,41,639,0.779,4.586,60,60,60,40,40,40,0.005,0.006,0.013,0.005,0.006,0.013
Undirected,N/A,sub-29118_ses-1_connectome.csv,41,686,0.837,3.867,63,63,63,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29119_ses-1_connectome.csv,41,609,0.743,4.05,65,65,65,41,41,41,0.005,0.006,0.012,0.005,0.006,0.013
Undirected,N/A,sub-29121_ses-1_connectome.csv,41,652,0.795,4.263,81,81,81,40,40,40,0.006,0.006,0.013,0.006,0.006,0.015
Undirected,N/A,sub-29120_ses-1_connectome.csv,41,680,0.829,4.5,62,62,62,40,40,40,0.006,0.006,0.015,0.006,0.006,0.014
Undirected,N/A,sub-29123_ses-1_connectome.csv,41,641,0.782,4.362,61,61,61,40,40,40,0.005,0.006,0.013,0.005,0.006,0.014
Undirected,N/A,sub-29124_ses-1_connectome.csv,41,684,0.834,4.306,75,75,75,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29127_ses-1_connectome.csv,41,700,0.854,4.569,63,63,63,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29126_ses-1_connectome.csv,41,676,0.824,5.585,67,67,67,40,40,40,0.006,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-29128_ses-1_connectome.csv,41,691,0.843,5.272,76,76,76,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29129_ses-1_connectome.csv,41,713,0.87,5.246,76,76,76,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-29133_ses-1_connectome.csv,41,704,0.859,5.703,63,63,63,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29125_ses-1_connectome.csv,41,719,0.877,5.063,62,62,62,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29131_ses-1_connectome.csv,41,703,0.857,4.821,73,73,73,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29134_ses-1_connectome.csv,41,769,0.938,5.346,77,77,77,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-29130_ses-1_connectome.csv,41,660,0.805,4.43,62,62,62,40,40,40,0.005,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-29135_ses-1_connectome.csv,41,716,0.873,4.782,79,79,79,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29136_ses-1_connectome.csv,41,686,0.837,5.142,74,74,74,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29137_ses-1_connectome.csv,41,699,0.852,4.642,62,62,62,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
