type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,321,5336,0.104,2.188,619,619,619,353,353,353,0.448,0.466,0.9,0.431,0.448,0.896
Undirected,N/A,sub-29119_ses-1_connectome.csv,319,5373,0.106,2.108,650,650,650,350,350,350,0.476,0.501,0.896,0.458,0.483,0.918
Undirected,N/A,sub-29120_ses-1_connectome.csv,317,4702,0.094,2.23,538,538,538,358,358,358,0.389,0.412,0.785,0.381,0.401,0.804
Undirected,N/A,sub-29121_ses-1_connectome.csv,320,5325,0.104,2.168,571,571,571,341,341,341,0.466,0.49,0.904,0.451,0.474,0.907
Undirected,N/A,sub-29126_ses-1_connectome.csv,316,4309,0.087,2.189,527,527,527,352,352,352,0.384,0.404,0.717,0.372,0.384,0.725
Undirected,N/A,sub-29124_ses-1_connectome.csv,308,4842,0.102,2.314,610,610,610,365,365,365,0.401,0.424,0.773,0.395,0.41,0.768
Undirected,N/A,sub-29123_ses-1_connectome.csv,314,5077,0.103,2.049,550,550,550,349,349,349,0.431,0.459,0.842,0.43,0.448,0.855
Undirected,N/A,sub-29127_ses-1_connectome.csv,321,5798,0.113,2.344,585,585,585,354,354,354,0.483,0.509,0.981,0.479,0.494,0.997
Undirected,N/A,sub-29118_ses-1_connectome.csv,317,5506,0.11,2.211,608,608,608,358,358,358,0.609,0.477,0.888,0.431,0.465,0.93
Undirected,N/A,sub-29125_ses-1_connectome.csv,322,6123,0.118,2.124,598,598,598,356,356,356,0.527,0.557,1.013,0.527,0.545,1.046
Undirected,N/A,sub-29129_ses-1_connectome.csv,310,5309,0.111,2.039,563,563,563,345,345,345,0.468,0.478,0.859,0.44,0.461,0.874
Undirected,N/A,sub-29128_ses-1_connectome.csv,309,4962,0.104,2.096,590,590,590,345,345,345,0.419,0.441,0.798,0.405,0.422,0.815
Undirected,N/A,sub-29133_ses-1_connectome.csv,309,5610,0.118,2.229,626,626,626,339,339,339,0.454,0.48,0.898,0.44,0.465,0.922
Undirected,N/A,sub-29131_ses-1_connectome.csv,321,6504,0.127,2.059,614,614,614,370,370,370,0.551,0.582,1.086,0.546,0.569,1.122
Undirected,N/A,sub-29130_ses-1_connectome.csv,312,5085,0.105,2.061,608,608,608,342,342,342,0.439,0.466,0.834,0.421,0.445,0.841
Undirected,N/A,sub-29134_ses-1_connectome.csv,321,7546,0.147,2.222,602,602,602,325,325,325,0.61,0.634,1.256,0.608,0.628,1.309
Undirected,N/A,sub-29137_ses-1_connectome.csv,310,5184,0.108,2.204,578,578,578,358,358,358,0.446,0.482,0.861,0.435,0.455,0.865
Undirected,N/A,sub-29136_ses-1_connectome.csv,309,5481,0.115,2.185,577,577,577,354,354,354,0.436,0.458,0.873,0.43,0.444,0.895
Undirected,N/A,sub-29135_ses-1_connectome.csv,323,6446,0.124,2.139,609,609,609,338,338,338,0.536,0.561,1.08,0.539,0.552,1.1
