type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,199,5331,0.271,2.829,427,427,427,203,203,203,0.228,0.239,0.497,0.231,0.234,0.517
Undirected,N/A,sub-29120_ses-1_connectome.csv,199,4874,0.247,2.776,402,402,402,201,201,201,0.215,0.224,0.452,0.213,0.222,0.469
Undirected,N/A,sub-29117_ses-1_connectome.csv,200,5252,0.264,2.689,442,442,442,209,209,209,0.228,0.24,0.495,0.229,0.239,0.509
Undirected,N/A,sub-29126_ses-1_connectome.csv,199,5241,0.266,2.827,440,440,440,204,204,204,0.234,0.244,0.49,0.231,0.241,0.501
Undirected,N/A,sub-29121_ses-1_connectome.csv,200,5662,0.285,2.77,453,453,453,202,202,202,0.247,0.257,0.53,0.368,0.249,0.546
Undirected,N/A,sub-29119_ses-1_connectome.csv,200,4865,0.244,2.586,451,451,451,217,217,217,0.226,0.234,0.463,0.222,0.229,0.471
Undirected,N/A,sub-29124_ses-1_connectome.csv,200,5581,0.28,2.658,455,455,455,201,201,201,0.241,0.251,0.518,0.236,0.247,0.524
Undirected,N/A,sub-29129_ses-1_connectome.csv,200,5847,0.294,2.701,460,460,460,203,203,203,0.256,0.264,0.515,0.255,0.26,0.563
Undirected,N/A,sub-29123_ses-1_connectome.csv,200,6099,0.306,2.59,458,458,458,205,205,205,0.265,0.28,0.581,0.261,0.272,0.604
Undirected,N/A,sub-29128_ses-1_connectome.csv,199,5001,0.254,2.696,422,422,422,206,206,206,0.221,0.232,0.469,0.22,0.229,0.49
Undirected,N/A,sub-29125_ses-1_connectome.csv,199,5772,0.293,2.877,456,456,456,202,202,202,0.245,0.254,0.538,0.239,0.249,0.559
Undirected,N/A,sub-29131_ses-1_connectome.csv,200,7098,0.357,2.735,511,511,511,200,200,200,0.308,0.321,0.679,0.296,0.309,0.693
Undirected,N/A,sub-29127_ses-1_connectome.csv,200,5704,0.287,3.004,433,433,433,200,200,200,0.243,0.25,0.538,0.238,0.25,0.559
Undirected,N/A,sub-29136_ses-1_connectome.csv,199,5284,0.268,2.74,426,426,426,206,206,206,0.232,0.24,0.497,0.229,0.236,0.517
Undirected,N/A,sub-29130_ses-1_connectome.csv,200,5335,0.268,2.841,480,480,480,201,201,201,0.238,0.246,0.5,0.233,0.241,0.519
Undirected,N/A,sub-29133_ses-1_connectome.csv,199,5511,0.28,2.545,420,420,420,209,209,209,0.248,0.255,0.515,0.244,0.252,0.533
Undirected,N/A,sub-29135_ses-1_connectome.csv,200,6432,0.323,2.64,450,450,450,204,204,204,0.273,0.285,0.607,0.277,0.29,0.624
Undirected,N/A,sub-29137_ses-1_connectome.csv,200,5856,0.294,2.623,441,441,441,212,212,212,0.26,0.271,0.55,0.257,0.267,0.57
Undirected,N/A,sub-29134_ses-1_connectome.csv,200,7615,0.383,2.737,474,474,474,201,201,201,0.313,0.325,0.721,0.308,0.318,0.744
