type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,82,1551,0.467,3.2,150,150,150,82,82,82,0.026,0.027,0.059,0.026,0.027,0.063
Undirected,N/A,sub-29117_ses-1_connectome.csv,82,1529,0.46,3.15,155,155,155,81,81,81,0.028,0.028,0.059,0.027,0.027,0.061
Undirected,N/A,sub-29119_ses-1_connectome.csv,83,1625,0.478,3.479,168,168,168,83,83,83,0.028,0.029,0.062,0.028,0.029,0.066
Undirected,N/A,sub-29121_ses-1_connectome.csv,83,1713,0.503,2.993,178,178,178,88,88,88,0.03,0.031,0.066,0.029,0.03,0.07
Undirected,N/A,sub-29120_ses-1_connectome.csv,83,1516,0.445,3.279,165,165,165,83,83,83,0.028,0.029,0.058,0.027,0.028,0.061
Undirected,N/A,sub-29124_ses-1_connectome.csv,83,1669,0.49,3.267,176,176,176,83,83,83,0.029,0.03,0.063,0.029,0.03,0.067
Undirected,N/A,sub-29123_ses-1_connectome.csv,83,1727,0.507,3.627,169,169,169,87,87,87,0.03,0.03,0.066,0.028,0.031,0.07
Undirected,N/A,sub-29125_ses-1_connectome.csv,81,1721,0.531,3.347,163,163,163,80,80,80,0.028,0.029,0.064,0.028,0.028,0.068
Undirected,N/A,sub-29126_ses-1_connectome.csv,83,1524,0.448,3.096,164,164,164,82,82,82,0.028,0.029,0.059,0.027,0.028,0.062
Undirected,N/A,sub-29127_ses-1_connectome.csv,83,1568,0.461,3.194,163,163,163,83,83,83,0.027,0.028,0.062,0.027,0.027,0.064
Undirected,N/A,sub-29131_ses-1_connectome.csv,83,1997,0.587,3.601,209,209,209,82,82,82,0.032,0.033,0.073,0.031,0.033,0.078
Undirected,N/A,sub-29133_ses-1_connectome.csv,83,1662,0.488,3.259,162,162,162,84,84,84,0.029,0.031,0.064,0.03,0.03,0.067
Undirected,N/A,sub-29130_ses-1_connectome.csv,82,1562,0.47,3.376,163,163,163,82,82,82,0.027,0.028,0.061,0.028,0.028,0.062
Undirected,N/A,sub-29129_ses-1_connectome.csv,83,1759,0.517,2.98,183,183,183,89,89,89,0.031,0.032,0.068,0.03,0.031,0.069
Undirected,N/A,sub-29128_ses-1_connectome.csv,82,1632,0.491,3.385,164,164,164,82,82,82,0.028,0.03,0.063,0.03,0.029,0.064
Undirected,N/A,sub-29135_ses-1_connectome.csv,83,1966,0.578,3.179,178,178,178,82,82,82,0.031,0.033,0.074,0.031,0.168,0.077
Undirected,N/A,sub-29134_ses-1_connectome.csv,83,2051,0.603,3.461,181,181,181,82,82,82,0.032,0.032,0.075,0.031,0.032,0.081
Undirected,N/A,sub-29136_ses-1_connectome.csv,83,1509,0.443,3.01,180,180,180,82,82,82,0.027,0.029,0.059,0.027,0.028,0.062
Undirected,N/A,sub-29137_ses-1_connectome.csv,83,1894,0.557,3.373,189,189,189,85,85,85,0.032,0.033,0.072,0.031,0.032,0.074
