type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29119_ses-1_connectome.csv,79,1104,0.358,3.731,131,131,131,81,81,81,0.021,0.022,0.043,0.02,0.021,0.043
Undirected,N/A,sub-29118_ses-1_connectome.csv,78,1105,0.368,4.067,127,127,127,83,83,83,0.021,0.022,0.043,0.02,0.021,0.043
Undirected,N/A,sub-29121_ses-1_connectome.csv,75,1163,0.419,3.412,131,131,131,80,80,80,0.021,0.021,0.043,0.021,0.021,0.044
Undirected,N/A,sub-29120_ses-1_connectome.csv,77,1017,0.348,3.311,145,145,145,90,90,90,0.019,0.02,0.049,0.019,0.02,0.041
Undirected,N/A,sub-29123_ses-1_connectome.csv,77,1163,0.397,3.26,126,126,126,84,84,84,0.021,0.022,0.043,0.02,0.021,0.045
Undirected,N/A,sub-29125_ses-1_connectome.csv,77,1189,0.406,3.148,133,133,133,87,87,87,0.02,0.021,0.044,0.02,0.021,0.045
Undirected,N/A,sub-29124_ses-1_connectome.csv,78,1079,0.359,3.712,139,139,139,87,87,87,0.022,0.023,0.041,0.02,0.021,0.042
Undirected,N/A,sub-29126_ses-1_connectome.csv,79,1139,0.37,4.357,125,125,125,82,82,82,0.021,0.022,0.045,0.022,0.022,0.046
Undirected,N/A,sub-29131_ses-1_connectome.csv,79,1395,0.453,3.352,128,128,128,82,82,82,0.024,0.025,0.052,0.024,0.025,0.053
Undirected,N/A,sub-29133_ses-1_connectome.csv,77,1176,0.402,3.413,130,130,130,89,89,89,0.021,0.022,0.044,0.02,0.022,0.046
Undirected,N/A,sub-29134_ses-1_connectome.csv,80,1473,0.466,3.187,128,128,128,86,86,86,0.025,0.026,0.056,0.025,0.026,0.059
Undirected,N/A,sub-29129_ses-1_connectome.csv,73,1123,0.427,3.563,106,106,106,76,76,76,0.018,0.018,0.04,0.018,0.018,0.041
Undirected,N/A,sub-29117_ses-1_connectome.csv,80,1133,0.359,3.467,131,131,131,87,87,87,0.022,0.023,0.045,0.021,0.022,0.045
Undirected,N/A,sub-29136_ses-1_connectome.csv,80,1168,0.37,3.233,124,124,124,91,91,91,0.022,0.024,0.046,0.022,0.023,0.047
Undirected,N/A,sub-29137_ses-1_connectome.csv,79,1322,0.429,3.24,142,142,142,84,84,84,0.023,0.024,0.051,0.023,0.024,0.051
Undirected,N/A,sub-29127_ses-1_connectome.csv,81,1113,0.344,3.523,132,132,132,92,92,92,0.021,0.022,0.045,0.021,0.022,0.045
Undirected,N/A,sub-29128_ses-1_connectome.csv,76,1064,0.373,3.438,123,123,123,75,75,75,0.019,0.02,0.04,0.018,0.019,0.042
Undirected,N/A,sub-29130_ses-1_connectome.csv,78,1141,0.38,3.299,133,133,133,84,84,84,0.02,0.021,0.043,0.02,0.02,0.044
Undirected,N/A,sub-29135_ses-1_connectome.csv,82,1341,0.404,3.147,142,142,142,92,92,92,0.025,0.026,0.053,0.025,0.025,0.054
