type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,30,313,0.72,3.394,55,55,55,29,29,29,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-29121_ses-1_connectome.csv,29,342,0.842,6.083,53,53,53,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29123_ses-1_connectome.csv,30,377,0.867,4.225,50,50,50,29,29,29,0.003,0.003,0.007,0.003,0.003,0.006
Undirected,N/A,sub-29119_ses-1_connectome.csv,31,310,0.667,5.783,55,55,55,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29125_ses-1_connectome.csv,30,315,0.724,3.742,68,68,68,29,29,29,0.003,0.004,0.006,0.002,0.003,0.006
Undirected,N/A,sub-29126_ses-1_connectome.csv,29,330,0.813,3.35,53,53,53,28,28,28,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-29129_ses-1_connectome.csv,30,294,0.676,3.701,54,54,54,29,29,29,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29128_ses-1_connectome.csv,29,298,0.734,4.882,58,58,58,30,30,30,0.002,0.002,0.006,0.002,0.002,0.005
Undirected,N/A,sub-29120_ses-1_connectome.csv,30,288,0.662,3.174,50,50,50,29,29,29,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29127_ses-1_connectome.csv,29,301,0.741,4.367,45,45,45,28,28,28,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29118_ses-1_connectome.csv,31,321,0.69,5.888,56,56,56,32,32,32,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29124_ses-1_connectome.csv,31,337,0.725,4.091,61,61,61,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29131_ses-1_connectome.csv,29,349,0.86,4.168,56,56,56,28,28,28,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-29135_ses-1_connectome.csv,30,376,0.864,4.112,48,48,48,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29133_ses-1_connectome.csv,29,312,0.768,3.821,43,43,43,28,28,28,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-29137_ses-1_connectome.csv,31,335,0.72,4.197,58,58,58,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29136_ses-1_connectome.csv,30,349,0.802,4.719,58,58,58,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-29134_ses-1_connectome.csv,31,393,0.845,4.564,55,55,55,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-29130_ses-1_connectome.csv,30,330,0.759,4.291,53,53,53,29,29,29,0.002,0.003,0.006,0.002,0.002,0.006
