type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29119_ses-1_connectome.csv,70,1480,0.613,3.907,164,164,164,71,71,71,0.02,0.021,0.047,0.02,0.021,0.048
Undirected,N/A,sub-29118_ses-1_connectome.csv,70,1453,0.602,3.318,135,135,135,70,70,70,0.019,0.019,0.046,0.019,0.019,0.048
Undirected,N/A,sub-29120_ses-1_connectome.csv,70,1404,0.581,3.798,143,143,143,72,72,72,0.019,0.02,0.044,0.018,0.02,0.047
Undirected,N/A,sub-29125_ses-1_connectome.csv,70,1490,0.617,3.79,148,148,148,69,69,69,0.019,0.02,0.046,0.019,0.02,0.048
Undirected,N/A,sub-29121_ses-1_connectome.csv,70,1552,0.643,3.47,153,153,153,69,69,69,0.021,0.022,0.048,0.021,0.021,0.05
Undirected,N/A,sub-29124_ses-1_connectome.csv,70,1461,0.605,3.88,145,145,145,69,69,69,0.02,0.021,0.045,0.019,0.02,0.047
Undirected,N/A,sub-29127_ses-1_connectome.csv,70,1417,0.587,3.43,145,145,145,69,69,69,0.019,0.02,0.046,0.02,0.02,0.046
Undirected,N/A,sub-29117_ses-1_connectome.csv,70,1338,0.554,3.769,133,133,133,70,70,70,0.018,0.019,0.042,0.018,0.019,0.046
Undirected,N/A,sub-29130_ses-1_connectome.csv,70,1461,0.605,3.771,151,151,151,69,69,69,0.019,0.02,0.046,0.019,0.02,0.047
Undirected,N/A,sub-29134_ses-1_connectome.csv,70,1776,0.735,3.783,136,136,136,69,69,69,0.022,0.023,0.053,0.021,0.023,0.056
Undirected,N/A,sub-29126_ses-1_connectome.csv,70,1524,0.631,3.857,134,134,134,69,69,69,0.02,0.02,0.046,0.02,0.021,0.049
Undirected,N/A,sub-29131_ses-1_connectome.csv,70,1848,0.765,3.681,147,147,147,69,69,69,0.023,0.024,0.056,0.022,0.023,0.058
Undirected,N/A,sub-29135_ses-1_connectome.csv,70,1698,0.703,3.502,159,159,159,69,69,69,0.022,0.023,0.051,0.021,0.022,0.054
Undirected,N/A,sub-29137_ses-1_connectome.csv,70,1663,0.689,3.833,141,141,141,70,70,70,0.021,0.022,0.051,0.021,0.022,0.053
Undirected,N/A,sub-29136_ses-1_connectome.csv,70,1468,0.608,4.034,166,166,166,70,70,70,0.021,0.022,0.046,0.021,0.021,0.048
Undirected,N/A,sub-29133_ses-1_connectome.csv,70,1574,0.652,3.361,159,159,159,70,70,70,0.021,0.022,0.049,0.02,0.022,0.051
Undirected,N/A,sub-29123_ses-1_connectome.csv,70,1625,0.673,3.51,167,167,167,69,69,69,0.021,0.022,0.049,0.021,0.022,0.053
Undirected,N/A,sub-29129_ses-1_connectome.csv,70,1568,0.649,3.916,147,147,147,70,70,70,0.021,0.021,0.048,0.02,0.022,0.051
Undirected,N/A,sub-29128_ses-1_connectome.csv,70,1481,0.613,3.496,156,156,156,69,69,69,0.02,0.02,0.046,0.019,0.019,0.048
