type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,74,1514,0.561,3.822,146,146,146,75,75,75,0.023,0.024,0.052,0.022,0.023,0.054
Undirected,N/A,sub-29118_ses-1_connectome.csv,74,1642,0.608,3.213,136,136,136,76,76,76,0.023,0.024,0.056,0.023,0.023,0.058
Undirected,N/A,sub-29125_ses-1_connectome.csv,74,1614,0.598,3.544,145,145,145,75,75,75,0.024,0.026,0.056,0.022,0.023,0.057
Undirected,N/A,sub-29120_ses-1_connectome.csv,74,1559,0.577,3.123,143,143,143,73,73,73,0.023,0.024,0.053,0.023,0.023,0.056
Undirected,N/A,sub-29121_ses-1_connectome.csv,73,1390,0.529,3.378,116,116,116,72,72,72,0.02,0.022,0.048,0.02,0.021,0.049
Undirected,N/A,sub-29123_ses-1_connectome.csv,73,1429,0.544,3.364,130,130,130,72,72,72,0.021,0.022,0.05,0.02,0.021,0.051
Undirected,N/A,sub-29126_ses-1_connectome.csv,74,1518,0.562,3.324,125,125,125,73,73,73,0.022,0.023,0.053,0.023,0.023,0.055
Undirected,N/A,sub-29119_ses-1_connectome.csv,73,1357,0.516,3.384,133,133,133,72,72,72,0.02,0.021,0.047,0.02,0.021,0.049
Undirected,N/A,sub-29128_ses-1_connectome.csv,74,1454,0.538,3.275,149,149,149,75,75,75,0.023,0.024,0.05,0.022,0.024,0.054
Undirected,N/A,sub-29129_ses-1_connectome.csv,73,1584,0.603,3.373,126,126,126,72,72,72,0.022,0.022,0.053,0.022,0.022,0.056
Undirected,N/A,sub-29133_ses-1_connectome.csv,74,1562,0.578,3.391,129,129,129,73,73,73,0.023,0.024,0.053,0.023,0.024,0.056
Undirected,N/A,sub-29130_ses-1_connectome.csv,74,1482,0.549,3.758,119,119,119,73,73,73,0.022,0.022,0.051,0.021,0.022,0.054
Undirected,N/A,sub-29124_ses-1_connectome.csv,74,1405,0.52,3.365,128,128,128,73,73,73,0.022,0.023,0.049,0.021,0.022,0.051
Undirected,N/A,sub-29127_ses-1_connectome.csv,74,1620,0.6,3.568,137,137,137,74,74,74,0.024,0.024,0.055,0.024,0.024,0.057
Undirected,N/A,sub-29131_ses-1_connectome.csv,74,1704,0.631,3.409,136,136,136,73,73,73,0.024,0.026,0.058,0.024,0.024,0.06
Undirected,N/A,sub-29135_ses-1_connectome.csv,74,1675,0.62,3.311,139,139,139,73,73,73,0.024,0.026,0.057,0.024,0.025,0.06
Undirected,N/A,sub-29134_ses-1_connectome.csv,74,1911,0.708,3.557,147,147,147,73,73,73,0.027,0.029,0.064,0.026,0.027,0.066
Undirected,N/A,sub-29136_ses-1_connectome.csv,74,1576,0.583,3.203,127,127,127,73,73,73,0.023,0.024,0.054,0.023,0.024,0.056
Undirected,N/A,sub-29137_ses-1_connectome.csv,74,1515,0.561,3.441,132,132,132,75,75,75,0.022,0.023,0.052,0.021,0.022,0.054
