type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29119_ses-1_connectome.csv,178,5827,0.37,2.687,374,374,374,182,182,182,0.2,0.21,0.473,0.2,0.208,0.496
Undirected,N/A,sub-29124_ses-1_connectome.csv,179,5329,0.335,2.498,394,394,394,186,186,186,0.201,0.208,0.434,0.196,0.205,0.453
Undirected,N/A,sub-29117_ses-1_connectome.csv,179,5970,0.375,2.733,393,393,393,179,179,179,0.215,0.222,0.498,0.21,0.222,0.517
Undirected,N/A,sub-29118_ses-1_connectome.csv,180,6108,0.379,2.585,386,386,386,182,182,182,0.214,0.222,0.51,0.213,0.222,0.529
Undirected,N/A,sub-29121_ses-1_connectome.csv,178,5868,0.373,2.543,356,356,356,180,180,180,0.209,0.218,0.498,0.207,0.215,0.504
Undirected,N/A,sub-29128_ses-1_connectome.csv,179,5489,0.345,2.521,432,432,432,193,193,193,0.207,0.218,0.459,0.204,0.216,0.476
Undirected,N/A,sub-29130_ses-1_connectome.csv,178,5865,0.372,2.516,390,390,390,180,180,180,0.214,0.227,0.484,0.212,0.22,0.506
Undirected,N/A,sub-29133_ses-1_connectome.csv,180,5881,0.365,2.488,402,402,402,185,185,185,0.22,0.232,0.492,0.222,0.231,0.51
Undirected,N/A,sub-29125_ses-1_connectome.csv,178,6754,0.429,2.625,401,401,401,185,185,185,0.236,0.249,0.567,0.237,0.255,0.588
Undirected,N/A,sub-29120_ses-1_connectome.csv,180,5288,0.328,2.566,397,397,397,192,192,192,0.204,0.216,0.449,0.202,0.203,0.447
Undirected,N/A,sub-29136_ses-1_connectome.csv,178,5868,0.373,2.608,391,391,391,188,188,188,0.208,0.216,0.482,0.208,0.215,0.502
Undirected,N/A,sub-29137_ses-1_connectome.csv,179,5741,0.36,2.584,385,385,385,189,189,189,0.213,0.221,0.493,0.207,0.218,0.487
Undirected,N/A,sub-29127_ses-1_connectome.csv,180,6874,0.427,2.717,431,431,431,186,186,186,0.233,0.247,0.586,0.237,0.249,0.606
Undirected,N/A,sub-29126_ses-1_connectome.csv,179,5409,0.34,2.471,360,360,360,184,184,184,0.195,0.206,0.451,0.193,0.201,0.46
Undirected,N/A,sub-29135_ses-1_connectome.csv,180,6209,0.385,2.454,389,389,389,183,183,183,0.223,0.233,0.522,0.224,0.237,0.535
Undirected,N/A,sub-29129_ses-1_connectome.csv,176,5870,0.381,2.45,391,391,391,176,176,176,0.199,0.21,0.477,0.197,0.205,0.494
Undirected,N/A,sub-29134_ses-1_connectome.csv,179,7103,0.446,2.562,408,408,408,185,185,185,0.239,0.248,0.589,0.24,0.249,0.618
Undirected,N/A,sub-29131_ses-1_connectome.csv,180,6512,0.404,2.593,424,424,424,183,183,183,0.229,0.241,0.546,0.232,0.242,0.568
Undirected,N/A,sub-29123_ses-1_connectome.csv,180,5714,0.355,2.538,409,409,409,183,183,183,0.204,0.215,0.474,0.204,0.212,0.495
