type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,83,1926,0.566,3.3,165,165,165,82,82,82,0.029,0.03,0.071,0.028,0.029,0.075
Undirected,N/A,sub-29117_ses-1_connectome.csv,83,1816,0.534,3.122,152,152,152,82,82,82,0.029,0.031,0.069,0.029,0.03,0.073
Undirected,N/A,sub-29121_ses-1_connectome.csv,83,2106,0.619,3.232,160,160,160,82,82,82,0.031,0.032,0.078,0.031,0.032,0.082
Undirected,N/A,sub-29125_ses-1_connectome.csv,83,2142,0.629,3.439,169,169,169,83,83,83,0.032,0.033,0.08,0.034,0.033,0.083
Undirected,N/A,sub-29126_ses-1_connectome.csv,83,2011,0.591,3.642,175,175,175,83,83,83,0.03,0.031,0.077,0.029,0.031,0.077
Undirected,N/A,sub-29120_ses-1_connectome.csv,83,1824,0.536,2.968,173,173,173,82,82,82,0.029,0.03,0.071,0.029,0.03,0.074
Undirected,N/A,sub-29127_ses-1_connectome.csv,83,1695,0.498,3.427,163,163,163,82,82,82,0.028,0.029,0.066,0.028,0.029,0.069
Undirected,N/A,sub-29123_ses-1_connectome.csv,83,2215,0.651,3.332,186,186,186,82,82,82,0.033,0.034,0.081,0.033,0.035,0.086
Undirected,N/A,sub-29128_ses-1_connectome.csv,83,2109,0.62,2.999,160,160,160,82,82,82,0.032,0.033,0.079,0.032,0.033,0.081
Undirected,N/A,sub-29134_ses-1_connectome.csv,83,2490,0.732,3.509,164,164,164,82,82,82,0.034,0.036,0.09,0.034,0.035,0.093
Undirected,N/A,sub-29137_ses-1_connectome.csv,83,2218,0.652,3.355,167,167,167,83,83,83,0.033,0.034,0.231,0.033,0.033,0.084
Undirected,N/A,sub-29133_ses-1_connectome.csv,83,1942,0.571,3.384,149,149,149,83,83,83,0.031,0.033,0.075,0.031,0.032,0.076
Undirected,N/A,sub-29135_ses-1_connectome.csv,83,2276,0.669,3.128,163,163,163,82,82,82,0.032,0.034,0.084,0.032,0.034,0.089
Undirected,N/A,sub-29130_ses-1_connectome.csv,83,1807,0.531,3.336,175,175,175,83,83,83,0.029,0.03,0.069,0.029,0.029,0.07
Undirected,N/A,sub-29136_ses-1_connectome.csv,83,1886,0.554,3.645,158,158,158,83,83,83,0.031,0.032,0.073,0.03,0.031,0.074
Undirected,N/A,sub-29131_ses-1_connectome.csv,83,2260,0.664,3.672,170,170,170,82,82,82,0.032,0.033,0.085,0.031,0.033,0.087
Undirected,N/A,sub-29129_ses-1_connectome.csv,83,1860,0.547,3.293,167,167,167,83,83,83,0.03,0.032,0.071,0.03,0.031,0.074
Undirected,N/A,sub-29119_ses-1_connectome.csv,83,1890,0.555,3.664,150,150,150,82,82,82,0.031,0.032,0.072,0.031,0.032,0.073
Undirected,N/A,sub-29124_ses-1_connectome.csv,83,1785,0.525,3.583,163,163,163,84,84,84,0.029,0.03,0.068,0.029,0.029,0.069
