type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,48,733,0.65,3.444,73,73,73,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-29121_ses-1_connectome.csv,48,678,0.601,3.843,78,78,78,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-29123_ses-1_connectome.csv,48,685,0.607,4.016,89,89,89,47,47,47,0.007,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-29120_ses-1_connectome.csv,48,660,0.585,3.742,75,75,75,47,47,47,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-29119_ses-1_connectome.csv,48,680,0.603,4.428,73,73,73,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-29126_ses-1_connectome.csv,48,721,0.639,4.021,77,77,77,47,47,47,0.007,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-29128_ses-1_connectome.csv,48,681,0.604,3.631,74,74,74,47,47,47,0.007,0.007,0.017,0.007,0.007,0.017
Undirected,N/A,sub-29127_ses-1_connectome.csv,48,773,0.685,3.844,85,85,85,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-29129_ses-1_connectome.csv,48,683,0.605,3.907,74,74,74,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-29130_ses-1_connectome.csv,48,669,0.593,3.68,69,69,69,47,47,47,0.007,0.008,0.016,0.007,0.007,0.017
Undirected,N/A,sub-29124_ses-1_connectome.csv,48,712,0.631,3.296,77,77,77,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-29131_ses-1_connectome.csv,48,800,0.709,3.958,75,75,75,47,47,47,0.008,0.009,0.019,0.008,0.008,0.019
Undirected,N/A,sub-29134_ses-1_connectome.csv,48,874,0.775,3.651,96,96,96,47,47,47,0.009,0.009,0.02,0.009,0.009,0.021
Undirected,N/A,sub-29118_ses-1_connectome.csv,48,693,0.614,3.44,81,81,81,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-29135_ses-1_connectome.csv,48,762,0.676,3.144,77,77,77,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-29136_ses-1_connectome.csv,48,731,0.648,3.731,77,77,77,47,47,47,0.008,0.008,0.019,0.008,0.008,0.018
Undirected,N/A,sub-29133_ses-1_connectome.csv,48,713,0.632,3.808,81,81,81,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-29125_ses-1_connectome.csv,48,780,0.691,3.16,81,81,81,47,47,47,0.008,0.008,0.018,0.007,0.008,0.019
Undirected,N/A,sub-29137_ses-1_connectome.csv,48,705,0.625,4.19,86,86,86,47,47,47,0.008,0.009,0.018,0.008,0.008,0.018
