type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29120_ses-1_connectome.csv,21,185,0.881,4.704,25,25,25,20,20,20,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-29119_ses-1_connectome.csv,21,190,0.905,9.695,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29117_ses-1_connectome.csv,21,198,0.943,4.873,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29125_ses-1_connectome.csv,21,204,0.971,10.05,31,31,31,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29121_ses-1_connectome.csv,21,206,0.981,8.226,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29127_ses-1_connectome.csv,21,195,0.929,6.164,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29128_ses-1_connectome.csv,21,202,0.962,8.145,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29130_ses-1_connectome.csv,21,204,0.971,14.248,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29131_ses-1_connectome.csv,21,205,0.976,8.206,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29134_ses-1_connectome.csv,21,207,0.986,14.353,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29126_ses-1_connectome.csv,21,203,0.967,8.165,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29135_ses-1_connectome.csv,21,206,0.981,10.1,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29129_ses-1_connectome.csv,21,187,0.89,6.033,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29123_ses-1_connectome.csv,21,207,0.986,8.246,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29118_ses-1_connectome.csv,21,200,0.952,7.0,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29136_ses-1_connectome.csv,21,201,0.957,14.142,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29133_ses-1_connectome.csv,21,189,0.9,6.801,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29124_ses-1_connectome.csv,21,198,0.943,14.036,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29137_ses-1_connectome.csv,21,201,0.957,8.124,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
