type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,48,427,0.379,4.01,75,75,75,47,47,47,0.005,0.006,0.012,0.005,0.006,0.012
Undirected,N/A,sub-29117_ses-1_connectome.csv,48,463,0.41,4.186,73,73,73,47,47,47,0.006,0.006,0.013,0.006,0.006,0.013
Undirected,N/A,sub-29127_ses-1_connectome.csv,48,429,0.38,4.02,80,80,80,48,48,48,0.006,0.007,0.012,0.006,0.006,0.012
Undirected,N/A,sub-29123_ses-1_connectome.csv,48,524,0.465,3.628,83,83,83,47,47,47,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-29124_ses-1_connectome.csv,48,485,0.43,4.119,71,71,71,47,47,47,0.007,0.007,0.014,0.006,0.007,0.014
Undirected,N/A,sub-29126_ses-1_connectome.csv,48,462,0.41,3.729,78,78,78,47,47,47,0.006,0.007,0.012,0.006,0.007,0.014
Undirected,N/A,sub-29120_ses-1_connectome.csv,48,402,0.356,3.655,69,69,69,48,48,48,0.006,0.006,0.011,0.005,0.006,0.012
Undirected,N/A,sub-29121_ses-1_connectome.csv,48,489,0.434,3.547,70,70,70,47,47,47,0.006,0.007,0.013,0.006,0.007,0.014
Undirected,N/A,sub-29133_ses-1_connectome.csv,48,515,0.457,3.193,72,72,72,47,47,47,0.007,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-29134_ses-1_connectome.csv,48,601,0.533,3.284,79,79,79,47,47,47,0.007,0.008,0.015,0.007,0.008,0.016
Undirected,N/A,sub-29130_ses-1_connectome.csv,48,475,0.421,3.13,74,74,74,47,47,47,0.006,0.007,0.013,0.006,0.006,0.013
Undirected,N/A,sub-29131_ses-1_connectome.csv,48,545,0.483,3.333,72,72,72,47,47,47,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-29135_ses-1_connectome.csv,48,529,0.469,2.997,71,71,71,47,47,47,0.007,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-29119_ses-1_connectome.csv,48,510,0.452,2.688,68,68,68,47,47,47,0.006,0.007,0.013,0.006,0.007,0.014
Undirected,N/A,sub-29136_ses-1_connectome.csv,48,491,0.435,2.97,76,76,76,47,47,47,0.007,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-29137_ses-1_connectome.csv,48,505,0.448,2.776,65,65,65,47,47,47,0.006,0.007,0.014,0.006,0.006,0.014
Undirected,N/A,sub-29128_ses-1_connectome.csv,48,449,0.398,3.034,70,70,70,47,47,47,0.006,0.006,0.012,0.006,0.006,0.012
Undirected,N/A,sub-29125_ses-1_connectome.csv,48,483,0.428,3.957,74,74,74,47,47,47,0.006,0.007,0.013,0.006,0.006,0.014
Undirected,N/A,sub-29129_ses-1_connectome.csv,48,530,0.47,3.065,71,71,71,49,49,49,0.007,0.007,0.014,0.006,0.007,0.014
