type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29121_ses-1_connectome.csv,100,1826,0.369,3.238,200,200,200,100,100,100,0.039,0.041,0.089,0.038,0.039,0.09
Undirected,N/A,sub-29120_ses-1_connectome.csv,100,1716,0.347,3.016,249,249,249,105,105,105,0.041,0.044,0.083,0.037,0.039,0.086
Undirected,N/A,sub-29119_ses-1_connectome.csv,99,1582,0.326,3.16,192,192,192,100,100,100,0.035,0.037,0.077,0.034,0.036,0.08
Undirected,N/A,sub-29117_ses-1_connectome.csv,102,1611,0.313,2.828,224,224,224,110,110,110,0.04,0.042,0.081,0.038,0.04,0.082
Undirected,N/A,sub-29123_ses-1_connectome.csv,98,1810,0.381,2.783,203,203,203,99,99,99,0.039,0.042,0.085,0.038,0.04,0.089
Undirected,N/A,sub-29118_ses-1_connectome.csv,101,1728,0.342,3.078,210,210,210,106,106,106,0.039,0.041,0.084,0.038,0.039,0.086
Undirected,N/A,sub-29126_ses-1_connectome.csv,101,1905,0.377,2.796,244,244,244,103,103,103,0.044,0.046,0.091,0.041,0.043,0.096
Undirected,N/A,sub-29127_ses-1_connectome.csv,100,1588,0.321,3.229,211,211,211,107,107,107,0.038,0.039,0.079,0.035,0.036,0.079
Undirected,N/A,sub-29125_ses-1_connectome.csv,102,1905,0.37,3.125,203,203,203,104,104,104,0.04,0.043,0.093,0.039,0.041,0.096
Undirected,N/A,sub-29135_ses-1_connectome.csv,102,1962,0.381,2.691,212,212,212,109,109,109,0.044,0.046,0.095,0.043,0.045,0.099
Undirected,N/A,sub-29124_ses-1_connectome.csv,100,1750,0.354,2.991,186,186,186,102,102,102,0.038,0.041,0.084,0.038,0.04,0.087
Undirected,N/A,sub-29128_ses-1_connectome.csv,100,1693,0.342,2.964,209,209,209,100,100,100,0.038,0.039,0.081,0.036,0.039,0.084
Undirected,N/A,sub-29129_ses-1_connectome.csv,97,1709,0.367,3.122,205,205,205,100,100,100,0.038,0.04,0.079,0.037,0.039,0.081
Undirected,N/A,sub-29136_ses-1_connectome.csv,100,1695,0.342,3.499,203,203,203,100,100,100,0.038,0.04,0.082,0.036,0.039,0.084
Undirected,N/A,sub-29133_ses-1_connectome.csv,101,1978,0.392,2.685,212,212,212,110,110,110,0.045,0.047,0.096,0.043,0.045,0.097
Undirected,N/A,sub-29130_ses-1_connectome.csv,100,1954,0.395,3.315,228,228,228,107,107,107,0.043,0.044,0.091,0.042,0.046,0.096
Undirected,N/A,sub-29134_ses-1_connectome.csv,98,2215,0.466,3.201,223,223,223,97,97,97,0.044,0.047,0.102,0.043,0.044,0.106
Undirected,N/A,sub-29131_ses-1_connectome.csv,101,2189,0.433,2.947,228,228,228,102,102,102,0.047,0.049,0.102,0.047,0.047,0.107
Undirected,N/A,sub-29137_ses-1_connectome.csv,98,1832,0.385,3.278,200,200,200,99,99,99,0.04,0.042,0.085,0.038,0.04,0.09
