type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29119_ses-1_connectome.csv,66,1004,0.468,3.47,98,98,98,65,65,65,0.014,0.015,0.03,0.014,0.015,0.032
Undirected,N/A,sub-29123_ses-1_connectome.csv,66,1364,0.636,3.148,106,106,106,65,65,65,0.016,0.017,0.039,0.016,0.017,0.041
Undirected,N/A,sub-29117_ses-1_connectome.csv,66,1094,0.51,2.961,95,95,95,65,65,65,0.014,0.015,0.033,0.015,0.015,0.034
Undirected,N/A,sub-29121_ses-1_connectome.csv,66,1239,0.578,3.026,104,104,104,65,65,65,0.015,0.016,0.036,0.015,0.016,0.037
Undirected,N/A,sub-29124_ses-1_connectome.csv,66,1118,0.521,3.139,91,91,91,65,65,65,0.014,0.015,0.033,0.014,0.015,0.035
Undirected,N/A,sub-29130_ses-1_connectome.csv,66,917,0.428,3.069,99,99,99,65,65,65,0.013,0.014,0.028,0.013,0.014,0.029
Undirected,N/A,sub-29120_ses-1_connectome.csv,66,969,0.452,3.478,95,95,95,65,65,65,0.014,0.014,0.029,0.014,0.014,0.031
Undirected,N/A,sub-29118_ses-1_connectome.csv,66,1083,0.505,3.72,95,95,95,65,65,65,0.015,0.015,0.033,0.117,0.015,0.033
Undirected,N/A,sub-29131_ses-1_connectome.csv,66,1409,0.657,3.488,101,101,101,65,65,65,0.016,0.017,0.04,0.016,0.017,0.043
Undirected,N/A,sub-29129_ses-1_connectome.csv,66,1053,0.491,2.688,106,106,106,67,67,67,0.014,0.016,0.031,0.014,0.015,0.033
Undirected,N/A,sub-29128_ses-1_connectome.csv,66,1158,0.54,3.102,93,93,93,65,65,65,0.015,0.015,0.034,0.015,0.016,0.036
Undirected,N/A,sub-29133_ses-1_connectome.csv,66,1080,0.503,2.911,98,98,98,66,66,66,0.015,0.015,0.032,0.014,0.015,0.035
Undirected,N/A,sub-29125_ses-1_connectome.csv,66,1089,0.508,3.576,92,92,92,65,65,65,0.015,0.016,0.033,0.015,0.015,0.034
Undirected,N/A,sub-29134_ses-1_connectome.csv,66,1492,0.696,3.351,102,102,102,65,65,65,0.017,0.017,0.042,0.017,0.018,0.044
Undirected,N/A,sub-29135_ses-1_connectome.csv,66,1251,0.583,2.962,99,99,99,67,67,67,0.016,0.016,0.036,0.016,0.016,0.039
Undirected,N/A,sub-29137_ses-1_connectome.csv,66,1287,0.6,3.604,106,106,106,65,65,65,0.016,0.016,0.038,0.015,0.017,0.039
Undirected,N/A,sub-29127_ses-1_connectome.csv,66,987,0.46,3.237,89,89,89,65,65,65,0.014,0.014,0.03,0.014,0.015,0.032
Undirected,N/A,sub-29126_ses-1_connectome.csv,66,1158,0.54,3.599,110,110,110,65,65,65,0.015,0.016,0.034,0.015,0.016,0.036
Undirected,N/A,sub-29136_ses-1_connectome.csv,66,1073,0.5,3.523,101,101,101,66,66,66,0.015,0.016,0.032,0.014,0.015,0.034
