type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29123_ses-1_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29124_ses-1_connectome.csv,4,4,0.667,1.732,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29121_ses-1_connectome.csv,28,231,0.611,6.723,44,44,44,30,30,30,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-29117_ses-1_connectome.csv,26,156,0.48,4.041,30,30,30,26,26,26,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-29119_ses-1_connectome.csv,19,111,0.649,7.382,25,25,25,18,18,18,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29125_ses-1_connectome.csv,26,187,0.575,5.492,37,37,37,25,25,25,0.002,0.002,0.003,0.002,0.002,0.004
Undirected,N/A,sub-29128_ses-1_connectome.csv,19,99,0.579,2.464,23,23,23,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29129_ses-1_connectome.csv,23,181,0.715,2.92,29,29,29,25,25,25,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29126_ses-1_connectome.csv,13,67,0.859,5.701,13,13,13,12,12,12,0.0,0.0,0.001,0.0,0.0,0.001
Undirected,N/A,sub-29131_ses-1_connectome.csv,9,31,0.861,5.477,9,9,9,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29118_ses-1_connectome.csv,24,174,0.63,4.282,35,35,35,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-29133_ses-1_connectome.csv,34,258,0.46,3.122,46,46,46,34,34,34,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-29127_ses-1_connectome.csv,22,128,0.554,3.636,29,29,29,23,23,23,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29136_ses-1_connectome.csv,9,26,0.722,3.464,9,9,9,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-29120_ses-1_connectome.csv,11,40,0.727,4.359,11,11,11,10,10,10,0.0,0.0,0.001,0.0,0.0,0.001
Undirected,N/A,sub-29137_ses-1_connectome.csv,28,209,0.553,4.714,34,34,34,27,27,27,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-29135_ses-1_connectome.csv,30,243,0.559,3.646,40,40,40,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-29130_ses-1_connectome.csv,21,131,0.624,6.532,26,26,26,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29134_ses-1_connectome.csv,29,236,0.581,3.982,41,41,41,28,28,28,0.002,0.002,0.005,0.002,0.002,0.005
