type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29121_ses-1_connectome.csv,395,11954,0.154,2.406,978,978,978,431,431,431,1.357,1.457,3.133,1.291,1.403,3.09
Undirected,N/A,sub-29124_ses-1_connectome.csv,391,10545,0.138,2.346,979,979,979,463,463,463,1.13,1.231,2.586,1.101,1.171,2.619
Undirected,N/A,sub-29118_ses-1_connectome.csv,398,12096,0.153,2.291,1012,1012,1012,426,426,426,1.314,1.416,3.021,1.221,1.386,3.087
Undirected,N/A,sub-29123_ses-1_connectome.csv,391,12237,0.16,2.234,952,952,952,439,439,439,1.284,1.433,3.144,1.242,1.398,3.209
Undirected,N/A,sub-29125_ses-1_connectome.csv,399,13237,0.167,2.446,1056,1056,1056,458,458,458,1.466,1.669,3.629,1.406,1.595,3.613
Undirected,N/A,sub-29119_ses-1_connectome.csv,390,11177,0.147,2.349,1004,1004,1004,446,446,446,1.216,1.36,2.854,1.178,1.31,2.915
Undirected,N/A,sub-29117_ses-1_connectome.csv,392,11712,0.153,2.433,949,949,949,432,432,432,1.248,1.366,2.994,1.228,1.338,3.092
Undirected,N/A,sub-29128_ses-1_connectome.csv,388,10791,0.144,2.353,934,934,934,441,441,441,1.16,1.249,2.636,1.145,1.223,2.728
Undirected,N/A,sub-29126_ses-1_connectome.csv,394,11388,0.147,2.423,1011,1011,1011,428,428,428,1.26,1.356,2.681,1.226,1.316,2.91
Undirected,N/A,sub-29130_ses-1_connectome.csv,391,11012,0.144,2.338,1015,1015,1015,455,455,455,1.182,1.311,2.735,1.179,1.276,2.815
Undirected,N/A,sub-29131_ses-1_connectome.csv,396,14173,0.181,2.303,942,942,942,437,437,437,1.743,1.847,3.86,1.751,1.795,3.914
Undirected,N/A,sub-29129_ses-1_connectome.csv,390,12637,0.167,2.291,922,922,922,425,425,425,1.453,1.563,3.365,1.401,1.511,3.338
Undirected,N/A,sub-29133_ses-1_connectome.csv,391,12751,0.167,2.272,952,952,952,420,420,420,1.402,1.509,3.293,1.376,1.485,3.367
Undirected,N/A,sub-29134_ses-1_connectome.csv,399,17274,0.218,2.327,1049,1049,1049,420,420,420,2.124,2.155,4.826,1.877,2.087,4.871
Undirected,N/A,sub-29136_ses-1_connectome.csv,391,11152,0.146,2.364,930,930,930,453,453,453,1.179,1.293,2.843,1.129,1.267,2.862
Undirected,N/A,sub-29137_ses-1_connectome.csv,389,12454,0.165,2.315,912,912,912,440,440,440,1.307,1.451,3.229,1.308,1.454,3.33
Undirected,N/A,sub-29127_ses-1_connectome.csv,397,13035,0.166,2.425,990,990,990,448,448,448,1.42,1.377,3.533,1.371,1.514,3.641
Undirected,N/A,sub-29135_ses-1_connectome.csv,393,13551,0.176,2.275,941,941,941,428,428,428,1.5,1.646,3.441,1.508,1.614,3.692
Undirected,N/A,sub-29120_ses-1_connectome.csv,398,10861,0.137,2.438,995,995,995,446,446,446,1.199,1.291,2.811,1.138,1.243,2.803
